,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,Gene
Phactr1,2.21E-57,-0.828017166,0.264,0.471,5.53E-53,Phactr1
Limch1,6.89E-57,-0.818086031,0.291,0.496,1.73E-52,Limch1
Sema6d,7.32E-44,-0.818032642,0.123,0.28,1.83E-39,Sema6d
Auts2,1.88E-64,-0.808839457,0.334,0.557,4.70E-60,Auts2
Kif13b,4.74E-54,-0.807460836,0.265,0.464,1.19E-49,Kif13b
4930402H24Rik,8.46E-53,-0.807191983,0.228,0.425,2.12E-48,4930402H24Rik
Kif1b,1.94E-68,-0.799827529,0.407,0.617,4.86E-64,Kif1b
Il1rapl1,7.71E-61,-0.788722515,0.27,0.489,1.93E-56,Il1rapl1
Rab31,4.11E-60,-0.78741769,0.27,0.486,1.03E-55,Rab31
Lpgat1,1.59E-39,-0.785043121,0.195,0.351,3.98E-35,Lpgat1
Stxbp6,4.75E-46,-0.783107046,0.192,0.371,1.19E-41,Stxbp6
Rtn4,1.99E-68,-0.770799761,0.446,0.653,4.98E-64,Rtn4
Epn2,6.23E-38,-0.765728174,0.149,0.299,1.56E-33,Epn2
B3galt1,7.36E-54,-0.759312867,0.348,0.548,1.84E-49,B3galt1
Pak1,1.72E-64,-0.754664147,0.326,0.552,4.31E-60,Pak1
Hecw2,5.97E-83,-0.75195582,0.448,0.692,1.50E-78,Hecw2
Oxr1,4.18E-47,-0.751756825,0.302,0.487,1.05E-42,Oxr1
Mdga2,2.43E-75,-0.748623145,0.425,0.663,6.08E-71,Mdga2
Adamtsl1,3.31E-46,-0.746950136,0.196,0.375,8.29E-42,Adamtsl1
Syt11,7.03E-40,-0.741092195,0.227,0.392,1.76E-35,Syt11
Cd81,2.64E-32,-0.726107365,0.122,0.253,6.61E-28,Cd81
Csmd3,1.83E-92,-0.718206153,0.531,0.768,4.57E-88,Csmd3
Bin1,5.49E-62,-0.713670702,0.339,0.562,1.37E-57,Bin1
Itpk1,6.00E-34,-0.711467337,0.151,0.292,1.50E-29,Itpk1
Nlgn1,3.66E-40,-0.709200451,0.248,0.421,9.16E-36,Nlgn1
Foxn3,1.93E-41,-0.704901506,0.251,0.427,4.83E-37,Foxn3
Amph,9.29E-31,-0.704496153,0.135,0.265,2.33E-26,Amph
Dock5,1.38E-33,-0.704149203,0.119,0.252,3.45E-29,Dock5
Ttll5,1.89E-32,-0.699386996,0.137,0.272,4.74E-28,Ttll5
Erbin,5.65E-44,-0.680067381,0.396,0.571,1.41E-39,Erbin
Luc7l2,2.70E-45,-0.675494408,0.265,0.452,6.76E-41,Luc7l2
Klhl2,4.70E-45,-0.67453724,0.31,0.495,1.18E-40,Klhl2
Sytl2,8.93E-33,-0.673192268,0.15,0.289,2.24E-28,Sytl2
Dip2b,1.85E-46,-0.672787226,0.306,0.496,4.63E-42,Dip2b
Zbtb16,1.81E-24,-0.665872474,0.157,0.272,4.54E-20,Zbtb16
Itsn2,4.67E-31,-0.660492208,0.226,0.371,1.17E-26,Itsn2
Iqsec1,2.18E-27,-0.654107218,0.156,0.281,5.47E-23,Iqsec1
Abhd17b,6.22E-35,-0.652497613,0.187,0.339,1.56E-30,Abhd17b
App,3.33E-65,-0.64739019,0.527,0.724,8.35E-61,App
Tmeff2,2.11E-121,-0.632805442,0.781,0.931,5.29E-117,Tmeff2
Dlg1,2.26E-35,-0.630881959,0.289,0.452,5.65E-31,Dlg1
Adipor2,3.42E-38,-0.630190465,0.366,0.533,8.56E-34,Adipor2
Il1rap,1.45E-39,-0.625162178,0.265,0.439,3.63E-35,Il1rap
Lsamp,1.01E-25,-0.619722811,0.248,0.385,2.53E-21,Lsamp
Dock9,8.32E-37,-0.617293985,0.219,0.381,2.08E-32,Dock9
Ube2e2,3.67E-45,-0.608421434,0.401,0.589,9.18E-41,Ube2e2
Kif13a,4.14E-32,-0.60571234,0.297,0.45,1.04E-27,Kif13a
Litaf,2.23E-24,-0.604894271,0.142,0.257,5.59E-20,Litaf
Dmd,2.97E-27,-0.600503617,0.133,0.252,7.45E-23,Dmd
Map4k5,1.57E-24,-0.600404779,0.164,0.284,3.92E-20,Map4k5
Fnbp1,6.95E-80,-0.597664187,0.594,0.799,1.74E-75,Fnbp1
Gnai1,2.45E-26,-0.590434683,0.141,0.261,6.13E-22,Gnai1
Dpyd,1.56E-17,-0.584733853,0.155,0.252,3.91E-13,Dpyd
Gm48678,9.96E-32,-0.584317951,0.308,0.465,2.50E-27,Gm48678
Add3,1.38E-28,-0.567879817,0.161,0.29,3.45E-24,Add3
Npas3,1.41E-36,-0.56516482,0.347,0.518,3.53E-32,Npas3
Zeb2,1.77E-65,-0.559744265,0.656,0.824,4.43E-61,Zeb2
A330015K06Rik,4.67E-30,-0.559106592,0.236,0.383,1.17E-25,A330015K06Rik
Wwox,2.23E-18,-0.559078863,0.168,0.27,5.59E-14,Wwox
St3gal3,1.64E-22,-0.554928012,0.15,0.262,4.10E-18,St3gal3
Opcml,2.09E-28,-0.552934134,0.217,0.356,5.23E-24,Opcml
Macrod2,9.21E-19,-0.551434007,0.176,0.282,2.31E-14,Macrod2
Gm26694,5.81E-25,-0.546893153,0.192,0.318,1.45E-20,Gm26694
Fmnl2,1.38E-33,-0.546721377,0.334,0.497,3.46E-29,Fmnl2
Osbpl1a,7.96E-22,-0.542755986,0.171,0.284,1.99E-17,Osbpl1a
Elmo1,1.32E-51,-0.542209136,0.556,0.736,3.31E-47,Elmo1
Arhgap39,3.36E-21,-0.541818899,0.153,0.262,8.41E-17,Arhgap39
Cpeb3,1.61E-21,-0.537493338,0.144,0.251,4.03E-17,Cpeb3
Tmcc1,1.01E-30,-0.53540467,0.373,0.525,2.54E-26,Tmcc1
Retreg1,2.60E-23,-0.533420871,0.173,0.291,6.52E-19,Retreg1
Gm28376,7.18E-27,-0.531606987,0.251,0.391,1.80E-22,Gm28376
Fbxl5,4.80E-18,-0.526041641,0.164,0.265,1.20E-13,Fbxl5
Acaca,7.66E-19,-0.524102544,0.201,0.309,1.92E-14,Acaca
Itch,1.20E-21,-0.523127618,0.244,0.366,3.01E-17,Itch
Ankib1,2.13E-22,-0.519771389,0.17,0.285,5.33E-18,Ankib1
Anks1b,2.35E-30,-0.514263411,0.296,0.45,5.88E-26,Anks1b
Otud7b,2.60E-29,-0.512951163,0.255,0.403,6.52E-25,Otud7b
Ddx17,1.05E-21,-0.504383561,0.2,0.318,2.62E-17,Ddx17
Myo1d,3.25E-22,-0.501483283,0.257,0.383,8.14E-18,Myo1d
Gab1,5.34E-32,-0.500199905,0.345,0.505,1.34E-27,Gab1
Pls1,1.52E-18,-0.499727708,0.161,0.263,3.79E-14,Pls1
Ralgps1,5.89E-24,-0.497383165,0.21,0.336,1.48E-19,Ralgps1
Ssh2,5.57E-26,-0.497238235,0.353,0.495,1.40E-21,Ssh2
Hook3,1.40E-20,-0.496760595,0.155,0.261,3.49E-16,Hook3
Ppp2r3a,1.45E-25,-0.491154821,0.303,0.443,3.62E-21,Ppp2r3a
Gjc3,3.78E-47,-0.487991734,0.307,0.499,9.46E-43,Gjc3
Fryl,5.65E-21,-0.487708311,0.262,0.385,1.42E-16,Fryl
Mat2a,1.29E-19,-0.482283908,0.189,0.3,3.23E-15,Mat2a
Trim35,2.42E-16,-0.472732821,0.156,0.25,6.05E-12,Trim35
Pstpip2,5.71E-28,-0.46996246,0.266,0.411,1.43E-23,Pstpip2
Aig1,4.08E-25,-0.458562175,0.172,0.293,1.02E-20,Aig1
Spock1,2.18E-21,-0.455640793,0.373,0.501,5.45E-17,Spock1
Vps8,1.88E-15,-0.454749444,0.187,0.283,4.72E-11,Vps8
Palm2,4.19E-27,-0.453571787,0.339,0.486,1.05E-22,Palm2
Wnk1,6.59E-21,-0.44878034,0.336,0.46,1.65E-16,Wnk1
Slc44a1,2.93E-19,-0.445577036,0.335,0.454,7.34E-15,Slc44a1
Arglu1,3.26E-19,-0.440798676,0.225,0.338,8.16E-15,Arglu1
Dnm3,3.47E-46,-0.439254068,0.634,0.784,8.70E-42,Dnm3
Gm26936,1.51E-20,-0.439218939,0.185,0.296,3.77E-16,Gm26936
Grid2,2.87E-41,-0.437571838,0.373,0.556,7.20E-37,Grid2
Mycbp2,1.05E-20,-0.436309199,0.36,0.487,2.63E-16,Mycbp2
Nfia,9.10E-34,-0.43454681,0.362,0.527,2.28E-29,Nfia
Sik3,6.88E-28,-0.434046704,0.507,0.649,1.72E-23,Sik3
Gm38304,4.16E-21,-0.432888503,0.165,0.27,1.04E-16,Gm38304
Otud7a,2.86E-17,-0.432477672,0.307,0.42,7.16E-13,Otud7a
Tmtc2,3.32E-27,-0.425896463,0.262,0.4,8.32E-23,Tmtc2
Adgrb3,2.72E-12,-0.419113688,0.169,0.251,6.80E-08,Adgrb3
Agap1,1.23E-26,-0.413662749,0.458,0.602,3.09E-22,Agap1
Mbnl2,8.75E-29,-0.410727543,0.54,0.681,2.19E-24,Mbnl2
Specc1,2.53E-14,-0.403097247,0.164,0.252,6.34E-10,Specc1
Arhgap21,5.83E-15,-0.399461586,0.202,0.298,1.46E-10,Arhgap21
1-Mar,2.38E-39,-0.397966103,0.497,0.672,5.96E-35,1-Mar
Arnt2,1.55E-15,-0.391739448,0.166,0.258,3.89E-11,Arnt2
4930419G24Rik,4.50E-22,-0.38775432,0.527,0.653,1.13E-17,4930419G24Rik
Rnf13,7.52E-16,-0.387742729,0.264,0.37,1.88E-11,Rnf13
Ank,7.77E-17,-0.385945833,0.187,0.287,1.95E-12,Ank
Xkr4,9.26E-17,-0.385905069,0.21,0.311,2.32E-12,Xkr4
Tbc1d5,8.88E-29,-0.38024606,0.522,0.668,2.22E-24,Tbc1d5
Fgfr2,6.41E-32,-0.370574584,0.704,0.82,1.61E-27,Fgfr2
Sh3d19,1.83E-18,-0.36364846,0.292,0.409,4.59E-14,Sh3d19
Nbea,1.23E-17,-0.357060083,0.461,0.578,3.09E-13,Nbea
Cdh20,1.03E-28,-0.347932992,0.391,0.543,2.57E-24,Cdh20
Gna12,2.13E-12,-0.344543411,0.188,0.271,5.32E-08,Gna12
Dock4,4.08E-14,-0.342899899,0.192,0.28,1.02E-09,Dock4
Ppfibp2,1.32E-11,-0.332243238,0.18,0.258,3.30E-07,Ppfibp2
Exoc6b,4.82E-14,-0.331539952,0.486,0.583,1.21E-09,Exoc6b
Rere,3.54E-13,-0.331131571,0.405,0.506,8.86E-09,Rere
Pik3r1,1.71E-12,-0.331074063,0.235,0.325,4.29E-08,Pik3r1
Enox1,7.95E-21,-0.327339036,0.414,0.544,1.99E-16,Enox1
Macf1,4.01E-11,-0.32143096,0.243,0.328,1.01E-06,Macf1
Magi1,3.19E-22,-0.319233055,0.21,0.321,8.00E-18,Magi1
Ccdc88a,9.51E-11,-0.318679869,0.266,0.352,2.38E-06,Ccdc88a
Baz2b,1.71E-14,-0.317240758,0.394,0.501,4.28E-10,Baz2b
Neat1,4.88E-36,-0.314409424,0.7,0.835,1.22E-31,Neat1
Dock3,8.23E-13,-0.310453951,0.207,0.292,2.06E-08,Dock3
Dock10,8.62E-41,-0.306655717,0.774,0.898,2.16E-36,Dock10
Gm42418,5.75E-07,-0.300094542,0.884,0.9,0.014401503,Gm42418
Tspan5,9.52E-12,-0.293788911,0.237,0.322,2.39E-07,Tspan5
Ptprk,8.95E-27,-0.284034527,0.503,0.647,2.24E-22,Ptprk
Kcnab1,1.20E-11,-0.280302774,0.353,0.447,3.01E-07,Kcnab1
Vmp1,6.46E-20,-0.275849559,0.396,0.52,1.62E-15,Vmp1
Pkp4,6.19E-14,-0.273511673,0.325,0.424,1.55E-09,Pkp4
Sox10,4.37E-14,-0.27205988,0.201,0.288,1.09E-09,Sox10
Pnisr,6.98E-16,-0.271047781,0.26,0.359,1.75E-11,Pnisr
Ppp2r2a,2.82E-09,-0.268208829,0.214,0.287,7.07E-05,Ppp2r2a
Dcc,1.65E-19,-0.266181881,0.18,0.274,4.14E-15,Dcc
Map4k4,4.85E-11,-0.263734658,0.268,0.353,1.21E-06,Map4k4
Rsrp1,2.28E-10,-0.2636102,0.399,0.489,5.71E-06,Rsrp1
Apc,1.22E-09,-0.246887082,0.248,0.324,3.07E-05,Apc
Wipf1,1.16E-07,-0.244788278,0.214,0.278,0.002898403,Wipf1
Gm44511,1.10E-14,-0.236014432,0.239,0.326,2.76E-10,Gm44511
Gm37459,6.68E-11,-0.228116997,0.415,0.507,1.67E-06,Gm37459
Hnrnpa2b1,3.24E-07,-0.220135029,0.3,0.37,0.008113813,Hnrnpa2b1
Pafah1b1,1.54E-09,-0.21910861,0.331,0.412,3.85E-05,Pafah1b1
2610035D17Rik,6.10E-12,-0.218555449,0.248,0.329,1.53E-07,2610035D17Rik
Sptbn1,5.72E-08,-0.215823061,0.267,0.337,0.001431666,Sptbn1
Plxdc2,1.34E-21,-0.206420423,0.569,0.695,3.35E-17,Plxdc2
Kcnk13,1.90E-08,-0.1973446,0.241,0.308,0.000476135,Kcnk13
Agpat4,2.47E-08,-0.193271038,0.2,0.259,0.000618519,Agpat4
Ccser1,5.98E-12,-0.186764733,0.255,0.337,1.50E-07,Ccser1
Fign,1.24E-12,-0.183160442,0.204,0.275,3.10E-08,Fign
Rabgap1l,6.76E-09,-0.183145202,0.265,0.333,0.000169169,Rabgap1l
Apba1,5.04E-08,-0.16841289,0.262,0.328,0.001261349,Apba1
Dst,1.99E-12,-0.162837381,0.533,0.627,4.98E-08,Dst
Sh3kbp1,1.15E-10,-0.154748598,0.22,0.289,2.89E-06,Sh3kbp1
Kcnip4,1.39E-08,-0.151451393,0.218,0.269,0.000348942,Kcnip4
Ywhaq,1.47E-08,-0.13633495,0.275,0.341,0.000368066,Ywhaq
Ephb1,6.67E-09,-0.127578875,0.292,0.361,0.000167008,Ephb1
Tcf4,1.72E-07,-0.117420823,0.498,0.569,0.004311988,Tcf4
Nfib,9.20E-08,-0.11435895,0.201,0.25,0.002304261,Nfib
Tra2a,3.11E-07,0.102772713,0.282,0.295,0.007785031,Tra2a
Ppp3ca,1.79E-09,0.130608774,0.393,0.409,4.47E-05,Ppp3ca
Gm26804,1.67E-06,0.137135824,0.498,0.507,0.041775594,Gm26804
Srrm2,5.14E-07,0.138752419,0.454,0.451,0.012868318,Srrm2
2010111I01Rik,1.74E-07,0.142323601,0.323,0.327,0.004346212,2010111I01Rik
Bcl2l1,6.66E-08,0.183968498,0.389,0.39,0.001668518,Bcl2l1
Ankrd28,1.29E-15,0.212768138,0.502,0.525,3.23E-11,Ankrd28
Atrx,6.25E-08,0.224822072,0.3,0.281,0.00156638,Atrx
Akap6,1.30E-07,0.229569742,0.422,0.39,0.003268021,Akap6
Lrba,5.50E-07,0.230134541,0.26,0.234,0.013782891,Lrba
Ankrd12,1.99E-07,0.233227762,0.305,0.279,0.004982263,Ankrd12
Meg3,4.23E-12,0.236213453,0.482,0.465,1.06E-07,Meg3
Plekha1,9.05E-07,0.248357165,0.392,0.351,0.022662425,Plekha1
Kmt2c,3.19E-08,0.258384756,0.356,0.321,0.000799055,Kmt2c
Fam19a5,8.18E-08,0.259057331,0.266,0.238,0.00204925,Fam19a5
Kmt2e,2.25E-08,0.259313016,0.301,0.274,0.000564419,Kmt2e
Hnrnpu,2.39E-09,0.27273156,0.305,0.276,5.99E-05,Hnrnpu
Atp2b1,8.69E-10,0.275901968,0.26,0.234,2.18E-05,Atp2b1
Nktr,7.77E-08,0.278562189,0.303,0.264,0.001945456,Nktr
Tnrc6c,2.95E-10,0.282099736,0.335,0.304,7.40E-06,Tnrc6c
Camk1d,1.22E-07,0.291324119,0.328,0.286,0.003065159,Camk1d
Ncoa1,1.21E-07,0.298414727,0.289,0.259,0.003019071,Ncoa1
Sbf2,2.36E-11,0.299117014,0.312,0.286,5.92E-07,Sbf2
Ash1l,1.68E-09,0.301994419,0.294,0.257,4.20E-05,Ash1l
