,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,Gene
Golm1,5.80E-35,-0.197682345,0.316,0.272,1.45E-30,Golm1
Fchsd2,2.83E-23,-0.19628597,0.526,0.484,7.08E-19,Fchsd2
Havcr2,8.95E-31,-0.195295762,0.28,0.241,2.24E-26,Havcr2
Tgfbr1,2.84E-10,-0.194807914,0.835,0.827,7.11E-06,Tgfbr1
Agmo,3.81E-16,-0.194073627,0.417,0.4,9.55E-12,Agmo
Wwox,1.97E-21,-0.19339018,0.449,0.404,4.92E-17,Wwox
Stag2,2.68E-21,-0.188486798,0.259,0.235,6.71E-17,Stag2
Cog5,4.31E-32,-0.187626323,0.291,0.247,1.08E-27,Cog5
Nisch,1.09E-23,-0.186856768,0.311,0.28,2.74E-19,Nisch
Ankrd44,3.35E-21,-0.186725146,0.59,0.567,8.39E-17,Ankrd44
Gns,7.96E-36,-0.185056757,0.393,0.341,1.99E-31,Gns
Eif4g3,4.45E-31,-0.183762869,0.356,0.304,1.12E-26,Eif4g3
Lair1,6.04E-38,-0.183407748,0.55,0.476,1.51E-33,Lair1
Lyn,2.67E-26,-0.182464057,0.723,0.671,6.70E-22,Lyn
Tnrc6b,1.84E-40,-0.182008933,0.417,0.35,4.61E-36,Tnrc6b
Mef2c,4.73E-15,-0.181471012,0.741,0.717,1.18E-10,Mef2c
Heatr5a,6.47E-33,-0.180679222,0.275,0.228,1.62E-28,Heatr5a
Numb,2.16E-18,-0.17836504,0.605,0.574,5.42E-14,Numb
Snrnp70,5.41E-23,-0.177268665,0.481,0.442,1.35E-18,Snrnp70
Mapk14,7.89E-30,-0.177043335,0.285,0.243,1.98E-25,Mapk14
Arid1a,4.21E-34,-0.176849492,0.287,0.238,1.05E-29,Arid1a
Arhgap22,9.82E-33,-0.176752207,0.449,0.389,2.46E-28,Arhgap22
Chd2,3.07E-23,-0.176435714,0.314,0.283,7.68E-19,Chd2
P2ry12,2.65E-18,-0.175808782,0.539,0.508,6.64E-14,P2ry12
Pwwp2a,1.45E-29,-0.17194368,0.319,0.275,3.63E-25,Pwwp2a
Blnk,1.50E-28,-0.171875836,0.438,0.39,3.76E-24,Blnk
Jak1,4.22E-31,-0.169796876,0.271,0.223,1.06E-26,Jak1
Lgmn,2.76E-34,-0.167637829,0.567,0.5,6.90E-30,Lgmn
Rapgef5,5.41E-27,-0.167338069,0.551,0.498,1.35E-22,Rapgef5
Arhgap31,2.37E-26,-0.167336895,0.25,0.211,5.93E-22,Arhgap31
Srsf5,1.02E-25,-0.16604111,0.28,0.244,2.56E-21,Srsf5
Rbm6,1.14E-27,-0.164637247,0.305,0.26,2.86E-23,Rbm6
Dst,9.72E-21,-0.16375349,0.705,0.657,2.43E-16,Dst
Zcchc7,4.01E-22,-0.163336364,0.515,0.477,1.00E-17,Zcchc7
Rb1,2.54E-28,-0.163279553,0.288,0.244,6.35E-24,Rb1
Gm16337,8.12E-20,-0.162044728,0.356,0.324,2.03E-15,Gm16337
Mef2a,2.76E-11,-0.161809314,0.829,0.804,6.92E-07,Mef2a
Dennd1a,2.02E-27,-0.159447834,0.359,0.305,5.05E-23,Dennd1a
Msi2,1.00E-26,-0.158607099,0.257,0.217,2.51E-22,Msi2
1-Mar,1.66E-22,-0.155795601,0.474,0.429,4.15E-18,1-Mar
Cfh,4.57E-25,-0.155728593,0.483,0.436,1.14E-20,Cfh
Psap,1.76E-28,-0.155387045,0.488,0.431,4.40E-24,Psap
Map3k3,1.54E-26,-0.154947281,0.335,0.291,3.86E-22,Map3k3
Celf2,1.65E-19,-0.154472895,0.656,0.593,4.13E-15,Celf2
Sipa1l1,7.53E-23,-0.154343809,0.252,0.215,1.89E-18,Sipa1l1
Cd81,1.29E-29,-0.153525568,0.319,0.268,3.24E-25,Cd81
Parp8,1.66E-23,-0.15342555,0.329,0.29,4.15E-19,Parp8
Park2,5.02E-19,-0.146450237,0.472,0.431,1.26E-14,Park2
Ppp3ca,4.18E-23,-0.146362121,0.584,0.528,1.05E-18,Ppp3ca
Mtdh,5.72E-36,-0.144178031,0.438,0.365,1.43E-31,Mtdh
Ext1,1.07E-25,-0.143482796,0.293,0.235,2.68E-21,Ext1
Inpp5d,1.75E-19,-0.14204901,0.824,0.771,4.38E-15,Inpp5d
Osbpl11,5.59E-32,-0.141317427,0.265,0.212,1.40E-27,Osbpl11
Ppp1r12a,3.95E-34,-0.140546831,0.377,0.311,9.90E-30,Ppp1r12a
Irf2,1.84E-29,-0.139485146,0.342,0.296,4.61E-25,Irf2
Wdr26,3.50E-28,-0.139280136,0.253,0.209,8.78E-24,Wdr26
4933406I18Rik,1.76E-20,-0.138699416,0.54,0.485,4.40E-16,4933406I18Rik
Rcbtb2,3.02E-26,-0.138389679,0.297,0.251,7.56E-22,Rcbtb2
Atp2c1,1.64E-24,-0.137291547,0.285,0.243,4.11E-20,Atp2c1
Il10ra,7.62E-39,-0.136906652,0.285,0.225,1.91E-34,Il10ra
Zcchc11,1.14E-27,-0.134751061,0.276,0.229,2.86E-23,Zcchc11
Adam10,7.73E-32,-0.134606474,0.278,0.223,1.94E-27,Adam10
Cltc,1.98E-26,-0.133989564,0.298,0.247,4.97E-22,Cltc
Hexb,1.75E-18,-0.133686674,0.761,0.705,4.38E-14,Hexb
Ncoa2,4.75E-31,-0.132208201,0.312,0.258,1.19E-26,Ncoa2
Rock2,3.03E-35,-0.131496628,0.353,0.286,7.60E-31,Rock2
Tbl1xr1,3.79E-35,-0.130749857,0.333,0.269,9.49E-31,Tbl1xr1
Tcf4,3.78E-23,-0.130200471,0.499,0.442,9.46E-19,Tcf4
Slc24a3,2.19E-23,-0.129749741,0.317,0.268,5.50E-19,Slc24a3
Mgat4a,7.68E-31,-0.128735663,0.386,0.324,1.92E-26,Mgat4a
Pkig,9.99E-22,-0.128322761,0.25,0.211,2.50E-17,Pkig
Aim2,2.19E-32,-0.127795011,0.302,0.247,5.48E-28,Aim2
Cd2ap,1.28E-29,-0.127330288,0.252,0.203,3.19E-25,Cd2ap
Vsir,9.85E-31,-0.124817176,0.337,0.278,2.47E-26,Vsir
Qk,8.42E-12,-0.123954325,0.776,0.735,2.11E-07,Qk
Hck,7.31E-33,-0.121084166,0.275,0.217,1.83E-28,Hck
Mtus1,2.28E-27,-0.120898039,0.251,0.205,5.72E-23,Mtus1
Rabep1,5.05E-21,-0.120543431,0.302,0.262,1.26E-16,Rabep1
Vrk2,6.87E-22,-0.119697025,0.295,0.251,1.72E-17,Vrk2
Pum2,3.24E-26,-0.119282673,0.275,0.226,8.12E-22,Pum2
Zfp292,1.89E-29,-0.11788713,0.297,0.242,4.73E-25,Zfp292
Rgs10,4.13E-34,-0.117253939,0.371,0.302,1.03E-29,Rgs10
Gm32036,4.56E-26,-0.115532652,0.396,0.335,1.14E-21,Gm32036
Gtdc1,9.49E-26,-0.11503918,0.349,0.289,2.38E-21,Gtdc1
Snx13,3.85E-31,-0.114842093,0.27,0.214,9.64E-27,Snx13
Wdfy2,1.64E-28,-0.114607291,0.25,0.203,4.11E-24,Wdfy2
Vps13a,5.88E-09,-0.114027429,0.28,0.265,0.000147321,Vps13a
Wnk1,1.29E-32,-0.113498231,0.597,0.519,3.24E-28,Wnk1
Pmepa1,1.94E-22,-0.113107416,0.276,0.23,4.87E-18,Pmepa1
Jmjd1c,1.47E-35,-0.112773673,0.555,0.464,3.67E-31,Jmjd1c
Med12l,7.91E-23,-0.112339735,0.436,0.382,1.98E-18,Med12l
Glg1,7.10E-18,-0.111600342,0.383,0.344,1.78E-13,Glg1
Hipk2,6.79E-28,-0.111079326,0.272,0.217,1.70E-23,Hipk2
Prpf4b,2.13E-18,-0.110280743,0.43,0.389,5.33E-14,Prpf4b
Ptpre,1.70E-29,-0.109864945,0.25,0.199,4.25E-25,Ptpre
Slco2b1,3.22E-24,-0.109233401,0.549,0.486,8.06E-20,Slco2b1
Marcks,1.85E-29,-0.109046982,0.268,0.218,4.63E-25,Marcks
Plcl2,2.79E-36,-0.108973891,0.596,0.499,6.98E-32,Plcl2
Lrch1,4.14E-24,-0.107906576,0.593,0.522,1.04E-19,Lrch1
Wasf2,7.38E-32,-0.10659606,0.427,0.355,1.85E-27,Wasf2
Grn,5.43E-31,-0.106456039,0.265,0.209,1.36E-26,Grn
Epb41l2,1.18E-13,-0.106409297,0.77,0.716,2.95E-09,Epb41l2
C1qc,1.06E-33,-0.104427609,0.548,0.454,2.65E-29,C1qc
Phip,2.50E-19,-0.102833902,0.254,0.212,6.25E-15,Phip
Fgd2,1.33E-21,-0.10275535,0.417,0.367,3.33E-17,Fgd2
Rasgrp3,1.45E-25,-0.101224129,0.363,0.306,3.62E-21,Rasgrp3
Mbnl2,2.29E-26,-0.10053197,0.391,0.334,5.74E-22,Mbnl2
Taok1,3.78E-23,0.10090889,0.254,0.178,9.47E-19,Taok1
Luc7l2,2.37E-20,0.104100021,0.553,0.446,5.94E-16,Luc7l2
Ascc3,2.72E-31,0.104276807,0.308,0.209,6.81E-27,Ascc3
Myo9b,1.78E-27,0.105123201,0.267,0.184,4.45E-23,Myo9b
Prex1,5.04E-29,0.105268909,0.374,0.274,1.26E-24,Prex1
Dnmt3a,1.10E-37,0.105520585,0.419,0.292,2.75E-33,Dnmt3a
Tbc1d22a,1.70E-39,0.107054514,0.381,0.263,4.26E-35,Tbc1d22a
Git2,3.98E-39,0.10837944,0.351,0.238,9.96E-35,Git2
Itgb5,6.75E-32,0.110852152,0.638,0.498,1.69E-27,Itgb5
Phc2,8.70E-34,0.110923625,0.284,0.185,2.18E-29,Phc2
Plekho1,2.24E-38,0.111874155,0.349,0.236,5.60E-34,Plekho1
Meg3,1.36E-06,0.111953621,0.449,0.368,0.034131813,Meg3
Gm20388,1.05E-15,0.113564595,0.881,0.789,2.63E-11,Gm20388
Lcp1,3.31E-25,0.114093737,0.268,0.182,8.29E-21,Lcp1
Rnf180,2.28E-32,0.115466482,0.432,0.314,5.71E-28,Rnf180
Ptprc,4.53E-24,0.115797377,0.617,0.494,1.13E-19,Ptprc
Cd180,2.58E-26,0.116609461,0.308,0.216,6.47E-22,Cd180
Arl15,8.65E-23,0.116690291,0.389,0.291,2.17E-18,Arl15
Clta,1.43E-26,0.117184246,0.25,0.169,3.58E-22,Clta
Susd6,3.41E-28,0.117892717,0.321,0.221,8.53E-24,Susd6
Srpk2,3.92E-22,0.118315947,0.276,0.195,9.81E-18,Srpk2
Akap10,7.79E-25,0.120073643,0.301,0.211,1.95E-20,Akap10
Lrrc8d,3.28E-34,0.123511225,0.259,0.161,8.22E-30,Lrrc8d
Wdfy3,3.87E-43,0.124512934,0.432,0.297,9.70E-39,Wdfy3
Actr3,1.69E-24,0.126613356,0.265,0.179,4.24E-20,Actr3
Zfp710,6.06E-23,0.127236868,0.567,0.451,1.52E-18,Zfp710
Wapl,2.70E-27,0.127526784,0.274,0.184,6.76E-23,Wapl
Arid5b,9.28E-19,0.127716687,0.282,0.202,2.32E-14,Arid5b
Nsd3,3.94E-38,0.127850511,0.363,0.246,9.87E-34,Nsd3
Sdccag8,1.81E-27,0.12861518,0.255,0.167,4.54E-23,Sdccag8
Fyb,2.61E-21,0.129105244,0.719,0.594,6.55E-17,Fyb
Dgkd,2.71E-34,0.129257622,0.372,0.257,6.79E-30,Dgkd
Ccnl1,1.60E-29,0.131597423,0.252,0.164,4.02E-25,Ccnl1
Gm2245,7.81E-24,0.132704207,0.49,0.371,1.96E-19,Gm2245
Rock1,1.61E-24,0.133787706,0.306,0.217,4.03E-20,Rock1
P2ry6,1.95E-35,0.13669947,0.314,0.206,4.88E-31,P2ry6
Pou2f2,2.66E-29,0.13773638,0.372,0.262,6.67E-25,Pou2f2
Gna15,3.12E-25,0.1379304,0.251,0.172,7.82E-21,Gna15
Rin2,3.79E-32,0.139552312,0.255,0.163,9.49E-28,Rin2
Frrs1,2.33E-38,0.139842559,0.299,0.191,5.83E-34,Frrs1
Cradd,8.25E-22,0.140470475,0.258,0.179,2.07E-17,Cradd
Zeb1,3.03E-28,0.141770535,0.407,0.292,7.58E-24,Zeb1
Sat1,9.38E-21,0.141975558,0.37,0.278,2.35E-16,Sat1
Rapgef1,3.18E-29,0.142113049,0.282,0.187,7.96E-25,Rapgef1
Gm43713,6.91E-16,0.142991435,0.256,0.185,1.73E-11,Gm43713
Myo1f,2.06E-28,0.143007716,0.578,0.442,5.15E-24,Myo1f
Brd4,1.59E-34,0.143865981,0.298,0.194,3.99E-30,Brd4
Ncor1,1.06E-28,0.143950061,0.367,0.257,2.64E-24,Ncor1
Kcnma1,3.56E-20,0.145779237,0.357,0.259,8.93E-16,Kcnma1
Tns3,1.63E-36,0.149083383,0.528,0.382,4.07E-32,Tns3
Retreg1,1.04E-38,0.149084874,0.394,0.263,2.61E-34,Retreg1
Oxct1,8.09E-27,0.149819774,0.33,0.231,2.03E-22,Oxct1
Ski,5.85E-41,0.150509224,0.37,0.242,1.46E-36,Ski
Cdkal1,4.43E-33,0.150894006,0.333,0.224,1.11E-28,Cdkal1
Tgfbr2,1.05E-35,0.15180403,0.473,0.337,2.63E-31,Tgfbr2
Evl,2.66E-32,0.15230472,0.357,0.244,6.67E-28,Evl
Rbm47,7.44E-25,0.152416003,0.392,0.287,1.86E-20,Rbm47
Gm26827,3.82E-12,0.152750181,0.28,0.214,9.58E-08,Gm26827
Atp6v0a1,3.50E-31,0.156500279,0.349,0.238,8.76E-27,Atp6v0a1
Inpp4b,3.17E-19,0.158928478,0.69,0.573,7.93E-15,Inpp4b
Babam2,1.36E-33,0.159379696,0.333,0.221,3.40E-29,Babam2
Asap1,1.66E-25,0.161668521,0.596,0.462,4.15E-21,Asap1
Myo9a,1.02E-30,0.165118107,0.357,0.243,2.55E-26,Myo9a
Olfr56,2.65E-21,0.167345453,0.323,0.232,6.63E-17,Olfr56
Atp6v0b,2.13E-28,0.168342904,0.462,0.334,5.33E-24,Atp6v0b
Plgrkt,8.61E-27,0.16895633,0.277,0.185,2.16E-22,Plgrkt
Fgfr2,5.01E-18,0.170307433,0.548,0.438,1.25E-13,Fgfr2
Abca1,1.40E-26,0.172989127,0.467,0.341,3.52E-22,Abca1
Arhgap25,7.41E-29,0.175272427,0.344,0.232,1.85E-24,Arhgap25
Lhfpl2,4.32E-37,0.175363903,0.425,0.29,1.08E-32,Lhfpl2
Kcnk13,3.88E-25,0.176408803,0.299,0.202,9.72E-21,Kcnk13
Gm37240,5.82E-32,0.1769095,0.521,0.379,1.46E-27,Gm37240
Paxbp1,1.46E-27,0.177101699,0.276,0.181,3.66E-23,Paxbp1
Rsbn1l,2.05E-28,0.177556986,0.29,0.192,5.14E-24,Rsbn1l
Vps54,5.76E-31,0.179159737,0.285,0.184,1.44E-26,Vps54
Fus,7.41E-38,0.1799151,0.44,0.301,1.85E-33,Fus
Elk3,3.49E-37,0.181536707,0.327,0.203,8.73E-33,Elk3
Clint1,1.39E-27,0.181728247,0.329,0.221,3.48E-23,Clint1
Fnip2,3.76E-19,0.186819942,0.288,0.202,9.43E-15,Fnip2
Mafb,5.39E-33,0.187142697,0.258,0.157,1.35E-28,Mafb
Mylip,1.91E-34,0.187484807,0.329,0.213,4.77E-30,Mylip
Usp50,6.93E-16,0.189131582,0.385,0.291,1.74E-11,Usp50
Gm20275,1.97E-13,0.192048955,0.359,0.276,4.93E-09,Gm20275
Comt,1.27E-31,0.192849534,0.286,0.177,3.17E-27,Comt
Myh9,4.68E-21,0.193870874,0.277,0.188,1.17E-16,Myh9
Arhgap39,8.91E-34,0.194804664,0.423,0.287,2.23E-29,Arhgap39
Ppp2r5c,8.30E-28,0.196985424,0.261,0.164,2.08E-23,Ppp2r5c
Immp2l,5.73E-18,0.197738895,0.347,0.251,1.43E-13,Immp2l
Camk1d,6.45E-22,0.198343281,0.748,0.608,1.61E-17,Camk1d
Csf3r,8.60E-38,0.199317283,0.473,0.325,2.15E-33,Csf3r
Gsap,3.14E-25,0.200115899,0.377,0.265,7.86E-21,Gsap
Mgat5,2.61E-36,0.201130197,0.428,0.29,6.54E-32,Mgat5
Tet3,3.82E-33,0.2017562,0.282,0.174,9.58E-29,Tet3
Pitpnc1,6.58E-17,0.201825223,0.506,0.397,1.65E-12,Pitpnc1
Abr,5.66E-28,0.201991033,0.327,0.215,1.42E-23,Abr
Pros1,2.99E-35,0.207346479,0.335,0.215,7.49E-31,Pros1
Asph,3.70E-30,0.210559181,0.419,0.287,9.26E-26,Asph
Anxa3,6.18E-29,0.211831981,0.499,0.359,1.55E-24,Anxa3
Lrrc4,1.42E-22,0.212336119,0.363,0.257,3.55E-18,Lrrc4
Dock2,2.51E-20,0.212586351,0.709,0.576,6.28E-16,Dock2
Mast4,7.93E-21,0.213230142,0.264,0.173,1.99E-16,Mast4
Cyfip1,1.53E-28,0.213930995,0.442,0.31,3.82E-24,Cyfip1
Fcrls,2.28E-42,0.215349504,0.365,0.226,5.70E-38,Fcrls
Tbxas1,1.21E-31,0.219926373,0.491,0.352,3.03E-27,Tbxas1
Cdk14,1.29E-24,0.220598176,0.37,0.256,3.22E-20,Cdk14
Mlxipl,7.80E-19,0.22334385,0.285,0.197,1.95E-14,Mlxipl
Hps4,3.69E-34,0.223386121,0.254,0.149,9.23E-30,Hps4
Apobec1,5.74E-18,0.223546457,0.266,0.176,1.44E-13,Apobec1
Acer3,1.33E-24,0.228585349,0.427,0.3,3.32E-20,Acer3
Cd84,4.37E-29,0.233455367,0.489,0.349,1.09E-24,Cd84
Fmnl3,1.88E-32,0.242004329,0.28,0.171,4.70E-28,Fmnl3
Stx16,6.59E-28,0.242462539,0.257,0.157,1.65E-23,Stx16
Lyst,1.44E-26,0.24401843,0.321,0.204,3.60E-22,Lyst
Cux1,8.13E-28,0.249598342,0.5,0.356,2.04E-23,Cux1
Zmynd8,3.35E-28,0.250621629,0.255,0.152,8.40E-24,Zmynd8
Nrp1,1.89E-25,0.253796952,0.34,0.223,4.73E-21,Nrp1
Ppm1h,8.82E-38,0.255611484,0.603,0.427,2.21E-33,Ppm1h
Gm26740,4.60E-33,0.257452251,0.339,0.211,1.15E-28,Gm26740
Fat3,4.63E-19,0.260834201,0.378,0.269,1.16E-14,Fat3
Ctsb,1.20E-30,0.261786955,0.397,0.263,3.00E-26,Ctsb
3110082I17Rik,1.16E-30,0.263853829,0.256,0.148,2.92E-26,3110082I17Rik
Ubash3b,1.29E-25,0.268651174,0.565,0.417,3.23E-21,Ubash3b
mt-Co1,1.18E-24,0.272382095,0.386,0.248,2.96E-20,mt-Co1
Cd37,2.06E-42,0.272788627,0.352,0.209,5.15E-38,Cd37
Atp8a1,6.36E-22,0.274172671,0.52,0.385,1.59E-17,Atp8a1
Daglb,1.12E-34,0.274954817,0.297,0.175,2.80E-30,Daglb
2010111I01Rik,2.59E-25,0.275801863,0.304,0.191,6.48E-21,2010111I01Rik
Gm26573,1.50E-26,0.278006112,0.385,0.257,3.74E-22,Gm26573
Usp12,6.69E-35,0.282007497,0.254,0.14,1.68E-30,Usp12
Rnf216,1.79E-20,0.290132322,0.548,0.416,4.48E-16,Rnf216
Snx24,2.65E-36,0.299474262,0.426,0.273,6.63E-32,Snx24
Pvt1,2.89E-47,0.304972431,0.429,0.26,7.24E-43,Pvt1
Cdk6,5.09E-28,0.306676221,0.269,0.155,1.27E-23,Cdk6
Fbrsl1,6.20E-23,0.321278619,0.274,0.169,1.55E-18,Fbrsl1
C230088H06Rik,1.86E-33,0.32199024,0.274,0.154,4.66E-29,C230088H06Rik
Snhg11,1.98E-13,0.325679385,0.41,0.295,4.95E-09,Snhg11
mt-Atp6,4.90E-19,0.331591708,0.373,0.25,1.23E-14,mt-Atp6
Cd9,1.10E-29,0.331931439,0.334,0.204,2.76E-25,Cd9
Gm20663,5.71E-13,0.332158822,0.381,0.284,1.43E-08,Gm20663
Cotl1,1.58E-39,0.342722362,0.263,0.137,3.97E-35,Cotl1
Lrmda,2.38E-24,0.345168577,0.884,0.79,5.95E-20,Lrmda
mt-Nd4,5.53E-22,0.34802326,0.254,0.145,1.38E-17,mt-Nd4
mt-Co2,2.68E-26,0.357132798,0.353,0.218,6.71E-22,mt-Co2
Ctsz,3.72E-36,0.357607436,0.369,0.22,9.32E-32,Ctsz
Gm16599,2.43E-26,0.368170863,0.42,0.278,6.09E-22,Gm16599
Lamp2,9.94E-35,0.368554565,0.337,0.197,2.49E-30,Lamp2
Fam196b,4.89E-24,0.387711874,0.459,0.316,1.23E-19,Fam196b
Mitf,4.49E-24,0.391127767,0.524,0.37,1.12E-19,Mitf
Rassf3,2.35E-31,0.392759132,0.338,0.199,5.88E-27,Rassf3
Dgkz,4.18E-35,0.39965203,0.255,0.128,1.05E-30,Dgkz
H2-D1,3.74E-24,0.408572962,0.283,0.165,9.38E-20,H2-D1
H2-K1,1.33E-30,0.427213157,0.254,0.13,3.32E-26,H2-K1
mt-Cytb,4.28E-23,0.457878645,0.304,0.175,1.07E-18,mt-Cytb
Fgf13,2.41E-13,0.458774062,0.47,0.352,6.04E-09,Fgf13
Arhgap24,1.14E-36,0.460866682,0.352,0.193,2.86E-32,Arhgap24
Ttr,2.29E-16,0.517057996,0.458,0.333,5.73E-12,Ttr
mt-Co3,2.18E-31,0.554284583,0.455,0.28,5.45E-27,mt-Co3
Apbb2,7.37E-29,0.572875467,0.407,0.244,1.84E-24,Apbb2
Apoe,2.49E-76,0.778239956,0.62,0.326,6.23E-72,Apoe
Cacna1a,4.13E-48,0.968994309,0.269,0.091,1.03E-43,Cacna1a
Tsix,1.14E-272,2.755422777,0.412,0.001,2.86E-268,Tsix
