,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
St3gal5,1.12E-60,0.515964235,0.388,0.247,3.00E-56,1,St3gal5
Peak1,1.85E-60,-0.558662537,0.291,0.432,4.96E-56,1,Peak1
Mef2c,4.21E-60,0.25693309,0.931,0.851,1.13E-55,1,Mef2c
Nfia,1.87E-59,0.402979626,0.752,0.631,5.01E-55,1,Nfia
Soga1,1.98E-59,0.463333774,0.551,0.431,5.32E-55,1,Soga1
Plxna4,9.98E-59,0.486368568,0.552,0.42,2.68E-54,1,Plxna4
Sparc,1.78E-57,0.487747995,0.443,0.309,4.76E-53,1,Sparc
H2-K1,5.51E-57,-0.569510884,0.299,0.432,1.48E-52,1,H2-K1
Acaca,6.60E-57,-0.602475079,0.305,0.421,1.77E-52,1,Acaca
Zfp710,7.40E-57,0.361659154,0.77,0.671,1.99E-52,1,Zfp710
Sall1,1.45E-56,0.474443048,0.414,0.276,3.89E-52,1,Sall1
Otulinl,4.23E-56,0.37941998,0.686,0.575,1.13E-51,1,Otulinl
Ubash3b,2.18E-54,0.350308505,0.807,0.719,5.84E-50,1,Ubash3b
Gpr34,2.57E-54,0.455934786,0.531,0.409,6.89E-50,1,Gpr34
Bbs9,5.10E-54,0.46221727,0.56,0.435,1.37E-49,1,Bbs9
Entpd1,1.61E-53,0.368876061,0.733,0.617,4.32E-49,1,Entpd1
Gtf2h2,6.90E-53,0.430966836,0.509,0.388,1.85E-48,1,Gtf2h2
Gm50035,7.55E-53,0.434527322,0.456,0.329,2.03E-48,1,Gm50035
Med12l,4.94E-52,0.417118499,0.55,0.43,1.33E-47,1,Med12l
Rai14,1.03E-51,-0.532084391,0.154,0.266,2.78E-47,1,Rai14
Cst3,3.76E-51,0.220500985,0.88,0.791,1.01E-46,1,Cst3
Itgam,9.33E-51,0.378570663,0.612,0.489,2.50E-46,1,Itgam
Foxn3,9.39E-51,0.261510374,0.925,0.869,2.52E-46,1,Foxn3
Slc8a1,1.31E-50,0.222068808,0.953,0.889,3.51E-46,1,Slc8a1
H2-D1,1.50E-50,-0.480728334,0.306,0.437,4.02E-46,1,H2-D1
Nos1ap,1.67E-50,0.494177176,0.356,0.239,4.47E-46,1,Nos1ap
Abca9,1.90E-50,0.385962288,0.543,0.407,5.10E-46,1,Abca9
Itgb5,2.27E-50,0.272294764,0.83,0.722,6.10E-46,1,Itgb5
Dst,6.20E-50,0.246587426,0.897,0.81,1.66E-45,1,Dst
Vsir,3.93E-49,0.394132585,0.53,0.404,1.06E-44,1,Vsir
Ddx60,5.77E-49,-0.65054496,0.181,0.28,1.55E-44,1,Ddx60
Vps13c,5.96E-49,-0.433485126,0.41,0.523,1.60E-44,1,Vps13c
Ctsb,6.65E-48,-0.433577475,0.485,0.594,1.78E-43,1,Ctsb
Hpgds,1.11E-47,0.290101946,0.803,0.712,2.97E-43,1,Hpgds
Herc2,9.48E-47,0.337585718,0.676,0.586,2.54E-42,1,Herc2
Ints6l,1.38E-46,0.375971439,0.646,0.537,3.71E-42,1,Ints6l
Aplp2,4.36E-46,-0.447569219,0.176,0.289,1.17E-41,1,Aplp2
Fgf13,4.37E-46,-0.626579138,0.558,0.6,1.17E-41,1,Fgf13
Map4k4,5.11E-46,0.349307292,0.649,0.553,1.37E-41,1,Map4k4
Snx29,5.76E-46,0.246127615,0.889,0.811,1.55E-41,1,Snx29
Bin2,7.89E-46,0.430265271,0.445,0.332,2.12E-41,1,Bin2
Csf1,2.55E-45,-0.596065154,0.16,0.263,6.84E-41,1,Csf1
Lysmd4,6.21E-45,0.316214541,0.813,0.726,1.67E-40,1,Lysmd4
Nrip1,1.19E-44,0.360389885,0.619,0.523,3.19E-40,1,Nrip1
Zfp704,1.62E-44,-0.517304939,0.196,0.303,4.34E-40,1,Zfp704
Plcl2,5.32E-44,0.295181208,0.821,0.761,1.43E-39,1,Plcl2
Fnip2,1.16E-43,-0.496777773,0.446,0.509,3.11E-39,1,Fnip2
Pmepa1,1.52E-43,0.428990508,0.472,0.356,4.07E-39,1,Pmepa1
Rgs10,3.95E-43,0.367306218,0.542,0.436,1.06E-38,1,Rgs10
Gm32036,1.74E-42,0.415211989,0.46,0.344,4.68E-38,1,Gm32036
Prkca,2.96E-42,0.37793171,0.598,0.491,7.94E-38,1,Prkca
Cfap74,4.81E-42,0.444949091,0.27,0.167,1.29E-37,1,Cfap74
Nr6a1,5.10E-42,0.40487368,0.553,0.449,1.37E-37,1,Nr6a1
Myo1e,1.04E-41,-0.580530037,0.338,0.436,2.78E-37,1,Myo1e
Slc7a8,1.15E-41,0.385360004,0.542,0.436,3.08E-37,1,Slc7a8
Pid1,5.27E-41,-0.514756352,0.559,0.568,1.41E-36,1,Pid1
Nrp1,7.35E-41,-0.432781244,0.492,0.599,1.97E-36,1,Nrp1
Znrf3,2.95E-40,-0.450662023,0.202,0.31,7.91E-36,1,Znrf3
Klf12,4.06E-40,0.340306384,0.644,0.535,1.09E-35,1,Klf12
Gm26740,7.57E-40,-0.451053739,0.339,0.457,2.03E-35,1,Gm26740
Adap2os,1.25E-39,0.359236638,0.559,0.462,3.35E-35,1,Adap2os
Rnf213,1.60E-39,-0.594269622,0.271,0.359,4.28E-35,1,Rnf213
Ly86,2.28E-39,0.235379654,0.857,0.768,6.11E-35,1,Ly86
Gm26542,4.38E-39,0.400241753,0.489,0.39,1.18E-34,1,Gm26542
Chn2,3.62E-38,0.124145453,0.792,0.685,9.72E-34,1,Chn2
Golm1,5.56E-38,0.375178349,0.479,0.386,1.49E-33,1,Golm1
Rtn4rl1,7.18E-38,0.387297844,0.438,0.329,1.93E-33,1,Rtn4rl1
Bmp2k,8.17E-38,0.2886178,0.741,0.666,2.19E-33,1,Bmp2k
Arid5b,2.36E-37,-0.431746703,0.427,0.535,6.34E-33,1,Arid5b
Ppp1r9a,4.47E-37,0.29231796,0.719,0.622,1.20E-32,1,Ppp1r9a
Stat1,8.80E-37,-0.558502273,0.253,0.333,2.36E-32,1,Stat1
Itga9,1.22E-36,0.433571,0.311,0.207,3.28E-32,1,Itga9
Cttnbp2nl,2.43E-36,0.322490948,0.628,0.532,6.51E-32,1,Cttnbp2nl
Cyfip1,2.52E-36,0.287685226,0.736,0.655,6.75E-32,1,Cyfip1
Dleu2,6.14E-36,0.229069798,0.899,0.844,1.65E-31,1,Dleu2
Plekhm2,1.39E-35,-0.403512698,0.356,0.46,3.74E-31,1,Plekhm2
Nr6a1os,1.88E-35,0.440033575,0.275,0.185,5.05E-31,1,Nr6a1os
Rps6ka1,2.59E-35,0.390679576,0.366,0.265,6.94E-31,1,Rps6ka1
Ctsd,3.58E-35,-0.268679555,0.769,0.751,9.61E-31,1,Ctsd
Csf3r,1.06E-34,0.23006967,0.759,0.672,2.85E-30,1,Csf3r
Abi3,1.09E-34,0.343425506,0.456,0.357,2.93E-30,1,Abi3
Cd48,4.12E-34,-0.380512399,0.17,0.265,1.11E-29,1,Cd48
Lrmda,5.05E-34,-0.114933612,0.924,0.884,1.35E-29,1,Lrmda
Rnf150,5.29E-34,-0.568831177,0.204,0.287,1.42E-29,1,Rnf150
Lyn,1.55E-33,0.148937088,0.909,0.837,4.17E-29,1,Lyn
Smap2,1.63E-33,0.261569173,0.722,0.631,4.38E-29,1,Smap2
Tbc1d16,2.49E-33,0.356392074,0.442,0.348,6.68E-29,1,Tbc1d16
Lair1,4.02E-33,0.245059158,0.766,0.676,1.08E-28,1,Lair1
Ikzf1,5.15E-33,0.227984436,0.855,0.797,1.38E-28,1,Ikzf1
Serinc3,9.59E-33,0.252803711,0.723,0.631,2.57E-28,1,Serinc3
Mgat4a,1.20E-32,0.312598734,0.615,0.523,3.22E-28,1,Mgat4a
Arhgap22,1.35E-32,0.292777526,0.6,0.498,3.62E-28,1,Arhgap22
Cables1,1.41E-32,0.378576597,0.38,0.282,3.79E-28,1,Cables1
Garnl3,2.01E-32,0.416787345,0.26,0.171,5.39E-28,1,Garnl3
Ctsc,3.86E-32,-0.454946523,0.34,0.432,1.04E-27,1,Ctsc
Samhd1,7.41E-32,-0.508130648,0.196,0.281,1.99E-27,1,Samhd1
Fam49b,1.53E-31,0.200789604,0.875,0.837,4.11E-27,1,Fam49b
Eef2k,1.55E-31,0.385192184,0.339,0.251,4.17E-27,1,Eef2k
Etl4,1.94E-31,-0.510073714,0.194,0.278,5.21E-27,1,Etl4
Tjp1,4.10E-31,0.354274891,0.398,0.314,1.10E-26,1,Tjp1
Stab1,4.94E-31,-0.511231542,0.275,0.264,1.33E-26,1,Stab1
Mctp1,5.11E-31,-0.523783803,0.641,0.673,1.37E-26,1,Mctp1
Cmtm7,1.02E-30,0.374700077,0.35,0.26,2.74E-26,1,Cmtm7
Lrp1,1.05E-30,0.290357731,0.621,0.538,2.82E-26,1,Lrp1
AU020206,2.41E-30,-0.342364411,0.51,0.596,6.48E-26,1,AU020206
Actr3,2.85E-30,-0.370275679,0.327,0.427,7.66E-26,1,Actr3
Mtus1,2.86E-30,0.34429349,0.382,0.292,7.67E-26,1,Mtus1
Specc1,3.62E-30,0.270021037,0.714,0.636,9.72E-26,1,Specc1
Pik3r1,4.40E-30,0.307490205,0.576,0.494,1.18E-25,1,Pik3r1
Rptor,6.89E-30,0.263644391,0.685,0.614,1.85E-25,1,Rptor
Parp14,8.58E-30,-0.497189102,0.232,0.313,2.30E-25,1,Parp14
Ppm1l,1.41E-29,0.405503243,0.252,0.165,3.80E-25,1,Ppm1l
Atg7,1.43E-29,-0.357453287,0.177,0.266,3.83E-25,1,Atg7
Rnf216,2.81E-29,0.266310596,0.679,0.619,7.53E-25,1,Rnf216
9130015G15Rik,3.45E-29,0.366804597,0.304,0.23,9.26E-25,1,9130015G15Rik
Rtn1,3.52E-29,0.342972875,0.43,0.336,9.45E-25,1,Rtn1
Rreb1,3.73E-29,0.18164798,0.896,0.833,1.00E-24,1,Rreb1
Il6ra,7.44E-29,0.304159005,0.539,0.455,2.00E-24,1,Il6ra
Dock8,7.61E-29,0.187950218,0.898,0.849,2.04E-24,1,Dock8
Rhobtb1,1.24E-28,0.314394744,0.338,0.241,3.33E-24,1,Rhobtb1
Dapp1,1.67E-28,0.325799377,0.447,0.363,4.48E-24,1,Dapp1
P2rx4,2.29E-28,-0.353479919,0.344,0.441,6.15E-24,1,P2rx4
Herc6,1.38E-27,-0.536965167,0.194,0.268,3.70E-23,1,Herc6
Ascc3,2.16E-27,-0.343945078,0.451,0.538,5.81E-23,1,Ascc3
Mlph,3.11E-27,0.347503381,0.3,0.216,8.36E-23,1,Mlph
Kif21b,3.98E-27,0.330635114,0.347,0.264,1.07E-22,1,Kif21b
Tbc1d1,4.05E-27,-0.374425021,0.215,0.304,1.09E-22,1,Tbc1d1
Fgr,6.21E-27,-0.422577804,0.199,0.281,1.67E-22,1,Fgr
Magi1,7.03E-27,0.226633979,0.712,0.621,1.89E-22,1,Magi1
F11r,1.33E-26,0.310526684,0.428,0.348,3.57E-22,1,F11r
Cers6,1.54E-26,-0.384608473,0.334,0.421,4.14E-22,1,Cers6
Rap1gds1,2.00E-26,0.224796385,0.795,0.743,5.36E-22,1,Rap1gds1
Ank,2.12E-26,-0.52707498,0.319,0.4,5.69E-22,1,Ank
Ralgapa2,2.39E-26,-0.368648936,0.219,0.308,6.40E-22,1,Ralgapa2
Nuak1,3.30E-26,0.312275884,0.457,0.374,8.85E-22,1,Nuak1
Zeb2,5.90E-26,-0.140485244,0.931,0.893,1.58E-21,1,Zeb2
Ptprj,6.60E-26,0.197660946,0.859,0.797,1.77E-21,1,Ptprj
Ptprm,1.97E-25,0.268455251,0.634,0.55,5.28E-21,1,Ptprm
Zc3hav1,3.34E-25,-0.386128131,0.266,0.352,8.97E-21,1,Zc3hav1
Soat1,4.68E-25,-0.336650782,0.217,0.303,1.26E-20,1,Soat1
5330438D12Rik,6.70E-25,0.257246585,0.651,0.595,1.80E-20,1,5330438D12Rik
Pwwp2a,1.19E-24,0.275081871,0.518,0.454,3.19E-20,1,Pwwp2a
Scoc,1.27E-24,0.29813264,0.346,0.28,3.42E-20,1,Scoc
Cd84,1.89E-24,-0.29378912,0.583,0.637,5.06E-20,1,Cd84
Hif1a,2.06E-24,-0.378184232,0.297,0.377,5.52E-20,1,Hif1a
Sirpa,2.93E-24,0.167153717,0.808,0.728,7.87E-20,1,Sirpa
Ulk2,3.18E-24,0.250802057,0.644,0.576,8.55E-20,1,Ulk2
Epsti1,3.39E-24,-0.40689382,0.382,0.454,9.10E-20,1,Epsti1
Apba1,4.93E-24,0.297946496,0.529,0.457,1.32E-19,1,Apba1
Slc16a6,5.77E-24,0.306429522,0.375,0.301,1.55E-19,1,Slc16a6
Fmnl2,3.47E-23,-0.402372548,0.427,0.502,9.32E-19,1,Fmnl2
Arhgap45,4.58E-23,0.214419631,0.752,0.694,1.23E-18,1,Arhgap45
Wasf2,5.85E-23,0.224273243,0.687,0.63,1.57E-18,1,Wasf2
Atp2b1,7.51E-23,-0.286140263,0.626,0.695,2.02E-18,1,Atp2b1
Large1,8.00E-23,0.110450607,0.794,0.713,2.15E-18,1,Large1
Tank,1.03E-22,-0.37195028,0.245,0.326,2.77E-18,1,Tank
Prkce,1.37E-22,0.289606341,0.484,0.407,3.67E-18,1,Prkce
Picalm,1.65E-22,0.199463397,0.778,0.714,4.43E-18,1,Picalm
Fhit,2.06E-22,0.310119771,0.538,0.459,5.53E-18,1,Fhit
Gm16337,3.43E-22,0.283784835,0.437,0.36,9.20E-18,1,Gm16337
Zfp608,3.67E-22,0.288787489,0.396,0.34,9.86E-18,1,Zfp608
Tubgcp5,4.33E-22,0.291002625,0.456,0.384,1.16E-17,1,Tubgcp5
Sncaip,4.92E-22,0.324837303,0.322,0.245,1.32E-17,1,Sncaip
Nckap1l,6.07E-22,0.244292348,0.572,0.506,1.63E-17,1,Nckap1l
Cd33,6.16E-22,0.281619901,0.351,0.269,1.65E-17,1,Cd33
Ralgps1,6.18E-22,0.331487578,0.255,0.188,1.66E-17,1,Ralgps1
Tmcc1,1.11E-21,-0.368157217,0.504,0.581,2.97E-17,1,Tmcc1
Zeb1,1.25E-21,0.240563769,0.658,0.583,3.35E-17,1,Zeb1
Cdc42se2,1.36E-21,-0.301375868,0.234,0.316,3.66E-17,1,Cdc42se2
Myo9b,1.51E-21,-0.270792526,0.407,0.495,4.06E-17,1,Myo9b
Phf14,1.53E-21,0.234899078,0.674,0.612,4.11E-17,1,Phf14
Camk1,1.83E-21,0.27545589,0.395,0.336,4.90E-17,1,Camk1
Cacna1a,2.39E-21,-0.364367094,0.436,0.489,6.42E-17,1,Cacna1a
4930517O19Rik,2.45E-21,0.314741481,0.353,0.282,6.56E-17,1,4930517O19Rik
Sdk1,2.61E-21,0.346477686,0.334,0.258,7.00E-17,1,Sdk1
Fli1,2.85E-21,0.180031668,0.846,0.799,7.66E-17,1,Fli1
Ntpcr,3.08E-21,0.297297337,0.323,0.254,8.27E-17,1,Ntpcr
Sh3pxd2a,3.61E-21,0.272327668,0.428,0.353,9.70E-17,1,Sh3pxd2a
Cyth1,4.69E-21,-0.344272253,0.199,0.273,1.26E-16,1,Cyth1
Macf1,5.16E-21,0.140075959,0.952,0.92,1.38E-16,1,Macf1
Cfh,7.17E-21,0.181153756,0.677,0.594,1.93E-16,1,Cfh
Ppcdc,8.77E-21,0.262621942,0.479,0.413,2.35E-16,1,Ppcdc
Lrch1,9.70E-21,0.189523772,0.807,0.761,2.60E-16,1,Lrch1
Gna15,9.75E-21,0.283925879,0.377,0.31,2.62E-16,1,Gna15
Trim30a,1.12E-20,-0.33241784,0.407,0.482,3.00E-16,1,Trim30a
Vav2,1.16E-20,0.289945623,0.359,0.29,3.12E-16,1,Vav2
Scamp2,1.41E-20,0.279298467,0.395,0.324,3.77E-16,1,Scamp2
Ccr5,1.58E-20,0.323568402,0.308,0.239,4.23E-16,1,Ccr5
Pard3b,2.37E-20,0.288557315,0.476,0.411,6.37E-16,1,Pard3b
Tmem135,2.49E-20,0.226333889,0.61,0.561,6.69E-16,1,Tmem135
Galnt7,2.74E-20,-0.327771107,0.298,0.379,7.35E-16,1,Galnt7
Fmnl3,3.08E-20,0.2562022,0.475,0.414,8.27E-16,1,Fmnl3
Prkch,4.37E-20,-0.358771844,0.361,0.44,1.17E-15,1,Prkch
Prkn,8.02E-20,0.220108612,0.707,0.639,2.15E-15,1,Prkn
Malat1,1.05E-19,-0.122061132,1,1,2.81E-15,1,Malat1
Tacc1,1.26E-19,0.228147813,0.625,0.58,3.37E-15,1,Tacc1
Gab1,1.51E-19,0.327104964,0.301,0.237,4.04E-15,1,Gab1
Rock2,1.54E-19,0.222190298,0.608,0.545,4.14E-15,1,Rock2
Usp24,1.96E-19,0.242609765,0.454,0.399,5.25E-15,1,Usp24
Pkig,2.45E-19,0.276684752,0.4,0.325,6.58E-15,1,Pkig
2610203C22Rik,2.88E-19,0.289180079,0.396,0.332,7.72E-15,1,2610203C22Rik
Man1a2,3.59E-19,0.222089981,0.557,0.498,9.62E-15,1,Man1a2
Slc38a6,3.76E-19,-0.328267469,0.228,0.3,1.01E-14,1,Slc38a6
1-Mar,4.73E-19,0.223492235,0.618,0.544,1.27E-14,1,1-Mar
Gm15283,5.61E-19,-0.351632738,0.275,0.348,1.51E-14,1,Gm15283
Pip4k2a,5.86E-19,0.167286862,0.843,0.801,1.57E-14,1,Pip4k2a
Arhgap24,9.22E-19,-0.289272326,0.517,0.559,2.47E-14,1,Arhgap24
Slc1a3,1.05E-18,0.272725782,0.468,0.402,2.82E-14,1,Slc1a3
B2m,1.14E-18,-0.274048076,0.274,0.352,3.07E-14,1,B2m
B430010I23Rik,1.50E-18,0.287908212,0.331,0.263,4.03E-14,1,B430010I23Rik
Fam91a1,1.92E-18,0.2661853,0.343,0.283,5.14E-14,1,Fam91a1
Gm17231,2.35E-18,0.307952889,0.292,0.23,6.30E-14,1,Gm17231
Git2,3.58E-18,0.222519493,0.553,0.492,9.62E-14,1,Git2
Cdk14,4.25E-18,-0.33916968,0.451,0.507,1.14E-13,1,Cdk14
Susd6,4.30E-18,-0.285231335,0.447,0.519,1.15E-13,1,Susd6
Cds1,5.78E-18,0.26839804,0.3,0.24,1.55E-13,1,Cds1
Wwp1,6.35E-18,-0.375330821,0.278,0.332,1.70E-13,1,Wwp1
Basp1,1.17E-17,0.233770812,0.561,0.495,3.13E-13,1,Basp1
Mta3,1.67E-17,-0.316891485,0.188,0.253,4.49E-13,1,Mta3
Sipa1,1.73E-17,0.268171067,0.28,0.219,4.63E-13,1,Sipa1
Pros1,1.74E-17,0.249406724,0.489,0.44,4.66E-13,1,Pros1
Ncf1,1.78E-17,0.265181696,0.341,0.276,4.78E-13,1,Ncf1
Slc36a1,2.23E-17,0.26590873,0.289,0.228,5.99E-13,1,Slc36a1
Hivep2,2.24E-17,-0.394201588,0.215,0.271,6.00E-13,1,Hivep2
Gng12,2.24E-17,-0.291793731,0.312,0.387,6.02E-13,1,Gng12
Nsmce2,2.25E-17,-0.213991042,0.409,0.491,6.04E-13,1,Nsmce2
Gm26827,2.61E-17,0.284192774,0.295,0.23,7.02E-13,1,Gm26827
Wnk1,2.83E-17,0.165626423,0.82,0.793,7.58E-13,1,Wnk1
