gene,OL,OPC,MG,EN,EPEN,IN,AST,VAS
Taf1,0,0,0,0,0,0.155917379,0,0
Rpgr,0,0,0,0,0.771459432,0.253857675,0,0
Hs6st2,0,0,0,0,1.039586615,0.389883788,0,0
Il1rapl2,0,0,0,0,0,1.680023216,0,0
Phf8,0,0,0,0,0,0.133801855,0,0
Gnl3l,0,0,0,0,0,0.222078616,0,0
Rragb,0,0,0,0.166912649,0,0.172054349,0,0
Mamld1,0,0,0,0.30438484,0.7085727,0.217161304,0,0
Phka2,0,0,0,0.11947079,0,0.148809039,0,0
Sms,0,0,0,0.25788668,0,0.145735781,0,0
Pcdh19,0,0,0,0,0,0.202903825,0,0
Ap1s2,0,0,0,0,1.342389641,0,0,0
Atp11c,0,0,0,0,1.238923618,0,0,0
Atp7a,0,0,0,0,1.08830578,0,0,0
Brwd3,0,0,0,0,1.329988837,0,0,0
Col4a5,0,0,0,0,1.237569278,0,0,0
Cul4b,0,0,0,0,1.321346646,0,0,0
Htr2c,0,0,0,0,5.861439253,0,0,0
Maob,0,0,0,0,1.264248718,0,0,0
Chic1,0,0,0,0,0.682293402,0,0,0
Upf3b,0,0,0,0,0.550754405,0,0,0
Xiap,0,0,0,0,0.392824748,0,0,0
Mtmr1,0,0,0,0.11374827,0,0,0,0
Pls3,0,0,0,0.264126168,0,0,0,0
