,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,Gene_symbol,Gene_ID,IN
23,0,0.699376057,0.481,0.186,0,Las1l,LAS1L,Las1l,0.699376057
24,0,0.328546078,0.467,0.284,0,Map7d2,MAP7D2,Map7d2,0.328546078
25,0,1.629252361,0.59,0.051,0,Nhs,NHS,Nhs,1.629252361
26,0,0.320681558,0.657,0.451,0,Ogt,OGT,Ogt,0.320681558
27,0,-0.177092007,0.405,0.295,0,Ophn1,OPHN1,Ophn1,-0.177092007
28,0,0.539569445,0.681,0.447,0,Pak3,PAK3,Pak3,0.539569445
29,0,0.273290652,0.292,0.155,0,Pola1,POLA1,Pola1,0.273290652
30,0,0.316461029,0.585,0.397,0,Reps2,REPS2,Reps2,0.316461029
31,0,-0.168887152,0.373,0.261,0,Sh3kbp1,SH3KBP1,Sh3kbp1,-0.168887152
32,0,0.387245951,0.281,0.138,0,Smarca1,SMARCA1,Smarca1,0.387245951
33,0,0.155917379,0.321,0.191,0,Taf1,TAF1,Taf1,0.155917379
34,0,0.238509921,0.406,0.217,0,Tbl1x,TBL1X,Tbl1x,0.238509921
35,0,1.331215233,0.752,0.447,0,Tenm1,TENM1,Tenm1,1.331215233
36,0,0.476064167,0.398,0.223,0,Tro,TRO,Tro,0.476064167
37,0,-0.534966954,0.523,0.452,0,Tspan7,TSPAN7,Tspan7,-0.534966954
38,0,0.086130967,0.544,0.397,0,Usp9x,USP9X,Usp9x,0.086130967
39,0,-0.477831595,0.425,0.424,0,Xist,XIST,Xist,-0.477831595
40,0,0.508237531,0.444,0.239,0,Zcchc18,ZCCHC18,Zcchc18,0.508237531
41,1.19415666599829e-320,-0.071788837,0.502,0.386,2.99052653865952e-316,Cask,CASK,Cask,-0.071788837
42,1.21123700944067e-317,0.253857675,0.273,0.152,3.03330084274227e-313,Rpgr,RPGR,Rpgr,0.253857675
43,1.4191925697777e-314,0.270364371,0.365,0.23,3.5540839524943e-310,Slc9a7,SLC9A7,Slc9a7,0.270364371
44,8.11550692731676e-313,0.389883788,0.261,0.145,0.00E+00,Hs6st2,HS6ST2,Hs6st2,0.389883788
45,8.57951338087439e-311,0.266333971,0.435,0.292,2.15E-306,Syn1,SYN1,Syn1,0.266333971
46,1.05E-307,0.274732775,0.401,0.262,2.64E-303,Apex2,APEX2,Apex2,0.274732775
47,2.29E-298,-0.112223551,0.601,0.512,5.73E-294,Atrx,ATRX,Atrx,-0.112223551
48,1.72E-285,-0.290163154,0.262,0.219,4.31E-281,Lamp2,LAMP2,Lamp2,-0.290163154
49,2.04E-285,0.32734054,0.44,0.303,5.10E-281,Cdkl5,CDKL5,Cdkl5,0.32734054
50,1.10E-275,-0.481659222,0.162,0.269,2.77E-271,Slc16a2,SLC16A2,Slc16a2,-0.481659222
51,1.02E-267,0.237022718,0.854,0.742,2.55E-263,Il1rapl1,IL1RAPL1,Il1rapl1,0.237022718
52,2.05E-263,0.133801855,0.262,0.16,5.12E-259,Phf8,PHF8,Phf8,0.133801855
53,2.66E-262,0.125498781,0.378,0.26,6.67E-258,Chm,CHM,Chm,0.125498781
54,1.41E-261,0.274243452,0.377,0.25,3.52E-257,Syp,SYP,Syp,0.274243452
55,4.33E-254,0.27401345,0.423,0.293,1.08E-249,Pdzd4,PDZD4,Pdzd4,0.27401345
56,1.31E-253,0.126795022,0.34,0.229,3.27E-249,Gripap1,GRIPAP1,Gripap1,0.126795022
57,2.52E-248,-0.487716363,0.223,0.3,6.31E-244,Nhsl2,NHSL2,Nhsl2,-0.487716363
58,3.81E-245,0.222078616,0.257,0.152,9.53E-241,Gnl3l,GNL3L,Gnl3l,0.222078616
59,1.61E-239,0.114121022,0.377,0.266,4.04E-235,Ocrl,OCRL,Ocrl,0.114121022
60,6.62E-237,0.124357243,0.398,0.286,1.66E-232,Araf,ARAF,Araf,0.124357243
61,1.02E-226,0.507171716,0.345,0.287,2.56E-222,Trpc5,TRPC5,Trpc5,0.507171716
62,1.34E-215,0.172054349,0.285,0.184,3.36E-211,Rragb,RRAGB,Rragb,0.172054349
63,2.55E-206,0.030788481,0.471,0.383,6.39E-202,Arhgef9,ARHGEF9,Arhgef9,0.030788481
64,2.37E-205,-0.168652187,0.309,0.255,5.94E-201,Stag2,STAG2,Stag2,-0.168652187
65,1.17E-200,-0.131564328,0.418,0.357,2.93E-196,Thoc2,THOC2,Thoc2,-0.131564328
66,6.54E-197,0.217161304,0.287,0.188,1.64E-192,Mamld1,MAMLD1,Mamld1,0.217161304
67,1.13E-185,0.148809039,0.293,0.197,2.84E-181,Phka2,PHKA2,Phka2,0.148809039
68,1.78E-183,-0.362757697,0.265,0.266,4.46E-179,Kdm6a,KDM6A,Kdm6a,-0.362757697
69,5.74E-181,-0.046194858,0.316,0.246,1.44E-176,Kdm5c,KDM5C,Kdm5c,-0.046194858
70,6.54E-158,0.145735781,0.257,0.174,1.64E-153,Sms,SMS,Sms,0.145735781
71,3.83E-153,-0.12430421,0.331,0.28,9.59E-149,Mecp2,MECP2,Mecp2,-0.12430421
72,2.81E-145,-0.004956557,0.358,0.288,7.03E-141,Fam120c,FAM120C,Fam120c,-0.004956557
73,2.85E-133,0.027970778,0.27,0.201,7.13E-129,Med14,MED14,Med14,0.027970778
74,5.97E-115,0.073279291,0.263,0.195,1.49E-110,Phf6,PHF6,Phf6,0.073279291
75,2.84E-108,-0.026676644,0.398,0.344,7.10E-104,Zc3h12b,ZC3H12B,Zc3h12b,-0.026676644
76,1.38E-106,-0.030980184,0.294,0.242,3.47E-102,Txlng,TXLNG,Txlng,-0.030980184
77,1.19E-101,-0.189098166,0.281,0.269,2.97E-97,Rps6ka3,RPS6KA3,Rps6ka3,-0.189098166
78,1.24E-101,-0.082176767,0.322,0.285,3.09E-97,Atp2b3,ATP2B3,Atp2b3,-0.082176767
79,5.57E-96,-0.013701642,0.263,0.214,1.40E-91,Chic1,CHIC1,Chic1,-0.013701642
80,2.82E-92,0.202903825,0.254,0.187,7.05E-88,Pcdh19,PCDH19,Pcdh19,0.202903825
81,1.87E-61,0.318226089,0.649,0.589,4.68E-57,Gria3,GRIA3,Gria3,0.318226089
