,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,Gene_symbol,Gene_ID,EN
25,0,0.881517858,0.604,0.145,0,Iqsec2,IQSEC2,Iqsec2,0.881517858
26,0,-0.203975841,0.315,0.178,0,Kdm5c,KDM5C,Kdm5c,-0.203975841
27,0,-0.617825005,0.299,0.226,0,Kdm6a,KDM6A,Kdm6a,-0.617825005
28,0,-0.130366297,0.259,0.155,0,Las1l,LAS1L,Las1l,-0.130366297
29,0,0.30438484,0.283,0.095,0,Mamld1,MAMLD1,Mamld1,0.30438484
30,0,0.221624027,0.418,0.161,0,Map7d2,MAP7D2,Map7d2,0.221624027
31,0,-0.265455911,0.353,0.204,0,Mecp2,MECP2,Mecp2,-0.265455911
32,0,-0.09022414,0.271,0.132,0,Med14,MED14,Med14,-0.09022414
33,0,0.11374827,0.312,0.12,0,Mtmr1,MTMR1,Mtmr1,0.11374827
34,0,0.479574443,0.454,0.105,0,Nhsl2,NHSL2,Nhsl2,0.479574443
35,0,-0.03451302,0.356,0.181,0,Ocrl,OCRL,Ocrl,-0.03451302
36,0,-0.33200964,0.555,0.365,0,Ogt,OGT,Ogt,-0.33200964
37,0,-0.775097947,0.353,0.247,0,Ophn1,OPHN1,Ophn1,-0.775097947
38,0,0.999310351,0.701,0.193,0,Pak3,PAK3,Pak3,0.999310351
39,0,0.604981958,0.301,0.064,0,Pcdh19,PCDH19,Pcdh19,0.604981958
40,0,0.783505015,0.473,0.106,0,Pdzd4,PDZD4,Pdzd4,0.783505015
41,0,0.096866071,0.278,0.109,0,Phf6,PHF6,Phf6,0.096866071
42,0,0.11947079,0.287,0.109,0,Phka2,PHKA2,Phka2,0.11947079
43,0,-3.793412196,0.035,0.317,0,Plp1,PLP1,Plp1,-3.793412196
44,0,0.264126168,0.327,0.101,0,Pls3,PLS3,Pls3,0.264126168
45,0,0.66338543,0.605,0.186,0,Reps2,REPS2,Reps2,0.66338543
46,0,-0.032193933,0.359,0.165,0,Rps6ka3,RPS6KA3,Rps6ka3,-0.032193933
47,0,0.166912649,0.269,0.103,0,Rragb,RRAGB,Rragb,0.166912649
48,0,-0.85501262,0.279,0.262,0,Sh3kbp1,SH3KBP1,Sh3kbp1,-0.85501262
49,0,0.267424855,0.387,0.11,0,Slc16a2,SLC16A2,Slc16a2,0.267424855
50,0,0.389069367,0.353,0.11,0,Slc9a7,SLC9A7,Slc9a7,0.389069367
51,0,0.25788668,0.261,0.087,0,Sms,SMS,Sms,0.25788668
52,0,-0.578456143,0.287,0.226,0,Stag2,STAG2,Stag2,-0.578456143
53,0,0.697643909,0.465,0.114,0,Syn1,SYN1,Syn1,0.697643909
54,0,0.470559183,0.388,0.111,0,Syp,SYP,Syp,0.470559183
55,0,-0.877325838,0.213,0.256,0,Tbl1x,TBL1X,Tbl1x,-0.877325838
56,0,0.774551865,0.691,0.215,0,Tenm1,TENM1,Tenm1,0.774551865
57,0,-0.203433504,0.454,0.254,0,Thoc2,THOC2,Thoc2,-0.203433504
58,0,0.517107898,0.358,0.097,0,Tro,TRO,Tro,0.517107898
59,0,1.017255077,0.471,0.081,0,Trpc5,TRPC5,Trpc5,1.017255077
60,0,-0.963818651,0.536,0.367,0,Tspan7,TSPAN7,Tspan7,-0.963818651
61,0,0.032210865,0.331,0.146,0,Txlng,TXLNG,Txlng,0.032210865
62,0,-0.278176719,0.501,0.302,0,Usp9x,USP9X,Usp9x,-0.278176719
63,0,-0.106197118,0.459,0.382,0,Xist,XIST,Xist,-0.106197118
64,0,0.235790308,0.48,0.193,0,Zc3h12b,ZC3H12B,Zc3h12b,0.235790308
65,0,0.291323464,0.361,0.134,0,Zcchc18,ZCCHC18,Zcchc18,0.291323464
