,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,Gene_symbol,Gene_ID,EPEN
32,2.07E-270,-0.568429614,0.049,0.265,5.18E-266,Syp,SYP,Syp,-0.568429614
33,2.59E-264,-0.693381946,0.202,0.476,6.49E-260,Ftx,FTX,Ftx,-0.693381946
34,3.60E-251,0.682293402,0.332,0.216,9.02E-247,Chic1,CHIC1,Chic1,0.682293402
35,2.28E-239,0.64107302,0.377,0.274,5.71E-235,Ocrl,OCRL,Ocrl,0.64107302
36,1.52E-236,-0.576350921,0.153,0.395,3.80E-232,Arhgef9,ARHGEF9,Arhgef9,-0.576350921
37,5.03E-227,-0.73176917,0.159,0.401,1.26E-222,Cask,CASK,Cask,-0.73176917
38,1.39E-197,0.512316884,0.538,0.483,3.47E-193,Huwe1,HUWE1,Huwe1,0.512316884
39,3.83E-186,0.515580357,0.544,0.466,9.59E-182,Ogt,OGT,Ogt,0.515580357
40,3.07E-177,0.63906319,0.384,0.22,7.70E-173,Lamp2,LAMP2,Lamp2,0.63906319
41,1.50E-140,0.509735461,0.406,0.424,3.77E-136,Xist,XIST,Xist,0.509735461
42,2.23E-132,-0.34135506,0.167,0.334,5.60E-128,Gprasp1,GPRASP1,Gprasp1,-0.34135506
43,1.50E-131,-0.196257906,0.157,0.296,3.77E-127,Fam120c,FAM120C,Fam120c,-0.196257906
44,7.49E-130,0.550754405,0.252,0.147,1.88E-125,Upf3b,UPF3B,Upf3b,0.550754405
45,1.20E-127,-0.268470953,0.231,0.396,3.01E-123,Iqsec2,IQSEC2,Iqsec2,-0.268470953
46,2.42E-124,0.331474673,0.532,0.52,6.06E-120,Atrx,ATRX,Atrx,0.331474673
47,1.53E-123,-0.191359876,0.127,0.259,3.84E-119,Zcchc18,ZCCHC18,Zcchc18,-0.191359876
48,1.10E-121,0.246245569,0.251,0.274,2.76E-117,Apex2,APEX2,Apex2,0.246245569
49,1.44E-114,0.542033013,0.252,0.141,3.61E-110,Ammecr1,AMMECR1,Ammecr1,0.542033013
50,6.77E-114,-0.250252317,0.176,0.317,1.69E-109,Cdkl5,CDKL5,Cdkl5,-0.250252317
51,3.82E-95,0.226001779,0.325,0.349,9.57E-91,Zc3h12b,ZC3H12B,Zc3h12b,0.226001779
52,2.03E-94,0.41566223,0.388,0.324,5.08E-90,Aff2,AFF2,Aff2,0.41566223
53,5.44E-88,0.449898739,0.344,0.23,1.36E-83,Tbl1x,TBL1X,Tbl1x,0.449898739
54,1.01E-76,-0.316806584,0.152,0.272,2.53E-72,Rps6ka3,RPS6KA3,Rps6ka3,-0.316806584
55,3.40E-72,0.392824748,0.262,0.165,8.53E-68,Xiap,XIAP,Xiap,0.392824748
56,5.97E-72,0.284293116,0.268,0.251,1.49E-67,Kdm5c,KDM5C,Kdm5c,0.284293116
57,1.36E-71,0.153868508,0.331,0.363,3.42E-67,Thoc2,THOC2,Thoc2,0.153868508
58,7.88E-69,0.183434112,0.395,0.409,1.97E-64,Usp9x,USP9X,Usp9x,0.183434112
59,8.29E-69,0.110326696,0.233,0.271,2.08E-64,Chm,CHM,Chm,0.110326696
60,4.18E-68,0.275645174,0.516,0.459,1.05E-63,Hdac8,HDAC8,Hdac8,0.275645174
61,1.25E-64,0.343365501,0.319,0.258,3.12E-60,Stag2,STAG2,Stag2,0.343365501
62,3.37E-52,0.162023348,0.275,0.285,8.44E-48,Mecp2,MECP2,Mecp2,0.162023348
63,1.91E-51,-0.102895528,0.215,0.297,4.78E-47,Araf,ARAF,Araf,-0.102895528
64,1.97E-48,0.21102032,0.35,0.303,4.94E-44,Ophn1,OPHN1,Ophn1,0.21102032
65,4.63E-30,-0.426609071,0.191,0.272,1.16E-25,Sh3kbp1,SH3KBP1,Sh3kbp1,-0.426609071
66,5.44E-30,0.169664953,0.283,0.265,1.36E-25,Kdm6a,KDM6A,Kdm6a,0.169664953
67,3.97E-17,-0.043249414,0.536,0.564,9.93E-13,Diaph2,DIAPH2,Diaph2,-0.043249414
