,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
Hapln2,2.19E-37,0.199054658,0.498,0.414,5.86E-33,1,Hapln2
Pvt1,3.75E-37,-0.301191215,0.371,0.404,1.01E-32,1,Pvt1
Robo1,2.76E-36,0.329041896,0.405,0.333,7.41E-32,1,Robo1
Grik1,2.85E-36,0.27192995,0.3,0.228,7.65E-32,1,Grik1
Tnik,3.86E-35,-0.352998076,0.21,0.266,1.04E-30,1,Tnik
Dock9,6.91E-35,0.170943908,0.728,0.657,1.85E-30,1,Dock9
Cacnb4,4.86E-33,-0.404705847,0.363,0.406,1.31E-28,1,Cacnb4
Sorcs1,1.02E-32,0.158973777,0.815,0.759,2.75E-28,1,Sorcs1
Dcc,1.09E-32,0.262976251,0.475,0.402,2.93E-28,1,Dcc
Dixdc1,1.63E-32,0.217660896,0.501,0.435,4.37E-28,1,Dixdc1
Tmem178b,1.80E-32,0.113622921,0.908,0.865,4.82E-28,1,Tmem178b
Mast4,1.95E-32,0.11309251,0.989,0.978,5.24E-28,1,Mast4
Pip4k2a,2.16E-31,0.157744432,0.797,0.739,5.79E-27,1,Pip4k2a
Srgap1,3.00E-31,-0.235190103,0.498,0.524,8.05E-27,1,Srgap1
Rasgrp3,7.29E-31,0.206833813,0.389,0.316,1.96E-26,1,Rasgrp3
Enpp2,3.05E-30,0.113852617,0.953,0.929,8.20E-26,1,Enpp2
Stxbp6,5.17E-30,0.196696781,0.635,0.568,1.39E-25,1,Stxbp6
A230001M10Rik,1.31E-29,0.16672954,0.683,0.615,3.51E-25,1,A230001M10Rik
Map7,1.98E-29,0.100091079,0.978,0.962,5.31E-25,1,Map7
Plxdc2,1.67E-28,0.117453245,0.927,0.895,4.47E-24,1,Plxdc2
Car2,4.70E-28,0.149503804,0.807,0.751,1.26E-23,1,Car2
Ablim2,5.16E-28,-0.146623465,0.486,0.481,1.38E-23,1,Ablim2
Oxr1,1.46E-27,0.174189577,0.731,0.681,3.91E-23,1,Oxr1
Fnbp1,2.87E-27,0.10340992,0.979,0.968,7.71E-23,1,Fnbp1
Mdga2,7.12E-27,0.143270953,0.887,0.851,1.91E-22,1,Mdga2
Dync1i1,1.19E-26,0.238807024,0.303,0.241,3.18E-22,1,Dync1i1
Slco3a1,2.60E-26,0.178137121,0.464,0.394,6.97E-22,1,Slco3a1
Epb41l3,4.48E-26,0.186148214,0.563,0.5,1.20E-21,1,Epb41l3
Folh1,4.90E-26,0.216229662,0.322,0.26,1.32E-21,1,Folh1
Inpp5a,1.16E-25,-0.264298044,0.285,0.337,3.10E-21,1,Inpp5a
Shtn1,2.63E-25,0.140901853,0.79,0.736,7.05E-21,1,Shtn1
Fam13c,4.67E-25,-0.267142944,0.318,0.359,1.25E-20,1,Fam13c
Plekhh2,7.67E-25,0.225608422,0.258,0.203,2.06E-20,1,Plekhh2
Prickle2,1.84E-24,0.116090986,0.92,0.886,4.93E-20,1,Prickle2
Ugt8a,2.62E-24,0.142874874,0.782,0.729,7.04E-20,1,Ugt8a
Cdh19,4.62E-24,0.183501156,0.607,0.546,1.24E-19,1,Cdh19
Kctd13,5.10E-24,0.172948492,0.5,0.435,1.37E-19,1,Kctd13
Gm28376,2.75E-23,0.181057457,0.518,0.455,7.39E-19,1,Gm28376
Tmem132d,6.22E-23,0.217536791,0.355,0.296,1.67E-18,1,Tmem132d
Sec14l5,1.18E-22,0.114166667,0.847,0.802,3.17E-18,1,Sec14l5
Pex5l,2.57E-22,-0.231182827,0.918,0.929,6.90E-18,1,Pex5l
Pcdh11x,4.10E-22,0.259607588,0.337,0.286,1.10E-17,1,Pcdh11x
Kif21a,4.48E-22,0.145999685,0.768,0.728,1.20E-17,1,Kif21a
Ptprk,4.93E-22,0.108780634,0.882,0.847,1.32E-17,1,Ptprk
Hecw2,8.31E-22,0.109587725,0.924,0.9,2.23E-17,1,Hecw2
Mog,3.49E-21,0.109228848,0.858,0.815,9.36E-17,1,Mog
Slc8a1,3.68E-21,0.124659093,0.876,0.838,9.88E-17,1,Slc8a1
Tspan5,4.06E-21,0.151578498,0.635,0.576,1.09E-16,1,Tspan5
Gm19500,9.34E-21,0.159655894,0.473,0.413,2.51E-16,1,Gm19500
Daam2,1.71E-20,0.130431425,0.767,0.723,4.59E-16,1,Daam2
Add1,1.94E-20,-0.18458497,0.495,0.527,5.22E-16,1,Add1
Tbc1d5,6.39E-20,0.105504618,0.904,0.878,1.71E-15,1,Tbc1d5
Nbea,7.47E-20,0.124216685,0.858,0.833,2.01E-15,1,Nbea
Slc13a1,9.21E-20,-0.263791275,0.259,0.3,2.47E-15,1,Slc13a1
Tmtc2,9.86E-20,-0.202182241,0.519,0.569,2.65E-15,1,Tmtc2
Cryab,2.86E-19,-0.24538526,0.24,0.285,7.68E-15,1,Cryab
Lrrc4c,3.03E-19,0.143838909,0.821,0.792,8.12E-15,1,Lrrc4c
Nbas,8.38E-19,0.116647574,0.797,0.758,2.25E-14,1,Nbas
Galnt7,1.50E-18,0.161898773,0.382,0.326,4.03E-14,1,Galnt7
Pstpip2,2.45E-18,0.136655441,0.675,0.625,6.58E-14,1,Pstpip2
Lpar1,4.92E-18,-0.21608068,0.281,0.332,1.32E-13,1,Lpar1
Naaladl2,8.55E-18,0.131147542,0.623,0.567,2.29E-13,1,Naaladl2
Jph1,9.34E-18,0.146340114,0.439,0.383,2.51E-13,1,Jph1
4930419G24Rik,9.87E-18,-0.206540458,0.625,0.651,2.65E-13,1,4930419G24Rik
Dip2a,9.92E-18,0.135056699,0.689,0.648,2.66E-13,1,Dip2a
Fa2h,1.02E-17,0.114602661,0.782,0.737,2.73E-13,1,Fa2h
Myo1d,1.12E-17,0.125752369,0.724,0.675,3.00E-13,1,Myo1d
Myo6,1.29E-16,0.116156237,0.761,0.722,3.47E-12,1,Myo6
Pcdh15,1.46E-16,0.132802008,0.407,0.353,3.92E-12,1,Pcdh15
Creb5,1.79E-16,-0.163792796,0.606,0.636,4.80E-12,1,Creb5
Plekhg1,2.05E-16,0.140576786,0.695,0.65,5.49E-12,1,Plekhg1
Tmeff1,3.25E-16,0.148156154,0.492,0.442,8.71E-12,1,Tmeff1
Ralgps1,3.51E-16,-0.167932098,0.604,0.636,9.41E-12,1,Ralgps1
Ephb1,3.77E-16,0.115076307,0.621,0.568,1.01E-11,1,Ephb1
Grik2,4.09E-16,-0.156550639,0.81,0.816,1.10E-11,1,Grik2
Rftn1,1.01E-15,0.129365978,0.43,0.377,2.71E-11,1,Rftn1
Cyp2j12,1.06E-15,0.167193312,0.308,0.262,2.85E-11,1,Cyp2j12
Ankrd28,1.15E-15,-0.133129338,0.755,0.769,3.09E-11,1,Ankrd28
1700111E14Rik,1.75E-15,0.177001505,0.408,0.358,4.69E-11,1,1700111E14Rik
Mal,3.25E-15,-0.147595218,0.621,0.641,8.71E-11,1,Mal
Nfasc,3.55E-15,-0.177292404,0.835,0.844,9.53E-11,1,Nfasc
Inpp5f,3.91E-15,0.141981106,0.516,0.474,1.05E-10,1,Inpp5f
Mycbp2,5.44E-15,0.103810146,0.774,0.733,1.46E-10,1,Mycbp2
Ccser1,7.27E-15,0.134266949,0.488,0.436,1.95E-10,1,Ccser1
Fign,1.10E-14,-0.177500332,0.419,0.469,2.96E-10,1,Fign
Pak7,1.71E-14,0.105978982,0.823,0.789,4.60E-10,1,Pak7
Mettl7a1,3.68E-14,0.150423878,0.363,0.316,9.86E-10,1,Mettl7a1
Myo1e,9.03E-14,0.118366897,0.377,0.329,2.42E-09,1,Myo1e
Phactr1,9.75E-14,0.103622968,0.788,0.748,2.62E-09,1,Phactr1
St3gal4,2.12E-13,0.16536491,0.296,0.255,5.70E-09,1,St3gal4
Csmd2,2.51E-13,-0.202847661,0.246,0.283,6.73E-09,1,Csmd2
Arsg,2.90E-13,0.145317267,0.4,0.359,7.78E-09,1,Arsg
Hsp90ab1,3.00E-13,-0.185278399,0.294,0.336,8.04E-09,1,Hsp90ab1
Arap2,3.61E-13,-0.14195885,0.527,0.537,9.69E-09,1,Arap2
Myo18a,3.80E-13,-0.138912545,0.492,0.511,1.02E-08,1,Myo18a
Ppp1r9a,4.02E-13,0.157487342,0.368,0.327,1.08E-08,1,Ppp1r9a
Eps15,4.87E-13,0.132488362,0.465,0.422,1.31E-08,1,Eps15
Cadm1,5.85E-13,-0.160923398,0.509,0.525,1.57E-08,1,Cadm1
Alcam,5.95E-13,0.154910481,0.288,0.246,1.60E-08,1,Alcam
Prag1,6.49E-13,-0.185183613,0.216,0.254,1.74E-08,1,Prag1
Pik3c2b,8.75E-13,0.130745721,0.519,0.483,2.35E-08,1,Pik3c2b
Itpk1,1.05E-12,0.118295538,0.577,0.533,2.81E-08,1,Itpk1
Megf10,1.20E-12,0.125990551,0.472,0.429,3.21E-08,1,Megf10
Gnai1,1.68E-12,0.121662214,0.477,0.432,4.50E-08,1,Gnai1
Fth1,1.85E-12,-0.14943506,0.671,0.684,4.98E-08,1,Fth1
Nrbp2,1.93E-12,0.123446486,0.525,0.482,5.18E-08,1,Nrbp2
Tafa5,2.12E-12,-0.14616912,0.449,0.469,5.69E-08,1,Tafa5
Heg1,2.68E-12,0.149550422,0.424,0.38,7.20E-08,1,Heg1
Apbb2,3.11E-12,0.111129574,0.621,0.578,8.34E-08,1,Apbb2
Gm10863,3.17E-12,-0.171972407,0.343,0.383,8.49E-08,1,Gm10863
Nav3,4.10E-12,-0.256816571,0.336,0.338,1.10E-07,1,Nav3
Map4k5,4.53E-12,0.108213394,0.582,0.539,1.22E-07,1,Map4k5
Fnip2,6.16E-12,-0.168473552,0.297,0.339,1.65E-07,1,Fnip2
Rcbtb1,6.56E-12,0.111719192,0.595,0.559,1.76E-07,1,Rcbtb1
Ptn,7.63E-12,-0.146307178,0.57,0.605,2.05E-07,1,Ptn
Cipc,9.69E-12,0.116766427,0.539,0.504,2.60E-07,1,Cipc
Ankub1,1.17E-11,0.123136016,0.28,0.239,3.14E-07,1,Ankub1
Arhgef10,1.23E-11,0.102123742,0.705,0.668,3.30E-07,1,Arhgef10
Slc25a13,1.24E-11,0.129443762,0.444,0.401,3.32E-07,1,Slc25a13
Tanc1,1.38E-11,0.122579608,0.465,0.425,3.72E-07,1,Tanc1
Frmd4a,2.50E-11,-0.610927912,0.294,0.309,6.70E-07,1,Frmd4a
Nrxn1,4.24E-11,-0.20058349,0.373,0.387,1.14E-06,1,Nrxn1
Dock5,1.35E-10,0.101616115,0.543,0.501,3.61E-06,1,Dock5
Slc1a3,1.45E-10,0.155206603,0.268,0.234,3.90E-06,1,Slc1a3
4930511M06Rik,1.95E-10,0.124723423,0.415,0.377,5.23E-06,1,4930511M06Rik
Aig1,2.85E-10,0.110683172,0.564,0.531,7.64E-06,1,Aig1
Eef1a1,4.52E-10,-0.155082505,0.231,0.268,1.21E-05,1,Eef1a1
Gm37459,4.81E-10,-0.139917233,0.527,0.537,1.29E-05,1,Gm37459
Tmod1,1.00E-09,-0.135117183,0.404,0.424,2.69E-05,1,Tmod1
Cdh10,1.04E-09,0.108446643,0.609,0.572,2.78E-05,1,Cdh10
Ank,1.09E-09,0.112812558,0.579,0.543,2.93E-05,1,Ank
Kctd3,1.17E-09,0.103974514,0.421,0.381,3.15E-05,1,Kctd3
Mical3,1.19E-09,-0.163398792,0.341,0.368,3.19E-05,1,Mical3
Foxp1,1.26E-09,0.109118795,0.602,0.57,3.38E-05,1,Foxp1
Prrg1,1.27E-09,0.138852512,0.278,0.242,3.41E-05,1,Prrg1
Exoc4,2.16E-09,-0.132506217,0.654,0.671,5.79E-05,1,Exoc4
Tspan2,2.39E-09,-0.114283472,0.69,0.706,6.40E-05,1,Tspan2
Pam,3.07E-09,0.119202627,0.376,0.341,8.23E-05,1,Pam
Arhgef12,3.43E-09,-0.138568743,0.483,0.508,9.19E-05,1,Arhgef12
Fbxl5,4.24E-09,-0.128608229,0.434,0.46,0.000113828,1,Fbxl5
Slc38a2,6.16E-09,0.106753872,0.516,0.479,0.000165298,1,Slc38a2
Sh3gl3,7.06E-09,-0.142070719,0.294,0.312,0.000189513,1,Sh3gl3
Micall1,9.40E-09,0.11096786,0.408,0.38,0.000252182,1,Micall1
Gm26936,1.02E-08,0.120375866,0.414,0.382,0.000273055,1,Gm26936
Hip1,1.04E-08,0.105810535,0.454,0.425,0.000278011,1,Hip1
Tmem63a,1.05E-08,0.104220294,0.439,0.403,0.000280426,1,Tmem63a
Ppfibp2,1.23E-08,-0.119437857,0.573,0.581,0.000329518,1,Ppfibp2
Clasrp,2.15E-08,0.100114314,0.342,0.322,0.000578167,1,Clasrp
Scamp5,2.44E-08,0.106292882,0.355,0.328,0.000654589,1,Scamp5
9330117O12Rik,2.44E-08,0.127713768,0.25,0.22,0.000654921,1,9330117O12Rik
Skap2,3.54E-08,0.11792134,0.311,0.282,0.000951224,1,Skap2
B3galt5,6.30E-08,0.11049906,0.341,0.308,0.001691133,1,B3galt5
Hsp90aa1,7.36E-08,-0.142474712,0.264,0.295,0.001973969,1,Hsp90aa1
Eml2,7.99E-08,0.10743716,0.363,0.335,0.00214534,1,Eml2
Trps1,9.04E-08,0.108459136,0.439,0.405,0.002426542,1,Trps1
Cd9,1.27E-07,-0.131037906,0.308,0.333,0.003420407,1,Cd9
Large1,1.97E-07,-0.134751254,0.22,0.25,0.005297056,1,Large1
Afdn,2.61E-07,0.108742575,0.359,0.332,0.006992828,1,Afdn
Galnt6,3.30E-07,0.110647227,0.327,0.3,0.00886153,1,Galnt6
Tmed10,4.48E-07,-0.11054583,0.228,0.258,0.012024194,1,Tmed10
Prnp,4.70E-07,-0.103343293,0.243,0.274,0.012618228,1,Prnp
Slc6a1,5.28E-07,0.110599425,0.272,0.248,0.014159479,1,Slc6a1
Cnp,1.13E-06,-0.102830191,0.362,0.394,0.030374564,1,Cnp
Cacna2d1,1.78E-06,-0.120596647,0.248,0.277,0.047755559,1,Cacna2d1
Gria4,1.98E-06,0.111500678,0.389,0.361,0.053016478,1,Gria4
Ralyl,3.00E-06,-0.144175204,0.25,0.278,0.080600972,1,Ralyl
Lcorl,3.41E-06,-0.124413748,0.392,0.411,0.09157613,1,Lcorl
Rtkn,4.96E-06,-0.104021775,0.238,0.266,0.133207834,1,Rtkn
Mob3b,5.42E-06,-0.125807158,0.276,0.291,0.145351561,1,Mob3b
Nalcn,5.66E-06,0.101281298,0.327,0.3,0.151990179,1,Nalcn
Nf1,7.42E-06,-0.102099446,0.531,0.552,0.199009073,1,Nf1
Serinc5,9.35E-06,-0.113088158,0.306,0.327,0.250918053,1,Serinc5
Lrmda,1.22E-05,0.130373623,0.298,0.275,0.327267029,1,Lrmda
Ptma,1.83E-05,-0.116582334,0.359,0.385,0.490556002,1,Ptma
Zfhx2,1.85E-05,-0.105417222,0.263,0.29,0.49729195,1,Zfhx2
Lrrc8b,3.04E-05,-0.111135796,0.383,0.409,0.816017057,1,Lrrc8b
Immp2l,3.42E-05,0.116680007,0.285,0.262,0.917932665,1,Immp2l
Bicral,5.38E-05,-0.10901074,0.308,0.333,1,1,Bicral
Ndst4,7.77E-05,0.101837203,0.302,0.28,1,1,Ndst4
Auts2,9.24E-05,-0.101834569,0.81,0.809,1,1,Auts2
Ick,9.37E-05,-0.104071232,0.3,0.321,1,1,Ick
Actb,0.000164846,-0.103213109,0.26,0.284,1,1,Actb
Tns3,0.000316636,-0.134087916,0.302,0.321,1,1,Tns3
Bach2,0.000426443,-0.103189369,0.324,0.339,1,1,Bach2
Hhip,0.000453716,-0.101231752,0.263,0.286,1,1,Hhip
Dip2c,0.000593776,-0.104349267,0.458,0.471,1,1,Dip2c
Tmem108,0.001333527,-0.116294954,0.244,0.264,1,1,Tmem108
Kirrel3.1,0,1.630355138,0.853,0.462,0,2,Kirrel3
7630403G23Rik,0,1.606545235,0.353,0.074,0,2,7630403G23Rik
Ptgds.1,0,0.762054882,0.827,0.633,0,2,Ptgds
Pex5l.1,0,0.614736985,0.948,0.914,0,2,Pex5l
A330049N07Rik.1,0,-0.748305873,0.353,0.6,0,2,A330049N07Rik
Ctnna2.1,0,-0.901820227,0.595,0.799,0,2,Ctnna2
Tmem117.1,0,-1.084308094,0.169,0.451,0,2,Tmem117
Apod.1,0,-1.151510037,0.515,0.753,0,2,Apod
Robo1.1,0,-1.201169082,0.206,0.431,0,2,Robo1
Cntn3,0,-1.266407686,0.077,0.324,0,2,Cntn3
Enpp6,0,-1.339341824,0.013,0.268,0,2,Enpp6
Anln.1,0,-1.407894116,0.261,0.657,0,2,Anln
Trf.1,1.87553312177621e-316,-0.550612778,0.816,0.922,5.03280557897429e-312,2,Trf
Ctnna3.1,0.00E+00,-0.581672122,0.725,0.877,6.70E-305,2,Ctnna3
mt-Co3.1,1.06E-301,-1.219084678,0.171,0.357,2.84E-297,2,mt-Co3
mt-Atp6.1,6.23E-299,-1.141965053,0.148,0.332,1.67E-294,2,mt-Atp6
Tln2,6.06E-297,-0.74388309,0.073,0.252,1.63E-292,2,Tln2
Dgki.1,3.21E-278,-0.560367199,0.762,0.888,8.62E-274,2,Dgki
mt-Co2.1,5.62E-276,-1.026920145,0.13,0.311,1.51E-271,2,mt-Co2
mt-Cytb.1,9.98E-275,-0.927271094,0.089,0.257,2.68E-270,2,mt-Cytb
Grik1.1,2.52E-269,-0.902765951,0.123,0.315,6.75E-265,2,Grik1
St6galnac3.1,1.35E-267,-0.41665363,0.931,0.971,3.62E-263,2,St6galnac3
Slco3a1.1,1.86E-263,-0.730420509,0.271,0.489,4.99E-259,2,Slco3a1
Srgap1.1,1.07E-261,0.670049002,0.634,0.458,2.87E-257,2,Srgap1
Spock3.1,9.87E-248,-0.512771913,0.494,0.709,2.65E-243,2,Spock3
mt-Co1.1,1.56E-242,-1.034811736,0.179,0.348,4.20E-238,2,mt-Co1
4930419G24Rik.1,4.94E-235,0.594853061,0.709,0.61,1.33E-230,2,4930419G24Rik
Synpr,8.55E-230,0.867737193,0.267,0.108,2.29E-225,2,Synpr
Slc13a1.1,5.67E-229,0.807132579,0.408,0.227,1.52E-224,2,Slc13a1
Erbb4,1.05E-226,0.45878076,0.905,0.816,2.81E-222,2,Erbb4
Lama2.1,8.84E-226,-0.636645294,0.262,0.467,2.37E-221,2,Lama2
Hapln2.1,8.42E-214,-0.597504073,0.307,0.509,2.26E-209,2,Hapln2
Mapre2,1.67E-211,-0.650655565,0.257,0.453,4.49E-207,2,Mapre2
Rnf220.1,7.21E-208,-0.421532079,0.865,0.938,1.93E-203,2,Rnf220
Plekha1.1,9.79E-204,0.529087157,0.637,0.525,2.63E-199,2,Plekha1
Myo1e.1,3.31E-201,-0.608239013,0.22,0.406,8.87E-197,2,Myo1e
Rasgrp3.1,9.40E-199,-0.585386141,0.217,0.401,2.52E-194,2,Rasgrp3
Pakap,8.64E-196,0.443815748,0.868,0.798,2.32E-191,2,Pakap
Rftn1.1,5.85E-190,-0.593711995,0.269,0.456,1.57E-185,2,Rftn1
Zdhhc20.1,1.25E-179,-0.471925689,0.611,0.766,3.36E-175,2,Zdhhc20
Gm44866.1,2.55E-174,-0.525576493,0.158,0.314,6.85E-170,2,Gm44866
St3gal4.1,6.35E-174,-0.566213334,0.161,0.321,1.70E-169,2,St3gal4
Bfsp2.1,4.28E-170,0.695466458,0.322,0.184,1.15E-165,2,Bfsp2
Ppp1cc.1,5.06E-169,-0.508613753,0.235,0.406,1.36E-164,2,Ppp1cc
Cpox,3.69E-168,-0.522366976,0.138,0.287,9.89E-164,2,Cpox
Mob3b.1,9.01E-167,-0.608918876,0.177,0.338,2.42E-162,2,Mob3b
Prr5l.1,5.58E-165,-0.297091225,0.96,0.977,1.50E-160,2,Prr5l
Lrrtm3.1,4.76E-163,-0.515740813,0.341,0.52,1.28E-158,2,Lrrtm3
Pvt1.1,1.29E-161,0.587449032,0.478,0.352,3.47E-157,2,Pvt1
Ephb1.1,6.00E-161,-0.453116677,0.469,0.643,1.61E-156,2,Ephb1
Plp1,1.04E-154,-0.220846471,0.987,0.994,2.80E-150,2,Plp1
4930420G21Rik.1,2.75E-154,-0.466541349,0.397,0.571,7.39E-150,2,4930420G21Rik
Plekhh2.1,5.08E-153,-0.452638585,0.131,0.266,1.36E-148,2,Plekhh2
Nkain2,2.14E-152,-0.194869494,1,0.999,5.74E-148,2,Nkain2
Usp31,7.90E-148,-0.51793118,0.299,0.464,2.12E-143,2,Usp31
Clmn,1.13E-145,0.38734018,0.769,0.706,3.03E-141,2,Clmn
Cacna2d3,5.75E-144,0.667434222,0.281,0.164,1.54E-139,2,Cacna2d3
Mtss1,4.46E-140,-0.482507108,0.19,0.337,1.20E-135,2,Mtss1
Prickle1.1,1.30E-139,0.531145453,0.542,0.409,3.49E-135,2,Prickle1
Gsn,1.51E-139,-0.421605524,0.13,0.259,4.06E-135,2,Gsn
Tmem178b.1,5.04E-139,-0.320279974,0.823,0.907,1.35E-134,2,Tmem178b
Slc25a27,5.06E-135,-0.426244059,0.258,0.412,1.36E-130,2,Slc25a27
Tspan5.1,1.98E-133,-0.40555347,0.489,0.648,5.31E-129,2,Tspan5
Dock1,1.87E-132,0.312531758,0.792,0.765,5.02E-128,2,Dock1
Gm37459.1,2.80E-132,0.47375934,0.585,0.508,7.53E-128,2,Gm37459
Sept7.1,3.21E-132,-0.311698564,0.796,0.89,8.62E-128,2,7-Sep
Galnt7.1,4.18E-125,-0.420164321,0.247,0.393,1.12E-120,2,Galnt7
Hivep2,2.46E-123,0.547386582,0.298,0.185,6.59E-119,2,Hivep2
Slc24a2.1,7.15E-121,-0.187169015,0.997,0.996,1.92E-116,2,Slc24a2
Inpp5a.1,1.27E-120,0.464861636,0.375,0.292,3.41E-116,2,Inpp5a
Naaladl2.1,2.97E-120,-0.373507053,0.483,0.636,7.98E-116,2,Naaladl2
Kcnq1ot1,1.25E-118,-0.420786546,0.285,0.432,3.34E-114,2,Kcnq1ot1
Myo18a.1,1.48E-117,0.393594739,0.558,0.478,3.97E-113,2,Myo18a
Sez6l2.1,1.10E-116,-0.287037826,0.415,0.563,2.96E-112,2,Sez6l2
Nav2.1,9.62E-115,0.567131214,0.391,0.292,2.58E-110,2,Nav2
Ppp1r9a.1,3.26E-114,-0.338841535,0.25,0.385,8.74E-110,2,Ppp1r9a
Otud7a.1,3.91E-114,-0.341988823,0.564,0.706,1.05E-109,2,Otud7a
Cdh19.1,4.93E-114,-0.375868393,0.466,0.615,1.32E-109,2,Cdh19
Erbin,6.62E-114,0.271206437,0.913,0.901,1.78E-109,2,Erbin
Lrp1b.1,7.03E-114,-0.216486352,0.985,0.992,1.89E-109,2,Lrp1b
Add1.1,1.23E-113,0.369349873,0.556,0.496,3.31E-109,2,Add1
Ptprm,1.64E-113,-0.42417397,0.14,0.259,4.40E-109,2,Ptprm
Rhoj,2.29E-113,0.603554606,0.271,0.168,6.14E-109,2,Rhoj
Cacnb4.1,7.29E-113,0.524786527,0.424,0.375,1.96E-108,2,Cacnb4
Slc1a3.1,1.43E-112,-0.409978829,0.162,0.285,3.83E-108,2,Slc1a3
Phactr3,2.07E-112,0.411710799,0.484,0.406,5.56E-108,2,Phactr3
Frmd5,2.65E-112,0.265616743,0.986,0.985,7.10E-108,2,Frmd5
Cadps,3.08E-111,0.520042006,0.453,0.348,8.25E-107,2,Cadps
Sorcs1.1,3.20E-111,-0.321283008,0.7,0.816,8.59E-107,2,Sorcs1
Ablim2.1,1.74E-110,0.419176415,0.554,0.448,4.66E-106,2,Ablim2
Il33,5.62E-110,0.428859893,0.643,0.561,1.51E-105,2,Il33
Sec14l5.1,1.41E-109,-0.300054294,0.752,0.849,3.79E-105,2,Sec14l5
Nav3.1,4.20E-109,0.686360619,0.395,0.31,1.13E-104,2,Nav3
Tmod1.1,3.49E-108,0.425144552,0.476,0.388,9.37E-104,2,Tmod1
Mtus1,9.37E-108,-0.380093834,0.147,0.263,2.51E-103,2,Mtus1
Fam13c.1,3.00E-105,0.485028391,0.406,0.315,8.05E-101,2,Fam13c
Grik2.1,8.32E-105,0.322044425,0.837,0.803,2.23E-100,2,Grik2
