Symbol,Name,Chr,Qualifier,Annotated Term,Context,Proteoform,Evidence,Inferred From,Reference(s)
Pou3f1,"POU domain, class 3, transcription factor 1",4,,myelination in peripheral nervous system,happens in sciatic nerve,,IGI,MGI:101895 ,J:83739 
Pou3f2,"POU domain, class 3, transcription factor 2",4,,myelination in peripheral nervous system,,,IGI,MGI:101896 ,J:83739 
Ppp3r1,"protein phosphatase 3, regulatory subunit B, alpha isoform (calcineurin B, type I)",11,,myelination in peripheral nervous system,happens in dorsal root ganglion,,IMP,MGI:3044031 ,J:144171 
Prx,periaxin,7,,peripheral nervous system myelin formation,,,IMP,,J:62566 
Prx,periaxin,7,,peripheral nervous system myelin maintenance,,,IBA,PTN002763386 ,J:265628 
Prx,periaxin,7,,peripheral nervous system myelin maintenance,,,IMP,,J:62566 
Psap,prosaposin,10,,myelination,,,IMP,MGI:2183897 ,J:78223 
Pten,phosphatase and tensin homolog,19,,central nervous system myelin maintenance,,,IMP,,J:130843 
Pten,phosphatase and tensin homolog,19,,myelination,happens in sciatic nerve,,IMP,,J:160700 
Pten,phosphatase and tensin homolog,19,,negative regulation of myelination,negatively regulates myelination,,IMP,,J:160700 
Ptn,pleiotrophin,6,,regulation of myelination,,,IMP,,J:236151 
Ptprz1,"protein tyrosine phosphatase receptor type Z, polypeptide 1",6,,regulation of myelination,,,IMP,,J:236151 
Qki,"quaking, KH domain containing RNA binding",17,,myelination,,,IMP,MGI:1856539 ,J:106960 
Qki,"quaking, KH domain containing RNA binding",17,,myelination,,,IMP,,J:849 
