X,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,Gene,MGI.Gene.Marker.ID,Symbol,Name,Chr,Qualifier,Annotated.Term,Context,Proteoform,Evidence,Inferred.From,Reference.s.
Nptn,3.12E-16,0.338787242,0.934,0.853,6.10E-12,Nptn,MGI:108077,Nptn,neuroplastin,9,,modulation of chemical synaptic transmission,,,IMP,MGI:5621191 ,J:212431 
Nptn,3.12E-16,0.338787242,0.934,0.853,6.10E-12,Nptn,MGI:108077,Nptn,neuroplastin,9,,positive regulation of long-term neuronal synaptic plasticity,,,ISO,RGD:620296 ,J:155856 
Nptn,3.12E-16,0.338787242,0.934,0.853,6.10E-12,Nptn,MGI:108077,Nptn,neuroplastin,9,,positive regulation of long-term synaptic potentiation,,,ISO,RGD:620296 ,J:155856 
Nptn,3.12E-16,0.338787242,0.934,0.853,6.10E-12,Nptn,MGI:108077,Nptn,neuroplastin,9,,"trans-synaptic signaling by trans-synaptic complex, modulating synaptic transmission",,,ISO,RGD:620296 ,J:155856 
Nptxr,7.07E-17,0.349205703,0.613,0.412,1.38E-12,Nptxr,MGI:1920590,Nptxr,neuronal pentraxin receptor,15,,regulation of postsynaptic neurotransmitter receptor activity,,,ISO,O95502 ,J:164563 
Nrgn,2.39E-20,0.392737697,0.949,0.788,4.66E-16,Nrgn,MGI:1927184,Nrgn,neurogranin,9,,positive regulation of long-term synaptic potentiation,,,ISO,RGD:61833 ,J:155856 
Nrgn,2.39E-20,0.392737697,0.949,0.788,4.66E-16,Nrgn,MGI:1927184,Nrgn,neurogranin,9,,postsynaptic modulation of chemical synaptic transmission,,,ISO,RGD:61833 ,J:155856 
Oxt,2.74E-71,-1.951060065,0.002,0.433,5.35E-67,Oxt,MGI:97453,Oxt,oxytocin,2,,positive regulation of synaptic transmission,,,ISO,RGD:3238 ,J:155856 
Pclo,1.60E-06,0.258934279,0.351,0.243,0.031174256,Pclo,MGI:1349390,Pclo,piccolo (presynaptic cytomatrix protein),5,,modulation of excitatory postsynaptic potential,,,ISO,RGD:69406 ,J:155856 
Pmch,4.88E-13,-1.662463426,0.162,0.323,9.51E-09,Pmch,MGI:97629,Pmch,pro-melanin-concentrating hormone,10,,"negative regulation of synaptic transmission, dopaminergic",,,ISO,RGD:3358 ,J:155856 
Pmch,4.88E-13,-1.662463426,0.162,0.323,9.51E-09,Pmch,MGI:97629,Pmch,pro-melanin-concentrating hormone,10,,regulation of neuronal synaptic plasticity,,,ISO,RGD:3358 ,J:155856 
Ppp3ca,1.54E-28,0.46654181,0.951,0.783,3.01E-24,Ppp3ca,MGI:107164,Ppp3ca,"protein phosphatase 3, catalytic subunit, alpha isoform",3,,modulation of chemical synaptic transmission,,,IMP,,J:54583 
Ppp3ca,1.54E-28,0.46654181,0.951,0.783,3.01E-24,Ppp3ca,MGI:107164,Ppp3ca,"protein phosphatase 3, catalytic subunit, alpha isoform",3,,modulation of chemical synaptic transmission,,,IMP,,J:96807 
Ppp3ca,1.54E-28,0.46654181,0.951,0.783,3.01E-24,Ppp3ca,MGI:107164,Ppp3ca,"protein phosphatase 3, catalytic subunit, alpha isoform",3,,postsynaptic modulation of chemical synaptic transmission,"happens in glutamatergic synapse,happens in hippocampal formation,happens in Schaffer collateral - CA1 synapse",,IDA,,J:130656 
Ppp3ca,1.54E-28,0.46654181,0.951,0.783,3.01E-24,Ppp3ca,MGI:107164,Ppp3ca,"protein phosphatase 3, catalytic subunit, alpha isoform",3,,postsynaptic modulation of chemical synaptic transmission,"happens in glutamatergic synapse,happens in hippocampal formation,happens in Schaffer collateral - CA1 synapse",,IMP,,J:130656 
Ppp3r1,1.95E-10,0.273098011,0.808,0.685,3.80E-06,Ppp3r1,MGI:107172,Ppp3r1,"protein phosphatase 3, regulatory subunit B, alpha isoform (calcineurin B, type I)",11,,postsynaptic modulation of chemical synaptic transmission,happens in parallel fiber to Purkinje cell synapse,,IDA,,J:166629 
Ppp3r1,1.95E-10,0.273098011,0.808,0.685,3.80E-06,Ppp3r1,MGI:107172,Ppp3r1,"protein phosphatase 3, regulatory subunit B, alpha isoform (calcineurin B, type I)",11,,postsynaptic modulation of chemical synaptic transmission,happens in Schaffer collateral - CA1 synapse,,IDA,,J:73203 
Ppp3r1,1.95E-10,0.273098011,0.808,0.685,3.80E-06,Ppp3r1,MGI:107172,Ppp3r1,"protein phosphatase 3, regulatory subunit B, alpha isoform (calcineurin B, type I)",11,,postsynaptic modulation of chemical synaptic transmission,happens in parallel fiber to Purkinje cell synapse,,IMP,,J:166629 
Ppp3r1,1.95E-10,0.273098011,0.808,0.685,3.80E-06,Ppp3r1,MGI:107172,Ppp3r1,"protein phosphatase 3, regulatory subunit B, alpha isoform (calcineurin B, type I)",11,,postsynaptic modulation of chemical synaptic transmission,happens in Schaffer collateral - CA1 synapse,,IMP,,J:73203 
Prkar1b,5.10E-08,0.191346164,0.951,0.893,0.000995424,Prkar1b,MGI:97759,Prkar1b,"protein kinase, cAMP dependent regulatory, type I beta",5,,modulation of chemical synaptic transmission,"happens in Schaffer collateral - CA1 synapse,happens in glutamatergic synapse,happens in hippocampal formation",,IDA,,J:28735 
Prkar1b,5.10E-08,0.191346164,0.951,0.893,0.000995424,Prkar1b,MGI:97759,Prkar1b,"protein kinase, cAMP dependent regulatory, type I beta",5,,modulation of chemical synaptic transmission,happens in Schaffer collateral - CA1 synapse,,IDA,,J:38837 
Prkar1b,5.10E-08,0.191346164,0.951,0.893,0.000995424,Prkar1b,MGI:97759,Prkar1b,"protein kinase, cAMP dependent regulatory, type I beta",5,,modulation of chemical synaptic transmission,"happens in glutamatergic synapse,happens in hippocampal formation,happens in Schaffer collateral - CA1 synapse",,IMP,,J:28735 
Prkar1b,5.10E-08,0.191346164,0.951,0.893,0.000995424,Prkar1b,MGI:97759,Prkar1b,"protein kinase, cAMP dependent regulatory, type I beta",5,,modulation of chemical synaptic transmission,happens in Schaffer collateral - CA1 synapse,,IMP,,J:38837 
Prkar1b,5.10E-08,0.191346164,0.951,0.893,0.000995424,Prkar1b,MGI:97759,Prkar1b,"protein kinase, cAMP dependent regulatory, type I beta",5,,positive regulation of excitatory postsynaptic potential,,,ISO,RGD:3392 ,J:155856 
Prkar1b,5.10E-08,0.191346164,0.951,0.893,0.000995424,Prkar1b,MGI:97759,Prkar1b,"protein kinase, cAMP dependent regulatory, type I beta",5,,positive regulation of long-term synaptic potentiation,,,ISO,RGD:3392 ,J:155856 
Prkcb,3.07E-13,0.3545726,0.618,0.468,6.00E-09,Prkcb,MGI:97596,Prkcb,"protein kinase C, beta",7,,presynaptic modulation of chemical synaptic transmission,happens in calyx of Held,,IDA,,J:174964 
Prkcb,3.07E-13,0.3545726,0.618,0.468,6.00E-09,Prkcb,MGI:97596,Prkcb,"protein kinase C, beta",7,,presynaptic modulation of chemical synaptic transmission,happens in calyx of Held,,IMP,,J:174964 
Prkcb,3.07E-13,0.3545726,0.618,0.468,6.00E-09,Prkcb,MGI:97596,Prkcb,"protein kinase C, beta",7,,regulation of synaptic vesicle exocytosis,happens in calyx of Held,,IDA,,J:174964 
Prkcb,3.07E-13,0.3545726,0.618,0.468,6.00E-09,Prkcb,MGI:97596,Prkcb,"protein kinase C, beta",7,,regulation of synaptic vesicle exocytosis,happens in calyx of Held,,IMP,,J:174964 
Ptn,1.08E-06,0.235183372,0.686,0.599,0.020979587,Ptn,MGI:97804,Ptn,pleiotrophin,6,,modulation of chemical synaptic transmission,happens in Schaffer collateral - CA1 synapse,,IDA,,J:77465 
Ptn,1.08E-06,0.235183372,0.686,0.599,0.020979587,Ptn,MGI:97804,Ptn,pleiotrophin,6,,modulation of chemical synaptic transmission,happens in Schaffer collateral - CA1 synapse,,IMP,,J:77465 
Ptn,1.08E-06,0.235183372,0.686,0.599,0.020979587,Ptn,MGI:97804,Ptn,pleiotrophin,6,,negative regulation of long-term synaptic potentiation,,,IMP,,J:70253 
Ptn,1.08E-06,0.235183372,0.686,0.599,0.020979587,Ptn,MGI:97804,Ptn,pleiotrophin,6,,negative regulation of long-term synaptic potentiation,,,IMP,,J:77465 
Ptn,1.08E-06,0.235183372,0.686,0.599,0.020979587,Ptn,MGI:97804,Ptn,pleiotrophin,6,,regulation of synaptic plasticity,,,IMP,,J:70253 
Rgs4,1.19E-08,0.310065898,0.483,0.36,0.000231208,Rgs4,MGI:108409,Rgs4,regulator of G-protein signaling 4,1,,positive regulation of excitatory postsynaptic potential,,,ISO,RGD:3567 ,J:155856 
Rtn4,5.82E-12,0.315712973,0.946,0.883,1.14E-07,Rtn4,MGI:1915835,Rtn4,reticulon 4,11,,modulation of chemical synaptic transmission,"happens in glutamatergic synapse,happens in hippocampal formation",,EXP,,J:265812 
Rtn4,5.82E-12,0.315712973,0.946,0.883,1.14E-07,Rtn4,MGI:1915835,Rtn4,reticulon 4,11,,modulation of chemical synaptic transmission,"happens in glutamatergic synapse,happens in hippocampal formation",,IDA,,J:265812 
Rtn4,5.82E-12,0.315712973,0.946,0.883,1.14E-07,Rtn4,MGI:1915835,Rtn4,reticulon 4,11,,modulation of chemical synaptic transmission,"happens in glutamatergic synapse,happens in hippocampal formation",,IMP,,J:265812 
Slc24a2,1.59E-10,0.354496653,0.515,0.376,3.11E-06,Slc24a2,MGI:1923626,Slc24a2,"solute carrier family 24 (sodium/potassium/calcium exchanger), member 2",4,,long-term synaptic depression,,,IBA,PTN000851795 ,J:265628 
Slc24a2,1.59E-10,0.354496653,0.515,0.376,3.11E-06,Slc24a2,MGI:1923626,Slc24a2,"solute carrier family 24 (sodium/potassium/calcium exchanger), member 2",4,,long-term synaptic depression,,,IMP,MGI:3663782 ,J:110313 
Slc24a2,1.59E-10,0.354496653,0.515,0.376,3.11E-06,Slc24a2,MGI:1923626,Slc24a2,"solute carrier family 24 (sodium/potassium/calcium exchanger), member 2",4,,long-term synaptic potentiation,,,IBA,PTN000851795 ,J:265628 
Slc24a2,1.59E-10,0.354496653,0.515,0.376,3.11E-06,Slc24a2,MGI:1923626,Slc24a2,"solute carrier family 24 (sodium/potassium/calcium exchanger), member 2",4,,long-term synaptic potentiation,,,IMP,MGI:3663782 ,J:110313 
Snap25,9.51E-45,0.474443749,1,1,1.86E-40,Snap25,MGI:98331,Snap25,synaptosomal-associated protein 25,2,,long-term synaptic potentiation,,,IMP,,J:197846 
Snap25,9.51E-45,0.474443749,1,1,1.86E-40,Snap25,MGI:98331,Snap25,synaptosomal-associated protein 25,2,,positive regulation of synaptic plasticity,,PR:P60879-2,EXP,MGI:3821974 ,J:94005 
Snap25,9.51E-45,0.474443749,1,1,1.86E-40,Snap25,MGI:98331,Snap25,synaptosomal-associated protein 25,2,,short-term synaptic potentiation,,PR:P60879-2,EXP,MGI:3821974 ,J:94005 
Snca,1.29E-06,0.267132416,0.518,0.427,0.025153017,Snca,MGI:1277151,Snca,"synuclein, alpha",6,,long-term synaptic potentiation,,,IMP,MGI:2154692 ,J:134812 
Snca,1.29E-06,0.267132416,0.518,0.427,0.025153017,Snca,MGI:1277151,Snca,"synuclein, alpha",6,,positive regulation of neurotransmitter secretion,positively regulates neurotransmitter secretion,,IDA,,J:94390 
Snca,1.29E-06,0.267132416,0.518,0.427,0.025153017,Snca,MGI:1277151,Snca,"synuclein, alpha",6,,positive regulation of synaptic transmission,,,IMP,MGI:1888382 ,J:101275 
Snca,1.29E-06,0.267132416,0.518,0.427,0.025153017,Snca,MGI:1277151,Snca,"synuclein, alpha",6,,regulation of long-term neuronal synaptic plasticity,happens in hippocampus,,IMP,MGI:2429773 ,J:94390 
Snca,1.29E-06,0.267132416,0.518,0.427,0.025153017,Snca,MGI:1277151,Snca,"synuclein, alpha",6,,regulation of neuronal synaptic plasticity,happens in hippocampus CA1,,IMP,MGI:2429773 ,J:126092 
Snca,1.29E-06,0.267132416,0.518,0.427,0.025153017,Snca,MGI:1277151,Snca,"synuclein, alpha",6,,regulation of neurotransmitter secretion,regulates neurotransmitter secretion,,IGI,MGI:1298397 ,J:132938 
Snca,1.29E-06,0.267132416,0.518,0.427,0.025153017,Snca,MGI:1277151,Snca,"synuclein, alpha",6,,regulation of neurotransmitter secretion,regulates neurotransmitter secretion,,IMP,MGI:1888382 ,J:60151 
Snca,1.29E-06,0.267132416,0.518,0.427,0.025153017,Snca,MGI:1277151,Snca,"synuclein, alpha",6,,regulation of neurotransmitter secretion,regulates neurotransmitter secretion,,IMP,MGI:2389489 ,J:79784 
Snca,1.29E-06,0.267132416,0.518,0.427,0.025153017,Snca,MGI:1277151,Snca,"synuclein, alpha",6,,regulation of neurotransmitter secretion,regulates neurotransmitter secretion,,IMP,MGI:2429773 ,J:94390 
Syn1,8.07E-07,0.207346956,0.827,0.731,0.015753928,Syn1,MGI:98460,Syn1,synapsin I,X,,regulation of short-term neuronal synaptic plasticity,,,TAS,,J:212808 
Syn1,8.07E-07,0.207346956,0.827,0.731,0.015753928,Syn1,MGI:98460,Syn1,synapsin I,X,,regulation of synaptic vesicle exocytosis,,,ISO,P17600 ,J:164563 
Syp,1.08E-07,0.192106296,0.92,0.82,0.002105119,Syp,MGI:98467,Syp,synaptophysin,X,,regulation of long-term neuronal synaptic plasticity,,,IMP,,J:58559 
Syp,1.08E-07,0.192106296,0.92,0.82,0.002105119,Syp,MGI:98467,Syp,synaptophysin,X,,regulation of neuronal synaptic plasticity,,,IBA,PTN001307300 ,J:265628 
Syp,1.08E-07,0.192106296,0.92,0.82,0.002105119,Syp,MGI:98467,Syp,synaptophysin,X,,regulation of short-term neuronal synaptic plasticity,,,IMP,,J:58559 
Syp,1.08E-07,0.192106296,0.92,0.82,0.002105119,Syp,MGI:98467,Syp,synaptophysin,X,,regulation of synaptic vesicle exocytosis,happens in Schaffer collateral - CA1 synapse,,IDA,,J:58559 
Syp,1.08E-07,0.192106296,0.92,0.82,0.002105119,Syp,MGI:98467,Syp,synaptophysin,X,,regulation of synaptic vesicle exocytosis,happens in Schaffer collateral - CA1 synapse,,IMP,,J:58559 
Syt1,2.14E-06,0.214262821,0.904,0.855,0.041668699,Syt1,MGI:99667,Syt1,synaptotagmin I,10,,positive regulation of calcium ion-dependent exocytosis of neurotransmitter,,,IMP,,J:76452 
Syt1,2.14E-06,0.214262821,0.904,0.855,0.041668699,Syt1,MGI:99667,Syt1,synaptotagmin I,10,,positive regulation of synaptic transmission,happens in hippocampal pyramidal neuron,,IMP,,J:21602 
Syt1,2.14E-06,0.214262821,0.904,0.855,0.041668699,Syt1,MGI:99667,Syt1,synaptotagmin I,10,,"regulation of synaptic transmission, glutamatergic",happens in hippocampal neuron,,IMP,,J:89486 
Syt1,2.14E-06,0.214262821,0.904,0.855,0.041668699,Syt1,MGI:99667,Syt1,synaptotagmin I,10,,regulation of synaptic vesicle exocytosis,,,ISO,RGD:3803 ,J:155856 
Ywhag,1.05E-14,0.291632418,0.976,0.961,2.05E-10,Ywhag,MGI:108109,Ywhag,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide",5,,regulation of synaptic plasticity,,,ISO,P61981 ,J:164563 
Ywhah,7.22E-07,0.201470038,0.99,0.991,0.014078825,Ywhah,MGI:109194,Ywhah,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta polypeptide",5,,presynaptic modulation of chemical synaptic transmission,happens in cerebellar granule cell to Purkinje cell synapse,,IDA,,J:95111 
Ywhah,7.22E-07,0.201470038,0.99,0.991,0.014078825,Ywhah,MGI:109194,Ywhah,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta polypeptide",5,,presynaptic modulation of chemical synaptic transmission,happens in cerebellar granule cell to Purkinje cell synapse,,IMP,,J:95111 
Ywhah,7.22E-07,0.201470038,0.99,0.991,0.014078825,Ywhah,MGI:109194,Ywhah,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta polypeptide",5,,presynaptic modulation of chemical synaptic transmission,happens in cerebellar granule cell to Purkinje cell synapse,,IPI,,J:95111 
