,X,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,Gene,color,MGI.Gene.Marker.ID,Symbol,Name,Chr,Qualifier,Annotated.Term,Context,Proteoform,Evidence,Inferred.From,Reference.s.
165,Baiap3,3.10E-07,-0.269369242,0.577,0.736,0.006051157,Baiap3,blue,MGI:2685783,Baiap3,BAI1-associated protein 3,17,,positive regulation of neurotransmitter secretion,,,IBA,PTN002916466 ,J:265628 
166,Baiap3,3.10E-07,-0.269369242,0.577,0.736,0.006051157,Baiap3,blue,MGI:2685783,Baiap3,BAI1-associated protein 3,17,,positive regulation of neurotransmitter secretion,,,ISO,O94812 ,J:164563 
167,Baiap3,3.10E-07,-0.269369242,0.577,0.736,0.006051157,Baiap3,blue,MGI:2685783,Baiap3,BAI1-associated protein 3,17,,"regulation of synaptic transmission, GABAergic",,,IMP,,J:221234 
168,Calb1,6.04E-09,-0.360281806,0.549,0.712,0.000117873,Calb1,blue,MGI:88248,Calb1,calbindin 1,4,,regulation of long-term synaptic potentiation,,,IBA,PTN000463232 ,J:265628 
169,Calb1,6.04E-09,-0.360281806,0.549,0.712,0.000117873,Calb1,blue,MGI:88248,Calb1,calbindin 1,4,,regulation of long-term synaptic potentiation,happens in hippocampal pyramidal neuron,,IMP,,J:132429 
170,Calb1,6.04E-09,-0.360281806,0.549,0.712,0.000117873,Calb1,blue,MGI:88248,Calb1,calbindin 1,4,,regulation of synaptic plasticity,,,ISO,RGD:69340 ,J:155856 
8,Camk2a,2.97E-24,0.538496272,0.608,0.292,5.79E-20,Camk2a,red,MGI:88256,Camk2a,calcium/calmodulin-dependent protein kinase II alpha,18,,regulation of neuronal synaptic plasticity,happens in hippocampus,,IMP,,J:126092 
9,Camk2a,2.97E-24,0.538496272,0.608,0.292,5.79E-20,Camk2a,red,MGI:88256,Camk2a,calcium/calmodulin-dependent protein kinase II alpha,18,,regulation of neurotransmitter secretion,,,IMP,MGI:2655688 ,J:82744 
114,Car2,5.96E-07,0.267587324,0.625,0.477,0.011628276,Car2,red,MGI:88269,Car2,carbonic anhydrase 2,3,,"positive regulation of synaptic transmission, GABAergic",happens in pyramidal neuron,,IGI,MGI:103100 ,J:200079 
98,Cbln2,3.12E-07,0.271893879,0.328,0.181,0.00607937,Cbln2,red,MGI:88282,Cbln2,cerebellin 2 precursor protein,18,,modulation of chemical synaptic transmission,happens in hippocampal formation,,IDA,,J:263729 
99,Cbln2,3.12E-07,0.271893879,0.328,0.181,0.00607937,Cbln2,red,MGI:88282,Cbln2,cerebellin 2 precursor protein,18,,modulation of chemical synaptic transmission,happens in hippocampal formation,,IMP,,J:263729 
159,Cfl1,6.73E-10,-0.245575396,0.978,0.989,1.31E-05,Cfl1,blue,MGI:101757,Cfl1,"cofilin 1, non-muscle",19,,modulation of chemical synaptic transmission,,,ISO,RGD:69285 ,J:155856 
160,Cfl1,6.73E-10,-0.245575396,0.978,0.989,1.31E-05,Cfl1,blue,MGI:101757,Cfl1,"cofilin 1, non-muscle",19,,positive regulation of synaptic plasticity,,,ISO,RGD:69285 ,J:155856 
63,Clstn1,2.80E-16,0.340544153,0.978,0.927,5.46E-12,Clstn1,red,MGI:1929895,Clstn1,calsyntenin 1,4,,positive regulation of synaptic transmission,,,IBA,PTN001020450 ,J:265628 
64,Clstn1,2.80E-16,0.340544153,0.978,0.927,5.46E-12,Clstn1,red,MGI:1929895,Clstn1,calsyntenin 1,4,,positive regulation of synaptic transmission,,,IGI,MGI:1929897 ,J:211830 
65,Clstn1,2.80E-16,0.340544153,0.978,0.927,5.46E-12,Clstn1,red,MGI:1929895,Clstn1,calsyntenin 1,4,,positive regulation of synaptic transmission,,,IGI,MGI:2178323 ,J:211830 
71,Cplx1,1.05E-08,0.330791371,0.826,0.682,0.000205478,Cplx1,red,MGI:104727,Cplx1,complexin 1,5,,regulation of neurotransmitter secretion,,,IBA,PTN000422952 ,J:265628 
86,Cplx2,5.35E-11,0.302073282,0.636,0.413,1.04E-06,Cplx2,red,MGI:104726,Cplx2,complexin 2,13,,positive regulation of synaptic plasticity,,,IDA,,J:172950 
87,Cplx2,5.35E-11,0.302073282,0.636,0.413,1.04E-06,Cplx2,red,MGI:104726,Cplx2,complexin 2,13,,regulation of neurotransmitter secretion,,,IBA,PTN000422952 ,J:265628 
173,Dbi,1.24E-21,-0.472020525,0.961,0.993,2.42E-17,Dbi,blue,MGI:94865,Dbi,diazepam binding inhibitor,1,,long-term synaptic potentiation,,,IDA,,J:123254 
174,Dbi,1.24E-21,-0.472020525,0.961,0.993,2.42E-17,Dbi,blue,MGI:94865,Dbi,diazepam binding inhibitor,1,,"regulation of synaptic transmission, GABAergic",,,ISO,P11030 ,J:73065 
70,Dgkz,3.25E-10,0.330972017,0.504,0.316,6.34E-06,Dgkz,red,MGI:1278339,Dgkz,diacylglycerol kinase zeta,2,,"regulation of synaptic transmission, glutamatergic",,,IBA,PTN001343969 ,J:265628 
96,Dlgap1,5.83E-09,0.272930645,0.381,0.209,0.000113659,Dlgap1,red,MGI:1346065,Dlgap1,DLG associated protein 1,17,,modulation of chemical synaptic transmission,,,ISO,RGD:620223 ,J:155856 
97,Dlgap1,5.83E-09,0.272930645,0.381,0.209,0.000113659,Dlgap1,red,MGI:1346065,Dlgap1,DLG associated protein 1,17,,regulation of postsynaptic neurotransmitter receptor activity,,,IBA,PTN000270003 ,J:265628 
128,Dnm1l,1.25E-06,0.235832685,0.672,0.529,0.024475741,Dnm1l,red,MGI:1921256,Dnm1l,dynamin 1-like,16,,positive regulation of synaptic vesicle exocytosis,,,ISO,RGD:620416 ,J:155856 
147,Epha4,2.27E-06,0.209896584,0.289,0.163,0.044268176,Epha4,red,MGI:98277,Epha4,Eph receptor A4,1,,negative regulation of long-term synaptic potentiation,regulates a function/process that happens in hippocampus CA1,,IGI,CPX-1134 P00520 ,J:214156 
113,Frrs1l,2.84E-07,0.269658729,0.51,0.357,0.005535684,Frrs1l,red,MGI:2442704,Frrs1l,ferric-chelate reductase 1 like,4,,"regulation of synaptic transmission, glutamatergic",,,IMP,,J:294276 
52,Gfap,5.88E-12,0.351334112,0.543,0.325,1.15E-07,Gfap,red,MGI:95697,Gfap,glial fibrillary acidic protein,11,,long-term synaptic potentiation,,,IMP,MGI:1857176 ,J:64290 
49,Glul,3.79E-13,0.355372876,0.919,0.802,7.40E-09,Glul,red,MGI:95739,Glul,glutamate-ammonia ligase,1,,"positive regulation of synaptic transmission, glutamatergic",,,ISO,RGD:2710 ,J:155856 
146,Gnal,2.36E-06,0.209936348,0.479,0.327,0.046072902,Gnal,red,MGI:95774,Gnal,"guanine nucleotide binding protein, alpha stimulating, olfactory type",18,,regulation of long-term synaptic depression,,,ISO,RGD:2715 ,J:155856 
53,Gria2,2.94E-10,0.34592326,0.711,0.54,5.73E-06,Gria2,red,MGI:95809,Gria2,"glutamate receptor, ionotropic, AMPA2 (alpha 2)",3,,modulation of chemical synaptic transmission,,,IBA,PTN001826301 ,J:265628 
54,Gria2,2.94E-10,0.34592326,0.711,0.54,5.73E-06,Gria2,red,MGI:95809,Gria2,"glutamate receptor, ionotropic, AMPA2 (alpha 2)",3,,positive regulation of synaptic transmission,,,ISO,RGD:61862 ,J:155856 
55,Gria2,2.94E-10,0.34592326,0.711,0.54,5.73E-06,Gria2,red,MGI:95809,Gria2,"glutamate receptor, ionotropic, AMPA2 (alpha 2)",3,,"regulation of synaptic transmission, glutamatergic",,,ISO,RGD:61862 ,J:155856 
119,Gria3,1.00E-08,0.248463027,0.417,0.243,0.00019575,Gria3,red,MGI:95810,Gria3,"glutamate receptor, ionotropic, AMPA3 (alpha 3)",X,,modulation of chemical synaptic transmission,,,IBA,PTN001826301 ,J:265628 
151,Grm2,1.07E-06,0.153522972,0.182,0.075,0.0209338,Grm2,red,MGI:1351339,Grm2,"glutamate receptor, metabotropic 2",9,,long-term synaptic depression,"happens in hippocampus CA3,happens in hippocampal mossy fiber to CA3 synapse",,IMP,MGI:1857988 ,J:34606 
152,Grm2,1.07E-06,0.153522972,0.182,0.075,0.0209338,Grm2,red,MGI:1351339,Grm2,"glutamate receptor, metabotropic 2",9,,presynaptic modulation of chemical synaptic transmission,"happens in glutamatergic synapse,happens in thalamus",,EXP,,J:283385 
153,Grm2,1.07E-06,0.153522972,0.182,0.075,0.0209338,Grm2,red,MGI:1351339,Grm2,"glutamate receptor, metabotropic 2",9,,presynaptic modulation of chemical synaptic transmission,"happens in glutamatergic synapse,happens in thalamus",,IDA,,J:283385 
154,Grm2,1.07E-06,0.153522972,0.182,0.075,0.0209338,Grm2,red,MGI:1351339,Grm2,"glutamate receptor, metabotropic 2",9,,"regulation of synaptic transmission, glutamatergic",,,IBA,PTN001173581 ,J:265628 
171,Hap1,2.26E-12,-0.380639521,0.782,0.912,4.42E-08,Hap1,blue,MGI:1261831,Hap1,huntingtin-associated protein 1,11,,"positive regulation of synaptic transmission, GABAergic",,,ISO,RGD:68327 ,J:155856 
177,Hcrt,4.54E-27,-2.765703276,0.008,0.29,8.85E-23,Hcrt,blue,MGI:1202306,Hcrt,hypocretin,11,,regulation of neurotransmitter secretion,,,IBA,PTN002689309 ,J:265628 
178,Hcrt,4.54E-27,-2.765703276,0.008,0.29,8.85E-23,Hcrt,blue,MGI:1202306,Hcrt,hypocretin,11,,regulation of neurotransmitter secretion,,,ISO,RGD:2786 ,J:155856 
56,Htr2c,4.43E-09,0.342232478,0.434,0.267,8.65E-05,Htr2c,red,MGI:96281,Htr2c,5-hydroxytryptamine (serotonin) receptor 2C,X,,"positive regulation of acetylcholine secretion, neurotransmission",,,ISO,RGD:2848 ,J:155856 
82,Kalrn,2.34E-13,0.302670214,0.347,0.144,4.56E-09,Kalrn,red,MGI:2685385,Kalrn,"kalirin, RhoGEF kinase",16,,positive regulation of long-term synaptic potentiation,happens in spinal cord dorsal horn,PR:000045531,IMP,MGI:3831288 ,J:222722 
83,Kalrn,2.34E-13,0.302670214,0.347,0.144,4.56E-09,Kalrn,red,MGI:2685385,Kalrn,"kalirin, RhoGEF kinase",16,,regulation of neuronal synaptic plasticity,happens in spinal cord dorsal horn,PR:000045531,IGI,MGI:97845 ,J:222722 
84,Kalrn,2.34E-13,0.302670214,0.347,0.144,4.56E-09,Kalrn,red,MGI:2685385,Kalrn,"kalirin, RhoGEF kinase",16,,regulation of neuronal synaptic plasticity,happens in spinal cord dorsal horn,PR:000045531,IMP,MGI:3831288 ,J:222722 
85,Kalrn,2.34E-13,0.302670214,0.347,0.144,4.56E-09,Kalrn,red,MGI:2685385,Kalrn,"kalirin, RhoGEF kinase",16,,"regulation of synaptic transmission, glutamatergic","happens in pyramidal neuron,happens in brain",PR:000045531,IMP,MGI:3831292 ,J:176220 
90,Kcnq2,1.61E-09,0.281219404,0.647,0.465,3.15E-05,Kcnq2,red,MGI:1309503,Kcnq2,"potassium voltage-gated channel, subfamily Q, member 2",2,,regulation of synaptic plasticity,,,IMP,MGI:4397592 ,J:154582 
140,Lnpep,1.43E-08,0.221044738,0.373,0.204,0.000279197,Lnpep,red,MGI:2387123,Lnpep,leucyl/cystinyl aminopeptidase,17,,regulation of long-term neuronal synaptic plasticity,,,ISO,RGD:621752 ,J:155856 
155,Lzts1,5.11E-07,0.135689024,0.148,0.05,0.009964939,Lzts1,red,MGI:2684762,Lzts1,"leucine zipper, putative tumor suppressor 1",8,,regulation of synaptic plasticity,,,IBA,PTN002713646 ,J:265628 
156,Lzts1,5.11E-07,0.135689024,0.148,0.05,0.009964939,Lzts1,red,MGI:2684762,Lzts1,"leucine zipper, putative tumor suppressor 1",8,,regulation of synaptic plasticity,,,ISO,RGD:708565 ,J:155856 
15,Mapk1,3.77E-21,0.469982243,0.801,0.579,7.36E-17,Mapk1,red,MGI:1346858,Mapk1,mitogen-activated protein kinase 1,16,,long-term synaptic potentiation,,,IGI,MGI:95820 ,J:163089 
157,Mctp1,1.05E-07,0.134506642,0.14,0.041,0.002055599,Mctp1,red,MGI:1926021,Mctp1,"multiple C2 domains, transmembrane 1",13,,regulation of neurotransmitter secretion,,,IBA,PTN000413636 ,J:265628 
73,Mef2c,6.85E-14,0.313660997,0.359,0.146,1.34E-09,Mef2c,red,MGI:99458,Mef2c,myocyte enhancer factor 2C,13,,regulation of neurotransmitter secretion,happens in dentate gyrus,,IMP,,J:138188 
74,Mef2c,6.85E-14,0.313660997,0.359,0.146,1.34E-09,Mef2c,red,MGI:99458,Mef2c,myocyte enhancer factor 2C,13,,regulation of synaptic activity,,,IMP,,J:138188 
75,Mef2c,6.85E-14,0.313660997,0.359,0.146,1.34E-09,Mef2c,red,MGI:99458,Mef2c,myocyte enhancer factor 2C,13,,regulation of synaptic activity,,,IMP,,J:138189 
76,Mef2c,6.85E-14,0.313660997,0.359,0.146,1.34E-09,Mef2c,red,MGI:99458,Mef2c,myocyte enhancer factor 2C,13,,regulation of synaptic activity,happens in hippocampus CA1,,IMP,,J:207812 
77,Mef2c,6.85E-14,0.313660997,0.359,0.146,1.34E-09,Mef2c,red,MGI:99458,Mef2c,myocyte enhancer factor 2C,13,,regulation of synaptic plasticity,happens in hippocampus CA1,,IMP,,J:207812 
78,Mef2c,6.85E-14,0.313660997,0.359,0.146,1.34E-09,Mef2c,red,MGI:99458,Mef2c,myocyte enhancer factor 2C,13,,"regulation of synaptic transmission, glutamatergic",happens in dentate gyrus,,IMP,,J:138188 
149,Ncan,8.94E-07,0.185173829,0.255,0.129,0.017444099,Ncan,red,MGI:104694,Ncan,neurocan,8,,modulation of chemical synaptic transmission,"happens in glutamatergic synapse,happens in hippocampal formation",,IDA,,J:70858 
150,Ncan,8.94E-07,0.185173829,0.255,0.129,0.017444099,Ncan,red,MGI:104694,Ncan,neurocan,8,,modulation of chemical synaptic transmission,"happens in glutamatergic synapse,happens in hippocampal formation",,IMP,,J:70858 
158,Nisch,3.41E-07,-0.194870046,0.913,0.929,0.006653252,Nisch,blue,MGI:1928323,Nisch,nischarin,14,,"regulation of synaptic transmission, GABAergic",,,ISO,RGD:1306950 ,J:155856 
16,Nptn,8.97E-22,0.464754776,0.924,0.841,1.75E-17,Nptn,red,MGI:108077,Nptn,neuroplastin,9,,long-term synaptic potentiation,,,ISO,RGD:620296 ,J:155856 
17,Nptn,8.97E-22,0.464754776,0.924,0.841,1.75E-17,Nptn,red,MGI:108077,Nptn,neuroplastin,9,,modulation of chemical synaptic transmission,,,IMP,MGI:5621191 ,J:212431 
18,Nptn,8.97E-22,0.464754776,0.924,0.841,1.75E-17,Nptn,red,MGI:108077,Nptn,neuroplastin,9,,positive regulation of long-term neuronal synaptic plasticity,,,ISO,RGD:620296 ,J:155856 
19,Nptn,8.97E-22,0.464754776,0.924,0.841,1.75E-17,Nptn,red,MGI:108077,Nptn,neuroplastin,9,,positive regulation of long-term synaptic potentiation,,,ISO,RGD:620296 ,J:155856 
20,Nptn,8.97E-22,0.464754776,0.924,0.841,1.75E-17,Nptn,red,MGI:108077,Nptn,neuroplastin,9,,"trans-synaptic signaling by trans-synaptic complex, modulating synaptic transmission",,,ISO,RGD:620296 ,J:155856 
89,Nptxr,1.05E-09,0.288558738,0.709,0.508,2.04E-05,Nptxr,red,MGI:1920590,Nptxr,neuronal pentraxin receptor,15,,regulation of postsynaptic neurotransmitter receptor activity,,,ISO,O95502 ,J:164563 
50,Nrgn,4.79E-12,0.354617646,0.905,0.697,9.34E-08,Nrgn,red,MGI:1927184,Nrgn,neurogranin,9,,positive regulation of long-term synaptic potentiation,,,ISO,RGD:61833 ,J:155856 
51,Nrgn,4.79E-12,0.354617646,0.905,0.697,9.34E-08,Nrgn,red,MGI:1927184,Nrgn,neurogranin,9,,postsynaptic modulation of chemical synaptic transmission,,,ISO,RGD:61833 ,J:155856 
109,Nrn1,1.60E-09,0.270513414,0.423,0.234,3.13E-05,Nrn1,red,MGI:1915654,Nrn1,neuritin 1,13,,presynaptic modulation of chemical synaptic transmission,"happens in glutamatergic synapse,happens in cerebral cortex",,EXP,,J:243431 
110,Nrn1,1.60E-09,0.270513414,0.423,0.234,3.13E-05,Nrn1,red,MGI:1915654,Nrn1,neuritin 1,13,,presynaptic modulation of chemical synaptic transmission,"happens in glutamatergic synapse,happens in cerebral cortex",,IDA,,J:243431 
111,Nrn1,1.60E-09,0.270513414,0.423,0.234,3.13E-05,Nrn1,red,MGI:1915654,Nrn1,neuritin 1,13,,presynaptic modulation of chemical synaptic transmission,"happens in glutamatergic synapse,happens in cerebral cortex",,IEP,,J:243431 
112,Nrn1,1.60E-09,0.270513414,0.423,0.234,3.13E-05,Nrn1,red,MGI:1915654,Nrn1,neuritin 1,13,,presynaptic modulation of chemical synaptic transmission,"happens in glutamatergic synapse,happens in cerebral cortex",,IMP,,J:243431 
100,Nrxn1,1.10E-07,0.271454499,0.669,0.531,0.002150403,Nrxn1,red,MGI:1096391,Nrxn1,neurexin I,17,,positive regulation of excitatory postsynaptic potential,,,IDA,,J:175147 
101,Nrxn1,1.10E-07,0.271454499,0.669,0.531,0.002150403,Nrxn1,red,MGI:1096391,Nrxn1,neurexin I,17,,positive regulation of excitatory postsynaptic potential,,,IMP,,J:153748 
102,Nrxn1,1.10E-07,0.271454499,0.669,0.531,0.002150403,Nrxn1,red,MGI:1096391,Nrxn1,neurexin I,17,,positive regulation of neuromuscular synaptic transmission,,,NAS,,J:320287 
103,Nrxn1,1.10E-07,0.271454499,0.669,0.531,0.002150403,Nrxn1,red,MGI:1096391,Nrxn1,neurexin I,17,,"positive regulation of synaptic transmission, GABAergic",,,NAS,,J:319984 
104,Nrxn1,1.10E-07,0.271454499,0.669,0.531,0.002150403,Nrxn1,red,MGI:1096391,Nrxn1,neurexin I,17,,"positive regulation of synaptic transmission, glutamatergic",,,IDA,,J:175147 
105,Nrxn1,1.10E-07,0.271454499,0.669,0.531,0.002150403,Nrxn1,red,MGI:1096391,Nrxn1,neurexin I,17,,"positive regulation of synaptic transmission, glutamatergic",,,IMP,,J:153748 
106,Nrxn1,1.10E-07,0.271454499,0.669,0.531,0.002150403,Nrxn1,red,MGI:1096391,Nrxn1,neurexin I,17,,"positive regulation of synaptic transmission, glutamatergic",,,NAS,,J:319984 
107,Nrxn1,1.10E-07,0.271454499,0.669,0.531,0.002150403,Nrxn1,red,MGI:1096391,Nrxn1,neurexin I,17,,"regulation of trans-synaptic signaling by endocannabinoid, modulating synaptic transmission",happens in UBERON:0001950,,IDA,,J:224592 
108,Nrxn1,1.10E-07,0.271454499,0.669,0.531,0.002150403,Nrxn1,red,MGI:1096391,Nrxn1,neurexin I,17,,"regulation of trans-synaptic signaling by endocannabinoid, modulating synaptic transmission",happens in UBERON:0001950,,IMP,,J:224592 
33,Nsmf,6.44E-14,0.387424161,0.664,0.445,1.26E-09,Nsmf,red,MGI:1861755,Nsmf,NMDA receptor synaptonuclear signaling and neuronal migration factor,2,,regulation of neuronal synaptic plasticity,,,ISO,RGD:619819 ,J:155856 
179,Oxt,2.05E-51,-3.82676862,0.006,0.48,4.00E-47,Oxt,blue,MGI:97453,Oxt,oxytocin,2,,positive regulation of synaptic transmission,,,ISO,RGD:3238 ,J:155856 
117,Pafah1b1,4.73E-08,0.256335824,0.826,0.677,0.000923105,Pafah1b1,red,MGI:109520,Pafah1b1,"platelet-activating factor acetylhydrolase, isoform 1b, subunit 1",11,,modulation of chemical synaptic transmission,happens in Schaffer collateral - CA1 synapse,,IDA,,J:326508 
118,Pafah1b1,4.73E-08,0.256335824,0.826,0.677,0.000923105,Pafah1b1,red,MGI:109520,Pafah1b1,"platelet-activating factor acetylhydrolase, isoform 1b, subunit 1",11,,modulation of chemical synaptic transmission,happens in Schaffer collateral - CA1 synapse,,IMP,,J:326508 
57,Phf24,7.01E-12,0.341920782,0.555,0.348,1.37E-07,Phf24,red,MGI:2140712,Phf24,PHD finger protein 24,4,,"regulation of synaptic transmission, GABAergic",,,IMP,MGI:5706936 ,J:218052 
175,Pmch,1.29E-13,-2.129667408,0.221,0.422,2.53E-09,Pmch,blue,MGI:97629,Pmch,pro-melanin-concentrating hormone,10,,"negative regulation of synaptic transmission, dopaminergic",,,ISO,RGD:3358 ,J:155856 
176,Pmch,1.29E-13,-2.129667408,0.221,0.422,2.53E-09,Pmch,blue,MGI:97629,Pmch,pro-melanin-concentrating hormone,10,,regulation of neuronal synaptic plasticity,,,ISO,RGD:3358 ,J:155856 
135,Ppp1r9a,4.64E-08,0.227760967,0.571,0.391,0.000905048,Ppp1r9a,red,MGI:2442401,Ppp1r9a,"protein phosphatase 1, regulatory subunit 9A",6,,modulation of chemical synaptic transmission,happens in corpus striatum,,IDA,,J:110264 
136,Ppp1r9a,4.64E-08,0.227760967,0.571,0.391,0.000905048,Ppp1r9a,red,MGI:2442401,Ppp1r9a,"protein phosphatase 1, regulatory subunit 9A",6,,modulation of chemical synaptic transmission,happens in corpus striatum,,IMP,,J:110264 
137,Ppp1r9a,4.64E-08,0.227760967,0.571,0.391,0.000905048,Ppp1r9a,red,MGI:2442401,Ppp1r9a,"protein phosphatase 1, regulatory subunit 9A",6,,negative regulation of long-term synaptic potentiation,,,ISO,RGD:632280 ,J:155856 
138,Ppp1r9a,4.64E-08,0.227760967,0.571,0.391,0.000905048,Ppp1r9a,red,MGI:2442401,Ppp1r9a,"protein phosphatase 1, regulatory subunit 9A",6,,negative regulation of spontaneous neurotransmitter secretion,,,ISO,RGD:632280 ,J:155856 
139,Ppp1r9a,4.64E-08,0.227760967,0.571,0.391,0.000905048,Ppp1r9a,red,MGI:2442401,Ppp1r9a,"protein phosphatase 1, regulatory subunit 9A",6,,positive regulation of long-term synaptic depression,,,ISO,RGD:632280 ,J:155856 
10,Ppp3ca,7.16E-19,0.501820726,0.891,0.721,1.40E-14,Ppp3ca,red,MGI:107164,Ppp3ca,"protein phosphatase 3, catalytic subunit, alpha isoform",3,,modulation of chemical synaptic transmission,,,IMP,,J:54583 
11,Ppp3ca,7.16E-19,0.501820726,0.891,0.721,1.40E-14,Ppp3ca,red,MGI:107164,Ppp3ca,"protein phosphatase 3, catalytic subunit, alpha isoform",3,,modulation of chemical synaptic transmission,,,IMP,,J:96807 
12,Ppp3ca,7.16E-19,0.501820726,0.891,0.721,1.40E-14,Ppp3ca,red,MGI:107164,Ppp3ca,"protein phosphatase 3, catalytic subunit, alpha isoform",3,,postsynaptic modulation of chemical synaptic transmission,"happens in glutamatergic synapse,happens in hippocampal formation,happens in Schaffer collateral - CA1 synapse",,IDA,,J:130656 
13,Ppp3ca,7.16E-19,0.501820726,0.891,0.721,1.40E-14,Ppp3ca,red,MGI:107164,Ppp3ca,"protein phosphatase 3, catalytic subunit, alpha isoform",3,,postsynaptic modulation of chemical synaptic transmission,"happens in glutamatergic synapse,happens in hippocampal formation,happens in Schaffer collateral - CA1 synapse",,IMP,,J:130656 
28,Ppp3r1,2.18E-15,0.443412144,0.835,0.675,4.26E-11,Ppp3r1,red,MGI:107172,Ppp3r1,"protein phosphatase 3, regulatory subunit B, alpha isoform (calcineurin B, type I)",11,,postsynaptic modulation of chemical synaptic transmission,happens in parallel fiber to Purkinje cell synapse,,IDA,,J:166629 
29,Ppp3r1,2.18E-15,0.443412144,0.835,0.675,4.26E-11,Ppp3r1,red,MGI:107172,Ppp3r1,"protein phosphatase 3, regulatory subunit B, alpha isoform (calcineurin B, type I)",11,,postsynaptic modulation of chemical synaptic transmission,happens in Schaffer collateral - CA1 synapse,,IDA,,J:73203 
30,Ppp3r1,2.18E-15,0.443412144,0.835,0.675,4.26E-11,Ppp3r1,red,MGI:107172,Ppp3r1,"protein phosphatase 3, regulatory subunit B, alpha isoform (calcineurin B, type I)",11,,postsynaptic modulation of chemical synaptic transmission,happens in parallel fiber to Purkinje cell synapse,,IMP,,J:166629 
31,Ppp3r1,2.18E-15,0.443412144,0.835,0.675,4.26E-11,Ppp3r1,red,MGI:107172,Ppp3r1,"protein phosphatase 3, regulatory subunit B, alpha isoform (calcineurin B, type I)",11,,postsynaptic modulation of chemical synaptic transmission,happens in Schaffer collateral - CA1 synapse,,IMP,,J:73203 
66,Prkcb,2.84E-12,0.339917925,0.627,0.406,5.55E-08,Prkcb,red,MGI:97596,Prkcb,"protein kinase C, beta",7,,presynaptic modulation of chemical synaptic transmission,happens in calyx of Held,,IDA,,J:174964 
67,Prkcb,2.84E-12,0.339917925,0.627,0.406,5.55E-08,Prkcb,red,MGI:97596,Prkcb,"protein kinase C, beta",7,,presynaptic modulation of chemical synaptic transmission,happens in calyx of Held,,IMP,,J:174964 
68,Prkcb,2.84E-12,0.339917925,0.627,0.406,5.55E-08,Prkcb,red,MGI:97596,Prkcb,"protein kinase C, beta",7,,regulation of synaptic vesicle exocytosis,happens in calyx of Held,,IDA,,J:174964 
69,Prkcb,2.84E-12,0.339917925,0.627,0.406,5.55E-08,Prkcb,red,MGI:97596,Prkcb,"protein kinase C, beta",7,,regulation of synaptic vesicle exocytosis,happens in calyx of Held,,IMP,,J:174964 
