,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
Frrs1l,2.89E-261,0.48755944,0.788,0.464,5.64E-257,1,Frrs1l
Adcy1,1.88E-274,0.486952964,0.878,0.581,3.67E-270,1,Adcy1
Ppp3r1,1.51E-297,0.484031507,0.971,0.873,2.95E-293,1,Ppp3r1
Nefm,8.16E-200,0.483935937,0.743,0.472,1.59E-195,1,Nefm
Cplx1,1.15E-251,0.483306306,0.981,0.906,2.24E-247,1,Cplx1
Nrn1,1.65E-283,0.482390992,0.782,0.415,3.22E-279,1,Nrn1
Camk2a,1.79E-247,0.479488321,0.94,0.776,3.49E-243,1,Camk2a
Prkar1b,7.32E-305,0.478109529,0.982,0.912,1.43E-300,1,Prkar1b
Cadps2,0,0.474328974,0.547,0.192,0,1,Cadps2
Zbtb18,0,0.472277129,0.785,0.392,0,1,Zbtb18
Diras2,1.15E-227,0.472107958,0.778,0.475,2.24E-223,1,Diras2
Mpped1,0,0.471973711,0.611,0.219,0,1,Mpped1
Brinp1,1.34E-276,0.468556886,0.737,0.387,2.62E-272,1,Brinp1
Cyfip2,2.16E-284,0.462033061,0.964,0.866,4.22E-280,1,Cyfip2
Kcnh7,0,0.459748494,0.468,0.122,0,1,Kcnh7
Gabrg2,5.07E-267,0.459698525,0.773,0.43,9.89E-263,1,Gabrg2
Hivep2,0,0.45940657,0.652,0.27,0,1,Hivep2
Btbd8,0,0.459006663,0.629,0.262,0,1,Btbd8
Fbxw7,0,0.455734395,0.684,0.32,0,1,Fbxw7
Kcna2,4.84E-254,0.452025218,0.641,0.318,9.44E-250,1,Kcna2
Sv2b,2.08E-250,0.449901816,0.815,0.478,4.06E-246,1,Sv2b
Oip5os1,5.11E-243,0.448529171,0.802,0.491,9.96E-239,1,Oip5os1
Calm2,0,0.448489833,1,0.998,0,1,Calm2
Ntm,1.26E-218,0.447719499,0.68,0.37,2.46E-214,1,Ntm
Chgb,1.91E-264,0.446672413,0.925,0.756,3.73E-260,1,Chgb
Stac2,0,0.445410495,0.533,0.166,0,1,Stac2
Rtn4r,0,0.4453238,0.594,0.223,0,1,Rtn4r
Plcb1,1.14E-305,0.442199273,0.714,0.335,2.22E-301,1,Plcb1
Baalc,8.79E-267,0.441731585,0.726,0.38,1.71E-262,1,Baalc
Fmnl1,0,0.437824867,0.52,0.176,0,1,Fmnl1
Epop,0,0.437054113,0.512,0.155,0,1,Epop
Tspan5,1.81E-259,0.430181387,0.744,0.397,3.52E-255,1,Tspan5
Kcnb1,6.71E-308,0.428513245,0.591,0.251,1.31E-303,1,Kcnb1
Dgkz,4.22E-214,0.425936167,0.83,0.552,8.23E-210,1,Dgkz
Itpr1,2.45E-224,0.425197615,0.84,0.549,4.77E-220,1,Itpr1
Oxr1,3.32E-209,0.423098397,0.826,0.556,6.48E-205,1,Oxr1
Golga7b,7.18E-305,0.422282712,0.576,0.239,1.40E-300,1,Golga7b
Calm1,0,0.422246139,1,1,0,1,Calm1
Khdrbs3,3.46E-250,0.421273712,0.736,0.392,6.76E-246,1,Khdrbs3
Car10,0,0.420943492,0.559,0.216,0,1,Car10
Stxbp1,1.50E-240,0.416813306,0.971,0.905,2.94E-236,1,Stxbp1
Myl4,2.25E-261,0.415573555,0.346,0.111,4.39E-257,1,Myl4
Tcf4,3.23E-216,0.414447712,0.744,0.419,6.30E-212,1,Tcf4
Ly6e,1.62E-201,0.412803953,0.856,0.626,3.16E-197,1,Ly6e
Slc39a10,1.21E-285,0.411884299,0.649,0.297,2.35E-281,1,Slc39a10
Dnm1,2.70E-296,0.411265653,1,0.98,5.26E-292,1,Dnm1
Bsn,1.04E-207,0.409077565,0.806,0.513,2.02E-203,1,Bsn
Hlf,1.08E-229,0.408852173,0.7,0.369,2.10E-225,1,Hlf
Ndrg3,8.95E-238,0.407478433,0.948,0.846,1.75E-233,1,Ndrg3
Nlk,0,0.405292879,0.555,0.207,0,1,Nlk
Efr3a,3.07E-262,0.403697973,0.559,0.247,6.00E-258,1,Efr3a
Tmem132a,4.04E-241,0.403156752,0.7,0.36,7.88E-237,1,Tmem132a
Cap2,1.02E-244,0.402248962,0.728,0.383,1.99E-240,1,Cap2
Fxyd7,1.46E-174,0.401202885,0.791,0.531,2.85E-170,1,Fxyd7
Sema7a,1.46E-287,0.400846961,0.54,0.22,2.85E-283,1,Sema7a
Scrt1,7.64E-243,0.397585227,0.636,0.311,1.49E-238,1,Scrt1
Mapk10,8.88E-190,0.39504177,0.83,0.592,1.73E-185,1,Mapk10
Cx3cl1,1.07E-193,0.394617439,0.933,0.815,2.09E-189,1,Cx3cl1
Kcnip2,6.02E-186,0.39385133,0.613,0.324,1.18E-181,1,Kcnip2
Phactr1,8.54E-218,0.390667727,0.722,0.387,1.67E-213,1,Phactr1
Dkkl1,0,0.387713559,0.348,0.078,0,1,Dkkl1
Snca,7.49E-140,0.387479824,0.842,0.67,1.46E-135,1,Snca
Trim37,3.22E-218,0.386297069,0.751,0.427,6.29E-214,1,Trim37
Scg5,3.16E-187,0.385558921,0.938,0.851,6.17E-183,1,Scg5
Rab6a,9.73E-219,0.385008823,0.954,0.882,1.90E-214,1,Rab6a
Mtpn,2.68E-167,0.383574352,0.845,0.641,5.22E-163,1,Mtpn
Mgll,1.10E-238,0.383459875,0.664,0.333,2.15E-234,1,Mgll
Rtn1,1.24E-254,0.382951453,1,0.988,2.42E-250,1,Rtn1
Pcdh7,1.15E-263,0.382520653,0.583,0.26,2.25E-259,1,Pcdh7
Igfbp4,9.75E-212,0.380842089,0.445,0.188,1.90E-207,1,Igfbp4
Fam131a,3.03E-234,0.375595458,0.717,0.364,5.92E-230,1,Fam131a
Jdp2,9.40E-290,0.374161224,0.439,0.156,1.83E-285,1,Jdp2
Itpka,1.14E-210,0.373278486,0.734,0.388,2.23E-206,1,Itpka
Pgm2l1,5.05E-176,0.372468762,0.762,0.472,9.85E-172,1,Pgm2l1
Nptn,2.00E-210,0.371908686,0.988,0.949,3.90E-206,1,Nptn
Tmem178,4.47E-292,0.371817739,0.513,0.197,8.73E-288,1,Tmem178
Syt13,2.91E-176,0.371169121,0.761,0.486,5.67E-172,1,Syt13
Hapln4,1.44E-216,0.370952953,0.598,0.295,2.80E-212,1,Hapln4
Scn8a,2.92E-205,0.369796423,0.67,0.362,5.70E-201,1,Scn8a
Asap1,1.96E-270,0.369754851,0.551,0.233,3.83E-266,1,Asap1
Syn1,6.01E-182,0.368367824,0.942,0.844,1.17E-177,1,Syn1
Ensa,7.19E-165,0.367749223,0.847,0.634,1.40E-160,1,Ensa
Nefl,1.61E-136,0.367489004,0.906,0.83,3.14E-132,1,Nefl
Nrxn1,1.45E-119,0.367432459,0.813,0.66,2.84E-115,1,Nrxn1
Dnajc21,0,0.367401128,0.412,0.129,0,1,Dnajc21
Lynx1,8.22E-204,0.364317137,0.7,0.383,1.60E-199,1,Lynx1
Actr1b,1.07E-178,0.363260445,0.798,0.539,2.08E-174,1,Actr1b
Ywhah,7.60E-250,0.362913288,0.999,0.986,1.48E-245,1,Ywhah
Kifc2,7.87E-178,0.361967565,0.826,0.571,1.54E-173,1,Kifc2
Hcn1,0,0.361302155,0.421,0.137,0,1,Hcn1
Tagln3,1.31E-169,0.359127354,0.912,0.795,2.55E-165,1,Tagln3
Atp1b1,1.47E-267,0.357441676,1,0.996,2.87E-263,1,Atp1b1
Osbp2,1.27E-254,0.357082187,0.477,0.192,2.49E-250,1,Osbp2
Slc30a3,7.36E-264,0.356543514,0.541,0.22,1.44E-259,1,Slc30a3
Grin2a,2.18E-219,0.356389552,0.641,0.321,4.25E-215,1,Grin2a
Glrb,3.26E-153,0.356127803,0.815,0.614,6.36E-149,1,Glrb
Satb2,0,0.35575953,0.362,0.08,0,1,Satb2
Fgf12,3.02E-220,0.355032283,0.63,0.316,5.90E-216,1,Fgf12
Tuba4a,6.24E-189,0.354242132,0.963,0.905,1.22E-184,1,Tuba4a
Cacnb3,1.62E-192,0.354119803,0.726,0.411,3.17E-188,1,Cacnb3
Mast3,1.80E-181,0.350813819,0.69,0.39,3.51E-177,1,Mast3
Herc3,3.08E-235,0.348845456,0.57,0.262,6.02E-231,1,Herc3
Scn1a,9.23E-251,0.348601864,0.493,0.201,1.80E-246,1,Scn1a
Snrpn,2.05E-217,0.3485295,0.998,0.979,3.99E-213,1,Snrpn
Lrrc8b,1.81E-252,0.348387716,0.518,0.218,3.53E-248,1,Lrrc8b
Cds1,1.78E-251,0.347985166,0.546,0.237,3.47E-247,1,Cds1
Inka2,2.91E-274,0.346648898,0.508,0.199,5.68E-270,1,Inka2
Fabp3,1.39E-163,0.345323565,0.774,0.504,2.72E-159,1,Fabp3
Ube2ql1,6.82E-166,0.345082626,0.777,0.494,1.33E-161,1,Ube2ql1
Klf9,1.06E-171,0.345054443,0.71,0.415,2.07E-167,1,Klf9
Apbb1,3.37E-178,0.344913892,0.947,0.879,6.57E-174,1,Apbb1
R3hdm2,6.41E-220,0.343638764,0.589,0.284,1.25E-215,1,R3hdm2
Eef1a2,3.71E-171,0.343453351,0.985,0.945,7.24E-167,1,Eef1a2
Id2,6.88E-168,0.343438808,0.711,0.419,1.34E-163,1,Id2
Pde1a,2.23E-174,0.342454013,0.54,0.271,4.35E-170,1,Pde1a
8-Sep,8.97E-174,0.341732857,0.807,0.534,1.75E-169,1,8-Sep
Mat2b,2.40E-186,0.341168847,0.666,0.369,4.69E-182,1,Mat2b
Eif4g3,2.04E-178,0.340912368,0.692,0.399,3.99E-174,1,Eif4g3
Dmtn,2.59E-152,0.340335779,0.797,0.553,5.04E-148,1,Dmtn
Dusp3,6.89E-215,0.339694097,0.639,0.323,1.35E-210,1,Dusp3
Gpm6a,5.73E-187,0.33958661,0.997,0.972,1.12E-182,1,Gpm6a
Peg13,1.21E-163,0.338979182,0.775,0.505,2.36E-159,1,Peg13
D430041D05Rik,6.25E-229,0.33896966,0.505,0.219,1.22E-224,1,D430041D05Rik
Sipa1l1,5.14E-198,0.338225828,0.61,0.31,1.00E-193,1,Sipa1l1
Strbp,9.25E-179,0.338186297,0.668,0.375,1.80E-174,1,Strbp
Atf4,1.45E-162,0.333202467,0.727,0.444,2.84E-158,1,Atf4
Sult4a1,2.00E-147,0.332345996,0.889,0.726,3.91E-143,1,Sult4a1
Gad1,6.04E-73,0.332106628,0.751,0.618,1.18E-68,1,Gad1
Olfm2,7.41E-241,0.331747518,0.48,0.197,1.45E-236,1,Olfm2
Hs3st2,4.56E-277,0.330654588,0.354,0.109,8.89E-273,1,Hs3st2
7-Sep,2.15E-152,0.330530269,0.919,0.827,4.20E-148,1,7-Sep
Sptbn2,2.31E-141,0.329175874,0.873,0.694,4.52E-137,1,Sptbn2
Galnt9,5.05E-199,0.328837919,0.556,0.269,9.86E-195,1,Galnt9
Rab6b,7.65E-186,0.32821043,0.982,0.94,1.49E-181,1,Rab6b
Lrrc4c,1.02E-235,0.32809222,0.469,0.192,1.98E-231,1,Lrrc4c
Rnf227,3.71E-158,0.32767258,0.739,0.459,7.23E-154,1,Rnf227
Myo5a,2.18E-139,0.32628778,0.836,0.622,4.25E-135,1,Myo5a
St3gal5,2.56E-173,0.325375123,0.657,0.365,4.99E-169,1,St3gal5
Gfra2,2.80E-246,0.32527542,0.37,0.128,5.46E-242,1,Gfra2
Nap1l2,1.48E-178,0.324853218,0.648,0.357,2.89E-174,1,Nap1l2
Gfod1,2.59E-224,0.324719987,0.473,0.199,5.06E-220,1,Gfod1
Kcnc1,7.80E-133,0.324718779,0.631,0.378,1.52E-128,1,Kcnc1
Lmtk2,1.89E-227,0.324481517,0.47,0.196,3.69E-223,1,Lmtk2
Adcy2,1.97E-224,0.324105162,0.545,0.246,3.84E-220,1,Adcy2
Btbd10,2.25E-210,0.320564094,0.487,0.215,4.38E-206,1,Btbd10
Sytl2,2.22E-272,0.320342476,0.416,0.144,4.33E-268,1,Sytl2
AI593442,2.48E-150,0.320062847,0.702,0.417,4.85E-146,1,AI593442
Ppp2r2c,1.50E-129,0.319974911,0.833,0.635,2.92E-125,1,Ppp2r2c
Opcml,7.81E-189,0.319866449,0.642,0.336,1.52E-184,1,Opcml
Neurod6,5.65E-289,0.319341639,0.448,0.154,1.10E-284,1,Neurod6
Vip,1.65E-122,0.3188495,0.258,0.104,3.22E-118,1,Vip
Vamp1,1.78E-148,0.318720454,0.676,0.393,3.47E-144,1,Vamp1
Pantr1,6.56E-163,0.318607119,0.627,0.345,1.28E-158,1,Pantr1
Nrep,4.79E-203,0.318186008,0.397,0.159,9.35E-199,1,Nrep
Kif5c,3.63E-126,0.317670267,0.851,0.694,7.09E-122,1,Kif5c
Ipcef1,3.63E-252,0.317031891,0.377,0.128,7.08E-248,1,Ipcef1
Gpr158,1.02E-145,0.316799653,0.536,0.293,2.00E-141,1,Gpr158
Rims3,5.44E-147,0.316791487,0.62,0.353,1.06E-142,1,Rims3
Ndfip1,1.61E-172,0.316328961,0.998,0.983,3.13E-168,1,Ndfip1
Kcnh3,5.52E-222,0.314759371,0.469,0.194,1.08E-217,1,Kcnh3
Adgrl1,3.18E-129,0.313824849,0.791,0.559,6.21E-125,1,Adgrl1
Mdh1,1.84E-186,0.312937416,0.999,0.992,3.58E-182,1,Mdh1
Nap1l1,5.57E-133,0.312731371,0.823,0.615,1.09E-128,1,Nap1l1
Rab15,1.27E-185,0.312215251,0.595,0.303,2.48E-181,1,Rab15
Ypel3,5.69E-144,0.310891522,0.929,0.863,1.11E-139,1,Ypel3
Calm3,1.21E-179,0.310420846,0.996,0.988,2.36E-175,1,Calm3
Arhgef4,2.86E-145,0.310213613,0.761,0.505,5.58E-141,1,Arhgef4
Ccng1,6.71E-193,0.309993965,0.476,0.216,1.31E-188,1,Ccng1
Klc2,1.13E-184,0.309844577,0.536,0.264,2.21E-180,1,Klc2
Tmem59l,3.49E-121,0.309604654,0.85,0.694,6.80E-117,1,Tmem59l
Rtn4,3.26E-155,0.309347516,0.988,0.96,6.36E-151,1,Rtn4
Ndfip2,1.79E-155,0.308987823,0.629,0.357,3.50E-151,1,Ndfip2
Cdk2ap1,1.23E-194,0.308528026,0.451,0.197,2.39E-190,1,Cdk2ap1
Fam81a,3.97E-250,0.30811687,0.441,0.166,7.75E-246,1,Fam81a
Camta1,9.37E-129,0.307568348,0.746,0.504,1.83E-124,1,Camta1
Kcnj3,1.94E-195,0.307553558,0.521,0.244,3.78E-191,1,Kcnj3
Ephb6,3.08E-246,0.307136397,0.392,0.139,6.01E-242,1,Ephb6
Atp6v1g2,9.25E-142,0.306952815,0.954,0.87,1.80E-137,1,Atp6v1g2
Pfn2,2.43E-151,0.306404053,0.96,0.899,4.74E-147,1,Pfn2
Rock2,5.61E-166,0.306356626,0.607,0.33,1.09E-161,1,Rock2
Mgst3,7.82E-106,0.304945952,0.806,0.628,1.53E-101,1,Mgst3
Mtcl1,3.61E-234,0.304803747,0.418,0.159,7.05E-230,1,Mtcl1
Pip4k2c,9.70E-208,0.3045669,0.513,0.231,1.89E-203,1,Pip4k2c
Gria2,3.05E-120,0.304293979,0.851,0.669,5.95E-116,1,Gria2
Slc24a2,3.62E-120,0.303713242,0.85,0.663,7.07E-116,1,Slc24a2
Pclo,2.62E-165,0.303173519,0.665,0.375,5.11E-161,1,Pclo
Negr1,3.71E-140,0.30312917,0.612,0.352,7.24E-136,1,Negr1
Tspan7,3.70E-172,0.303079523,0.998,0.986,7.23E-168,1,Tspan7
Rspo1,0,0.302080798,0.246,0.047,0,1,Rspo1
Lancl1,7.44E-135,0.299104281,0.758,0.498,1.45E-130,1,Lancl1
Nkiras1,1.96E-147,0.298404761,0.669,0.399,3.82E-143,1,Nkiras1
Apba2,4.67E-172,0.297864448,0.515,0.256,9.12E-168,1,Apba2
Tmem65,2.42E-164,0.297770939,0.505,0.253,4.73E-160,1,Tmem65
Ppme1,6.26E-139,0.297506827,0.637,0.382,1.22E-134,1,Ppme1
AC149090.1,1.15E-116,0.296694256,0.682,0.434,2.25E-112,1,AC149090.1
Vamp2,1.25E-160,0.295235442,0.992,0.969,2.44E-156,1,Vamp2
Klhdc3,1.82E-148,0.294791611,0.672,0.397,3.56E-144,1,Klhdc3
Slc12a5,2.27E-121,0.294404051,0.916,0.814,4.43E-117,1,Slc12a5
Adora1,2.07E-168,0.293445854,0.51,0.252,4.03E-164,1,Adora1
Cbx6,5.90E-110,0.2933495,0.778,0.576,1.15E-105,1,Cbx6
Bend6,1.04E-142,0.293105185,0.673,0.399,2.03E-138,1,Bend6
Rasl11b,6.58E-213,0.291422013,0.387,0.148,1.28E-208,1,Rasl11b
Cnih3,3.02E-167,0.290916297,0.396,0.174,5.88E-163,1,Cnih3
Rprml,2.75E-176,0.289298288,0.555,0.274,5.37E-172,1,Rprml
Plk2,4.91E-151,0.289213273,0.639,0.355,9.58E-147,1,Plk2
Aak1,5.80E-114,0.288995879,0.842,0.66,1.13E-109,1,Aak1
Mapk9,1.14E-140,0.288947776,0.701,0.428,2.22E-136,1,Mapk9
Unc13a,2.20E-167,0.287649664,0.562,0.29,4.29E-163,1,Unc13a
Fam107a,6.27E-118,0.286927701,0.742,0.502,1.22E-113,1,Fam107a
Smim13,3.61E-138,0.286461812,0.729,0.451,7.04E-134,1,Smim13
Atp6v1c1,2.12E-116,0.286440322,0.867,0.719,4.14E-112,1,Atp6v1c1
Foxg1,1.33E-179,0.285601854,0.548,0.267,2.59E-175,1,Foxg1
Brsk2,8.16E-165,0.285176542,0.578,0.306,1.59E-160,1,Brsk2
Ghitm,2.16E-124,0.284539036,0.933,0.875,4.21E-120,1,Ghitm
Cdk16,1.50E-138,0.284180876,0.692,0.42,2.92E-134,1,Cdk16
Gls,4.49E-116,0.283991177,0.81,0.596,8.76E-112,1,Gls
Rab3a,1.84E-154,0.28394692,0.995,0.979,3.58E-150,1,Rab3a
Nptx1,3.41E-146,0.283347221,0.654,0.364,6.66E-142,1,Nptx1
Rell2,4.76E-122,0.282992698,0.68,0.429,9.29E-118,1,Rell2
Sh3gl2,2.79E-109,0.282953267,0.858,0.698,5.45E-105,1,Sh3gl2
Dusp1,8.85E-177,0.282295142,0.395,0.167,1.73E-172,1,Dusp1
Rims1,3.60E-193,0.282213118,0.465,0.205,7.02E-189,1,Rims1
Emc4,1.25E-115,0.281853787,0.729,0.496,2.43E-111,1,Emc4
Rtn3,7.79E-146,0.281755852,0.994,0.982,1.52E-141,1,Rtn3
Spire1,4.30E-147,0.28130107,0.563,0.311,8.39E-143,1,Spire1
Cdk5r2,4.59E-165,0.281206428,0.499,0.244,8.96E-161,1,Cdk5r2
Cacna1a,7.00E-177,0.281121773,0.442,0.199,1.37E-172,1,Cacna1a
Nuak1,3.06E-242,0.280476396,0.313,0.096,5.97E-238,1,Nuak1
Rph3a,2.12E-117,0.280074885,0.752,0.511,4.14E-113,1,Rph3a
Gng13,2.45E-99,0.279660802,0.828,0.657,4.77E-95,1,Gng13
Enc1,1.17E-80,0.279587899,0.835,0.721,2.28E-76,1,Enc1
Kcns1,1.43E-291,0.279543296,0.281,0.07,2.78E-287,1,Kcns1
Syt2,3.06E-191,0.279247022,0.315,0.112,5.98E-187,1,Syt2
Cacng3,2.77E-155,0.277706173,0.511,0.258,5.41E-151,1,Cacng3
Tcf25,5.34E-139,0.277309078,0.966,0.933,1.04E-134,1,Tcf25
Trbc2,1.40E-270,0.277289594,0.262,0.065,2.73E-266,1,Trbc2
Kcnab2,1.15E-114,0.277077137,0.778,0.543,2.24E-110,1,Kcnab2
Fut9,3.13E-156,0.276774852,0.512,0.261,6.11E-152,1,Fut9
Slc8a1,9.53E-140,0.276761396,0.592,0.332,1.86E-135,1,Slc8a1
Dnajb5,2.49E-170,0.276709861,0.432,0.195,4.85E-166,1,Dnajb5
Nars,2.65E-118,0.276707353,0.761,0.525,5.16E-114,1,Nars
Kcnc3,2.55E-159,0.276338978,0.429,0.198,4.97E-155,1,Kcnc3
Acsl5,1.88E-222,0.275303122,0.368,0.132,3.67E-218,1,Acsl5
Klc1,1.07E-133,0.274623076,0.975,0.939,2.09E-129,1,Klc1
Etv5,1.15E-177,0.274602465,0.497,0.234,2.24E-173,1,Etv5
Rapgef4,4.24E-126,0.273430645,0.784,0.537,8.27E-122,1,Rapgef4
Serinc1,4.38E-151,0.273246476,0.995,0.983,8.55E-147,1,Serinc1
Ccdc124,6.03E-123,0.273212721,0.724,0.471,1.18E-118,1,Ccdc124
Yaf2,1.19E-138,0.272412562,0.584,0.331,2.32E-134,1,Yaf2
Srpk2,1.69E-121,0.271988974,0.688,0.435,3.29E-117,1,Srpk2
Necab3,3.07E-157,0.271956764,0.451,0.215,5.99E-153,1,Necab3
Atp6v1e1,1.96E-126,0.271924312,0.973,0.934,3.83E-122,1,Atp6v1e1
Vgf,7.95E-94,0.271636043,0.745,0.543,1.55E-89,1,Vgf
Fgfr1op2,5.51E-171,0.27152284,0.499,0.241,1.07E-166,1,Fgfr1op2
Mmp17,6.92E-138,0.271515457,0.539,0.291,1.35E-133,1,Mmp17
Coro1a,2.00E-144,0.271165032,0.586,0.325,3.89E-140,1,Coro1a
Nfix,1.49E-164,0.27047583,0.431,0.196,2.91E-160,1,Nfix
Spred1,3.69E-144,0.270314125,0.608,0.343,7.19E-140,1,Spred1
Schip1,2.14E-132,0.269029701,0.605,0.347,4.18E-128,1,Schip1
Pou6f1,4.89E-200,0.268179114,0.389,0.152,9.54E-196,1,Pou6f1
Psd3,3.06E-116,0.268101831,0.71,0.454,5.97E-112,1,Psd3
Sort1,9.12E-94,0.2680945,0.804,0.623,1.78E-89,1,Sort1
Stmn3,6.10E-132,0.268083148,0.999,0.978,1.19E-127,1,Stmn3
Grin1,1.35E-101,0.268031389,0.9,0.794,2.63E-97,1,Grin1
Cnksr2,8.44E-170,0.267451024,0.504,0.24,1.65E-165,1,Cnksr2
Etl4,2.92E-190,0.26685422,0.418,0.174,5.71E-186,1,Etl4
Cd34,2.48E-234,0.266681567,0.333,0.108,4.83E-230,1,Cd34
Adap1,4.04E-134,0.26633802,0.689,0.414,7.88E-130,1,Adap1
Sec14l1,4.34E-141,0.266272071,0.599,0.334,8.46E-137,1,Sec14l1
Tmem14a,1.38E-158,0.265527947,0.477,0.232,2.69E-154,1,Tmem14a
Krt12,3.10E-200,0.265483675,0.342,0.125,6.04E-196,1,Krt12
Tbc1d30,7.09E-186,0.265430465,0.381,0.154,1.38E-181,1,Tbc1d30
Kcnq5,5.10E-197,0.265318385,0.354,0.133,9.96E-193,1,Kcnq5
Lrp11,1.57E-139,0.264736698,0.638,0.367,3.06E-135,1,Lrp11
Arhgef25,7.65E-153,0.263093098,0.558,0.29,1.49E-148,1,Arhgef25
Atp6v1d,1.76E-98,0.262914554,0.87,0.742,3.43E-94,1,Atp6v1d
Junb,8.09E-132,0.262747186,0.387,0.185,1.58E-127,1,Junb
