MGI Gene/Marker ID,Symbol,Name,Chr,Qualifier,Annotated Term,Context,Proteoform,Evidence,Inferred From,Reference(s)
MGI:1914824,Alg13,asparagine-linked glycosylation 13,X,,regulation of synaptic plasticity,happens in hippocampus stratum oriens,,IMP,MGI:6358168 ,J:275180 
MGI:2139135,Anapc2,anaphase promoting complex subunit 2,2,,positive regulation of synaptic plasticity,,,IDA,,J:172950 
MGI:1860297,Apba1,amyloid beta precursor protein binding family A member 1,19,,presynaptic modulation of chemical synaptic transmission,"happens in glutamatergic synapse,happens in hippocampal formation,happens in Schaffer collateral - CA1 synapse",,IDA,,J:115573 
MGI:1860297,Apba1,amyloid beta precursor protein binding family A member 1,19,,presynaptic modulation of chemical synaptic transmission,happens in Schaffer collateral - CA1 synapse,,IDA,,J:81845 
MGI:1860297,Apba1,amyloid beta precursor protein binding family A member 1,19,,presynaptic modulation of chemical synaptic transmission,"happens in glutamatergic synapse,happens in hippocampal formation,happens in Schaffer collateral - CA1 synapse",,IMP,,J:115573 
MGI:1860297,Apba1,amyloid beta precursor protein binding family A member 1,19,,presynaptic modulation of chemical synaptic transmission,happens in Schaffer collateral - CA1 synapse,,IMP,,J:81845 
MGI:1261791,Apba2,amyloid beta precursor protein binding family A member 2,7,,presynaptic modulation of chemical synaptic transmission,happens in Schaffer collateral - CA1 synapse,,IDA,,J:115573 
MGI:1261791,Apba2,amyloid beta precursor protein binding family A member 2,7,,presynaptic modulation of chemical synaptic transmission,happens in Schaffer collateral - CA1 synapse,,IMP,,J:115573 
MGI:88057,Apoe,apolipoprotein E,7,,negative regulation of long-term synaptic potentiation,,,ISO,P02649 ,J:164563 
MGI:88059,App,amyloid beta precursor protein,16,,long-term synaptic potentiation,,,TAS,,J:239203 
MGI:88059,App,amyloid beta precursor protein,16,,modulation of excitatory postsynaptic potential,,,ISO,P05067 ,J:164563 
MGI:88059,App,amyloid beta precursor protein,16,,negative regulation of long-term synaptic potentiation,,,IDA,,J:314379 
MGI:88059,App,amyloid beta precursor protein,16,,negative regulation of long-term synaptic potentiation,,,ISO,P05067 ,J:164563 
MGI:88059,App,amyloid beta precursor protein,16,,negative regulation of long-term synaptic potentiation,,,NAS,,J:145956 
MGI:88059,App,amyloid beta precursor protein,16,,positive regulation of excitatory postsynaptic potential,,,ISO,P05067 ,J:164563 
MGI:88059,App,amyloid beta precursor protein,16,,positive regulation of long-term synaptic depression,,,ISO,P05067 ,J:164563 
MGI:88059,App,amyloid beta precursor protein,16,,positive regulation of long-term synaptic depression,,,NAS,,J:145956 
MGI:88059,App,amyloid beta precursor protein,16,,positive regulation of long-term synaptic potentiation,,,ISO,P05067 ,J:164563 
MGI:88059,App,amyloid beta precursor protein,16,,regulation of acetylcholine-gated cation channel activity,,,ISO,P05067 ,J:164563 
MGI:88059,App,amyloid beta precursor protein,16,,regulation of long-term neuronal synaptic plasticity,,,ISO,P05067 ,J:164563 
MGI:88059,App,amyloid beta precursor protein,16,,regulation of spontaneous synaptic transmission,,,ISO,P05067 ,J:164563 
MGI:88067,Arc,activity regulated cytoskeletal-associated protein,15,,modulation of chemical synaptic transmission,,,IMP,,J:276388 
MGI:88067,Arc,activity regulated cytoskeletal-associated protein,15,,modulation of chemical synaptic transmission,,,ISO,RGD:62037 ,J:155856 
MGI:88067,Arc,activity regulated cytoskeletal-associated protein,15,,regulation of long-term synaptic depression,,,IDA,,J:259121 
MGI:88067,Arc,activity regulated cytoskeletal-associated protein,15,,regulation of long-term synaptic potentiation,,,IBA,PTN008562333 ,J:265628 
MGI:88067,Arc,activity regulated cytoskeletal-associated protein,15,,regulation of long-term synaptic potentiation,,,IMP,,J:276388 
MGI:88067,Arc,activity regulated cytoskeletal-associated protein,15,,regulation of long-term synaptic potentiation,,,ISO,RGD:62037 ,J:155856 
MGI:88067,Arc,activity regulated cytoskeletal-associated protein,15,,regulation of neuronal synaptic plasticity,,,IBA,PTN008562333 ,J:265628 
MGI:99431,Arf1,ADP-ribosylation factor 1,11,,long-term synaptic depression,,,ISO,RGD:621270 ,J:155856 
MGI:2144423,Arhgap44,Rho GTPase activating protein 44,11,,modulation of chemical synaptic transmission,"happens in glutamatergic synapse,happens in hippocampal formation",,IDA,,J:198646 
MGI:2144423,Arhgap44,Rho GTPase activating protein 44,11,,modulation of chemical synaptic transmission,"happens in glutamatergic synapse,happens in hippocampal formation",,IMP,,J:198646 
MGI:99474,Arrb2,"arrestin, beta 2",11,,modulation of chemical synaptic transmission,"happens in glutamatergic synapse,happens in hippocampal formation",,IDA,,J:243063 
MGI:99474,Arrb2,"arrestin, beta 2",11,,modulation of chemical synaptic transmission,"happens in glutamatergic synapse,happens in hippocampal formation",,IMP,,J:243063 
MGI:99474,Arrb2,"arrestin, beta 2",11,,"positive regulation of synaptic transmission, dopaminergic",,,IMP,,J:115106 
MGI:1194915,Asic1,acid-sensing ion channel 1,15,,negative regulation of neurotransmitter secretion,negatively regulates neurotransmitter secretion,,IMP,MGI:2179834 ,J:147665 
MGI:1915229,Atad1,"ATPase family, AAA domain containing 1",19,,"negative regulation of synaptic transmission, glutamatergic",,,IMP,,J:173768 
MGI:88096,Atf4,activating transcription factor 4,15,,regulation of synaptic plasticity,,,IMP,,J:85101 
MGI:88110,Atp2a2,"ATPase, Ca++ transporting, cardiac muscle, slow twitch 2",5,,regulation of calcium ion-dependent exocytosis of neurotransmitter,happens in hippocampus,,IMP,,J:166977 
MGI:105368,Atp2b2,"ATPase, Ca++ transporting, plasma membrane 2",6,,regulation of synaptic plasticity,,,IMP,MGI:1857876 ,J:121220 
MGI:1346542,Bace1,beta-site APP cleaving enzyme 1,9,,modulation of chemical synaptic transmission,,,IGI,P49582 ,J:238454 
MGI:1346542,Bace1,beta-site APP cleaving enzyme 1,9,,modulation of chemical synaptic transmission,regulates a function/process that happens in mossy fiber rosette,,TAS,,J:238454 
MGI:1346542,Bace1,beta-site APP cleaving enzyme 1,9,,presynaptic modulation of chemical synaptic transmission,happens in hippocampal mossy fiber to CA3 synapse,,IDA,,J:138795 
MGI:1346542,Bace1,beta-site APP cleaving enzyme 1,9,,presynaptic modulation of chemical synaptic transmission,happens in hippocampal mossy fiber to CA3 synapse,,IMP,,J:138795 
MGI:1346542,Bace1,beta-site APP cleaving enzyme 1,9,,regulation of synaptic plasticity,,,TAS,,J:239203 
MGI:2137336,Baiap2,brain-specific angiogenesis inhibitor 1-associated protein 2,11,,modulation of chemical synaptic transmission,happens in Schaffer collateral - CA1 synapse,,IDA,,J:144939 
MGI:2137336,Baiap2,brain-specific angiogenesis inhibitor 1-associated protein 2,11,,modulation of chemical synaptic transmission,happens in Schaffer collateral - CA1 synapse,,IMP,,J:144939 
MGI:2137336,Baiap2,brain-specific angiogenesis inhibitor 1-associated protein 2,11,,positive regulation of excitatory postsynaptic potential,,,ISO,RGD:619814 ,J:155856 
MGI:2137336,Baiap2,brain-specific angiogenesis inhibitor 1-associated protein 2,11,,regulation of synaptic plasticity,,,IMP,MGI:3835373 ,J:148808 
MGI:2685783,Baiap3,BAI1-associated protein 3,17,,modulation of chemical synaptic transmission,"happens in GABA-ergic synapse,happens in hippocampal formation",,IDA,,J:221234 
MGI:2685783,Baiap3,BAI1-associated protein 3,17,,modulation of chemical synaptic transmission,"happens in GABA-ergic synapse,happens in hippocampal formation",,IMP,,J:221234 
MGI:2685783,Baiap3,BAI1-associated protein 3,17,,positive regulation of neurotransmitter secretion,,,IBA,PTN002916466 ,J:265628 
MGI:2685783,Baiap3,BAI1-associated protein 3,17,,positive regulation of neurotransmitter secretion,,,ISO,O94812 ,J:164563 
MGI:2685783,Baiap3,BAI1-associated protein 3,17,,"regulation of synaptic transmission, GABAergic",,,IMP,,J:221234 
MGI:894278,Bche,butyrylcholinesterase,3,,negative regulation of synaptic transmission,,,ISO,RGD:619996 ,J:155856 
MGI:88139,Bcl2l1,BCL2-like 1,2,,positive regulation of synaptic vesicle exocytosis,,,ISO,RGD:2200 ,J:155856 
MGI:88139,Bcl2l1,BCL2-like 1,2,,regulation of long-term synaptic depression,,,ISO,RGD:2200 ,J:155856 
MGI:88141,Bcr,BCR activator of RhoGEF and GTPase,10,,modulation of chemical synaptic transmission,"happens in glutamatergic synapse,happens in hippocampal formation,happens in Schaffer collateral - CA1 synapse",,IDA,,J:165475 
MGI:88141,Bcr,BCR activator of RhoGEF and GTPase,10,,modulation of chemical synaptic transmission,"happens in Schaffer collateral - CA1 synapse,happens in glutamatergic synapse,happens in hippocampal formation",,IMP,,J:165475 
MGI:88145,Bdnf,brain derived neurotrophic factor,2,,modulation of chemical synaptic transmission,,,IBA,PTN000173497 ,J:265628 
MGI:88145,Bdnf,brain derived neurotrophic factor,2,,"negative regulation of synaptic transmission, GABAergic",happens in hippocampal neuron,,IDA,,J:116460 
MGI:88145,Bdnf,brain derived neurotrophic factor,2,,positive regulation of long-term neuronal synaptic plasticity,,,ISO,RGD:2202 ,J:155856 
MGI:88145,Bdnf,brain derived neurotrophic factor,2,,regulation of long-term neuronal synaptic plasticity,,,ISO,RGD:2202 ,J:155856 
MGI:88145,Bdnf,brain derived neurotrophic factor,2,,regulation of short-term neuronal synaptic plasticity,,,ISO,RGD:2202 ,J:155856 
MGI:88145,Bdnf,brain derived neurotrophic factor,2,,regulation of synaptic plasticity,,,IDA,,J:111724 
MGI:88145,Bdnf,brain derived neurotrophic factor,2,,regulation of synaptic plasticity,,,IDA,,J:119836 
MGI:88145,Bdnf,brain derived neurotrophic factor,2,,"retrograde trans-synaptic signaling by neuropeptide, modulating synaptic transmission","happens in excitatory synapse,happens in hippocampal neuron",,IMP,,J:161262 
MGI:88145,Bdnf,brain derived neurotrophic factor,2,,"trans-synaptic signaling by BDNF, modulating synaptic transmission","happens in glutamatergic synapse,happens in hippocampal formation",,EXP,,J:161262 
MGI:88145,Bdnf,brain derived neurotrophic factor,2,,"trans-synaptic signaling by BDNF, modulating synaptic transmission","happens in glutamatergic synapse,happens in hippocampal formation",,IDA,,J:161262 
MGI:3044626,Begain,brain-enriched guanylate kinase-associated,12,,regulation of postsynaptic neurotransmitter receptor activity,,,IBA,PTN002823703 ,J:265628 
MGI:3044626,Begain,brain-enriched guanylate kinase-associated,12,,regulation of postsynaptic neurotransmitter receptor activity,"happens in glutamatergic synapse,happens in hippocampal formation,happens in glutamatergic synapse,happens in spinal cord",,IDA,,J:237768 
MGI:3044626,Begain,brain-enriched guanylate kinase-associated,12,,regulation of postsynaptic neurotransmitter receptor activity,"happens in glutamatergic synapse,happens in spinal cord,happens in glutamatergic synapse,happens in hippocampal formation",,IMP,,J:237768 
MGI:3044626,Begain,brain-enriched guanylate kinase-associated,12,,regulation of postsynaptic neurotransmitter receptor activity,"happens in glutamatergic synapse,happens in spinal cord,happens in glutamatergic synapse,happens in hippocampal formation",,IPI,,J:237768 
MGI:88156,Bglap,bone gamma carboxyglutamate protein,3,,positive regulation of neurotransmitter secretion,,,IDA,,J:205218 
MGI:88190,Braf,Braf transforming gene,6,,long-term synaptic potentiation,,,IMP,MGI:3620008 MGI:3622450 ,J:107042 
MGI:88190,Braf,Braf transforming gene,6,,negative regulation of synaptic vesicle exocytosis,negatively regulates synaptic vesicle exocytosis,,IMP,,J:196950 
MGI:2685946,Brsk1,BR serine/threonine kinase 1,7,,regulation of synaptic plasticity,"regulates a function/process that happens in hippocampus CA1,regulates a function/process that happens in hippocampus CA2,regulates a function/process that happens in hippocampus CA3",,IMP,,J:228521 
MGI:1916625,Btbd9,BTB domain containing 9,17,,modulation of chemical synaptic transmission,,,IBA,PTN000698411 ,J:265628 
MGI:1916625,Btbd9,BTB domain containing 9,17,,modulation of chemical synaptic transmission,"happens in glutamatergic synapse,happens in hippocampal formation",,IDA,,J:187734 
MGI:1916625,Btbd9,BTB domain containing 9,17,,modulation of chemical synaptic transmission,"happens in glutamatergic synapse,happens in hippocampal formation",,IMP,,J:187734 
MGI:109482,Cacna1a,"calcium channel, voltage-dependent, P/Q type, alpha 1A subunit",8,,modulation of chemical synaptic transmission,,,ISO,O00555 ,J:164563 
MGI:109482,Cacna1a,"calcium channel, voltage-dependent, P/Q type, alpha 1A subunit",8,,"regulation of acetylcholine secretion, neurotransmission","regulates acetylcholine secretion, neurotransmission",,IMP,MGI:1856209 ,J:102080 
MGI:109482,Cacna1a,"calcium channel, voltage-dependent, P/Q type, alpha 1A subunit",8,,"regulation of acetylcholine secretion, neurotransmission","regulates acetylcholine secretion, neurotransmission",,IMP,MGI:2181384 ,J:82722 
MGI:109482,Cacna1a,"calcium channel, voltage-dependent, P/Q type, alpha 1A subunit",8,,rhythmic synaptic transmission,,,IMP,MGI:1856210 ,J:107094 
MGI:88296,Cacna1b,"calcium channel, voltage-dependent, N type, alpha 1B subunit",2,,modulation of chemical synaptic transmission,,,ISO,Q00975 ,J:164563 
MGI:88296,Cacna1b,"calcium channel, voltage-dependent, N type, alpha 1B subunit",2,,positive regulation of neurotransmitter secretion,,,ISO,RGD:628852 ,J:155856 
MGI:106217,Cacna1e,"calcium channel, voltage-dependent, R type, alpha 1E subunit",1,,regulation of synaptic vesicle exocytosis,,,ISO,RGD:2246 ,J:155856 
MGI:1929813,Cacna2d2,"calcium channel, voltage-dependent, alpha 2/delta subunit 2",9,,rhythmic synaptic transmission,,,IMP,MGI:1856022 ,J:107094 
MGI:103307,Cacnb3,"calcium channel, voltage-dependent, beta 3 subunit",15,,positive regulation of excitatory postsynaptic potential,,,ISO,RGD:2248 ,J:155856 
MGI:103301,Cacnb4,"calcium channel, voltage-dependent, beta 4 subunit",2,,regulation of synaptic vesicle exocytosis,"happens in glutamatergic synapse,happens in thalamus",,IDA,,J:56225 
MGI:103301,Cacnb4,"calcium channel, voltage-dependent, beta 4 subunit",2,,regulation of synaptic vesicle exocytosis,"happens in glutamatergic synapse,happens in thalamus",,IMP,,J:56225 
MGI:1316660,Cacng2,"calcium channel, voltage-dependent, gamma subunit 2",15,,"positive regulation of synaptic transmission, glutamatergic",,,IBA,PTN000251098 ,J:265628 
MGI:1859165,Cacng3,"calcium channel, voltage-dependent, gamma subunit 3",7,,"positive regulation of synaptic transmission, glutamatergic",,,IBA,PTN000251098 ,J:265628 
MGI:1859167,Cacng4,"calcium channel, voltage-dependent, gamma subunit 4",11,,"positive regulation of synaptic transmission, glutamatergic",,,IBA,PTN000251098 ,J:265628 
MGI:1859167,Cacng4,"calcium channel, voltage-dependent, gamma subunit 4",11,,regulation of postsynaptic neurotransmitter receptor activity,"happens in glutamatergic synapse,happens in cerebellum",,IDA,,J:132139 
MGI:1859167,Cacng4,"calcium channel, voltage-dependent, gamma subunit 4",11,,regulation of postsynaptic neurotransmitter receptor activity,"happens in glutamatergic synapse,happens in cerebellum",,IMP,,J:132139 
MGI:2157946,Cacng5,"calcium channel, voltage-dependent, gamma subunit 5",11,,"positive regulation of synaptic transmission, glutamatergic",,,IBA,PTN000251098 ,J:265628 
MGI:2157946,Cacng5,"calcium channel, voltage-dependent, gamma subunit 5",11,,regulation of postsynaptic neurotransmitter receptor activity,,,ISO,Q9UF02 ,J:164563 
MGI:1932374,Cacng7,"calcium channel, voltage-dependent, gamma subunit 7",7,,"positive regulation of synaptic transmission, glutamatergic",,,IBA,PTN000251098 ,J:265628 
MGI:1932376,Cacng8,"calcium channel, voltage-dependent, gamma subunit 8",7,,"positive regulation of synaptic transmission, glutamatergic",,,IBA,PTN000251098 ,J:265628 
MGI:88248,Calb1,calbindin 1,4,,regulation of long-term synaptic potentiation,,,IBA,PTN000463232 ,J:265628 
MGI:88248,Calb1,calbindin 1,4,,regulation of long-term synaptic potentiation,happens in hippocampal pyramidal neuron,,IMP,,J:132429 
MGI:88248,Calb1,calbindin 1,4,,regulation of synaptic plasticity,,,ISO,RGD:69340 ,J:155856 
MGI:101914,Calb2,calbindin 2,8,,regulation of long-term synaptic potentiation,,,IBA,PTN000463232 ,J:265628 
MGI:88256,Camk2a,calcium/calmodulin-dependent protein kinase II alpha,18,,regulation of neuronal synaptic plasticity,happens in hippocampus,,IMP,,J:126092 
MGI:88256,Camk2a,calcium/calmodulin-dependent protein kinase II alpha,18,,regulation of neurotransmitter secretion,,,IMP,MGI:2655688 ,J:82744 
MGI:88257,Camk2b,"calcium/calmodulin-dependent protein kinase II, beta",11,,long-term synaptic potentiation,,,ISO,P08413 ,J:73065 
MGI:88257,Camk2b,"calcium/calmodulin-dependent protein kinase II, beta",11,,regulation of long-term neuronal synaptic plasticity,happens in cerebellum,,IMP,MGI:4359775 ,J:152575 
MGI:88257,Camk2b,"calcium/calmodulin-dependent protein kinase II, beta",11,,"regulation of synaptic transmission, cholinergic",,,IMP,,J:151014 
MGI:88258,Camk4,calcium/calmodulin-dependent protein kinase IV,18,,postsynaptic modulation of chemical synaptic transmission,"happens in glutamatergic synapse,happens in hippocampal formation,happens in GABA-ergic synapse,happens in cerebellum",,IDA,,J:64210 
MGI:88258,Camk4,calcium/calmodulin-dependent protein kinase IV,18,,postsynaptic modulation of chemical synaptic transmission,"happens in GABA-ergic synapse,happens in cerebellum,happens in glutamatergic synapse,happens in hippocampal formation",,IEP,,J:64210 
MGI:88258,Camk4,calcium/calmodulin-dependent protein kinase IV,18,,postsynaptic modulation of chemical synaptic transmission,"happens in GABA-ergic synapse,happens in cerebellum,happens in glutamatergic synapse,happens in hippocampal formation",,IMP,,J:64210 
